enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
23,1994,53.6,0,53.6,237.6,0,0,0,237.6,0,0,0,0,27.9,27.9,188.6,507.7,0,0,0,0,0,131.8,131.8,-54.4,77.4,0,0,468.6,546,1053.7,31.7,0,0,0,31.7,0,0,0,0,0,0,173.8,205.5,0,0,0,0,0,0,0,0,205.5,0,0,620.1,0,0,0,228.1,848.2,0,848.2,0.805
23,1995,284.388,279.754,564.142,421.747,0,0,0,421.747,34.913,25.611,0,9.962,11.319,81.805,116.47,1184.16,410.798,0,0,205.125,0,99.655,304.78,-132.219,172.561,0,0,224.43,807.789,1991.949,59.812,71.97,0,140.317,272.099,0,0,0,62.738,0,62.738,54.044,388.881,0,0,0,0,0,0,0,0,388.881,509,0,996.805,5.849,0,0,50.622,1562.276,40.792,1603.068,0.784
23,1996,279.695,758.489,1038.184,622.859,0,0,0,622.859,134.531,99.723,0,51.92,15.014,301.188,197.41,2159.64,832.114,0,0,426.068,0,149.404,575.472,-244.157,331.315,0,0,307.163,1470.592,3630.232,153.683,169.894,0,227.453,551.03,0,0,0,116.229,0,116.229,102.094,769.353,0,0,0,0,0,0,0,0,769.353,888,0,1777.369,-4.662,0,0,158.915,2819.622,41.257,2860.879,0.777
23,1997,269.608,1005.977,1275.585,1170.401,0,0,0,1170.401,89.226,114.724,0,21.733,28.994,254.677,400.6,3101.266,1267.174,0,0,684.864,0,197.321,882.185,-415.833,466.352,0,0,617.192,2350.718,5451.984,207.178,256.224,0,304.795,768.197,0,0,0,183.268,0,183.268,168.644,1120.109,0,0,0,0,0,0,0,0,1120.109,1763,0,2487.058,-10.264,0,0,49.828,4289.622,42.253,4331.875,0.787
23,1998,580,1157,1737,1303,0,0,0,1303,76,143,0,111,32,362,412,3814,3743,0,0,978,0,293,1271,-672,599,170,57,646,5158,8972,250,411,0,440,1101,0,0,0,339,0,339,341,1781,0,0,0,0,0,0,0,0,1781,3262,0,3828,58,0,0,0,7148,43,7191,0.797
23,1999,913,1189,2102,1250,0,0,0,1250,143,198,0,282,35,658,751,4761,7032,0,0,1324,0,527,1851,-1026,825,460,157,1815,10132,14893,374,630,0,0,1004,0,0,0,724,0,724,1310,3038,0,0,0,0,0,0,0,0,3038,5731,0,5782,298,0,0,0,11811,44,11855,0.793
23,2000,4234,1291,5525,2299,0,0,588,2887,145,472,0,496,119,1232,1466,11110,13869,0,0,1172,0,1833,3005,-1579,1426,4087,2937,2378,21760,32870,739,233,0,0,972,0,0,0,1386,0,1386,2838,5196,0,0,0,0,0,1132,0,1132,6328,14609,0,8358,3530,0,0,0,26497,45,26542,0.806
23,2001,4873,2034,6907,1466,0,0,405,1871,662,260,0,669,93,1684,2373,12835,11121,0,0,1350,0,3679,5029,-2438,2591,4659,3189,4032,22403,35238,644,241,0,0,885,0,0,0,2470,0,2470,3997,7352,0,0,0,0,0,744,0,744,8096,20051,0,7344,-275,0,0,0,27120,22,27142,0.77
23,2002,9484,3172,12656,1105,0,0,239,1344,38,297,0,490,55,880,2553,17433,9277,0,0,1387,0,5918,7305,-3203,4102,4362,3565,2621,20362,37795,470,579,0,0,1049,0,0,0,3143,0,3143,4183,8375,0,0,0,0,0,749,0,749,9124,20950,0,7733,-27,0,0,0,28656,15,28671,0.758
23,2003,3925,4560,8485,1351,0,0,0,1351,38,291,0,515,29,873,2728,13437,12683,0,0,1497,0,6177,7674,-4031,3643,4599,4043,2745,23670,37107,594,739,0,0,1333,0,0,0,3034,0,3034,3927,8294,0,0,0,0,0,774,0,774,9068,21116,0,6559,354,0,0,0,28029,10,28039,0.755
23,2004,3722,4947,8669,1825,0,0,0,1825,235,416,0,522,34,1207,2642,14343,10952,0,0,1476,0,6166,7642,-4352,3290,4523,4198,2486,21251,35594,657,963,0,0,1620,0,0,0,3527,0,3527,3556,8703,0,0,0,0,0,975,0,975,9678,22450,0,3164,212,0,0,0,25826,90,25916,0.726
23,2005,4742,11313,16055,2216,0,0,0,2216,262,431,0,569,35,1297,2442,22010,421,0,0,1599,0,6723,8322,-5002,3320,5844,5295,2288,11873,33883,735,1511,0,0,2246,0,0,0,3854,0,3854,3411,9511,0,0,0,0,0,1188,0,1188,10699,22394,0,506,274,0,0,0,23174,10,23184,0.684
23,2006,3297,14517,17814,3303,0,0,0,3303,301,377,0,659,34,1371,3188,25676,574,0,0,1715,0,7478,9193,-5753,3440,11388,9227,2237,17639,43315,880,1744,0,0,2624,0,0,0,4408,0,4408,4281,11313,6332,0,6332,0.265,0,1241,511,8084,19397,24257,0,-617,272,0,0,0,23912,6,23918,0.552
23,2007,3728,18538,22266,3989,0,0,0,3989,384,45,0,858,35,1322,3997,31574,643,0,0,1999,0,8467,10466,-6573,3893,14661,12121,2569,21766,53340,786,1740,0,0,2526,0,0,0,5391,0,5391,5441,13358,6408,0,6408,0.204,0,1646,438,8492,21850,30687,0,231,562,0,0,0,31480,10,31490,0.59
