enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
24,1994,1644,372,2016,3808,0,0,0,3808,1783,0,0,18,0,1801,1057,8682,3623,0,0,0,0,44807,44807,-22942,21865,0,0,566,26054,34736,3325,1287,0,2538,7150,3456,0,3456,0,0,0,0,10606,4082,0,4082,0.539,1458,4593,0,10133,20739,1069,0,13955,0,1855,-2070,-812,13997,0,13997,0.403
24,1995,413,893,1306,0,0,0,3923,3923,0,0,0,0,1710,1710,652,7591,3991,0,0,0,0,46810,46810,-24637,22173,0,0,652,26816,34407,2990,1114,0,1274,5378,4014,0,4014,0,0,0,0,9392,3955,173,4128,0.558,0,2674,3617,10419,19811,1069,0,14457,175,1858,-2063,-900,14596,0,14596,0.424
24,1996,621,773,1394,0,0,0,4014,4014,0,0,0,0,1598,1598,861,7867,4087,0,0,0,0,48031,48031,-26335,21696,0,0,680,26463,34330,3294,1088,0,1257,5639,3806,0,3806,0,0,0,0,9445,4133,388,4521,0.58,0,2433,3576,10530,19975,1069,0,14146,174,1863,-2047,-850,14355,0,14355,0.418
24,1997,892,745,1637,0,0,0,4035,4035,0,0,0,0,1431,1431,839,7942,4463,0,0,0,0,46936,46936,-25440,21496,0,0,953,26912,34854,3502,1279,0,1420,6201,2706,0,2706,0,0,0,0,8907,3650,338,3988,0.428,0,2851,3485,10324,19231,1069,0,15408,96,1874,-2024,-800,15623,0,15623,0.448
24,1998,1015,655,1670,0,0,0,3374,3374,0,0,0,0,1378,1378,584,7006,4496,0,0,0,0,49233,49233,-26562,22671,0,0,1300,28467,35473,2735,1124,0,1450,5309,1637,0,1637,0,0,0,0,6946,4139,292,4431,0.347,0,3215,3409,11055,18001,1069,0,17185,-827,2022,-1977,0,17472,0,17472,0.493
24,1999,569,844,1413,0,0,0,2813,2813,0,0,0,0,1455,1455,616,6297,4604,0,0,0,0,51337,51337,-27608,23729,0,0,1910,30243,36540,2170,629,0,1202,4001,3165,0,3165,0,0,0,0,7166,4128,265,4393,0.444,0,3645,4302,12340,19506,1069,0,16942,-781,2097,-2293,0,17034,0,17034,0.466
24,2000,1997,971,2968,9205,0,0,0,9205,548,0,0,2659,0,3207,1663,17043,0,0,0,0,0,100991,100991,-54504,46487,0,0,11850,58337,75380,6812,0,0,2582,9394,6063,0,6063,0,0,0,2226,17683,12787,358,13145,0.645,0,6712,7316,27173,44856,1724,300,27148,-1186,4621,-2816,0,29791,733,30524,0.395
24,2001,2328,913,3241,10763,0,0,0,10763,485,0,0,2169,0,2654,1255,17913,0,0,0,0,0,95568,95568,-51249,44319,0,0,15389,59708,77621,7563,0,0,3014,10577,3094,0,3094,0,0,0,2990,16661,12494,327,12821,0.477,0,6687,7337,26845,43506,862,300,32206,-1231,5505,-4273,0,33369,746,34115,0.43
24,2002,2117,1033,3150,8279,0,0,0,8279,532,0,0,2416,0,2948,3950,18327,0,0,0,0,0,99943,99943,-56710,43233,0,0,16012,59245,77572,6427,0,0,3399,9826,8429,0,8429,0,0,0,2399,20654,8704,285,8989,0.513,0,6132,7556,22677,43331,853,0,32767,-1058,4811,-3415,0,33958,283,34241,0.438
24,2003,2957,824,3781,9385,0,0,0,9385,551,0,0,2212,0,2763,1847,17776,0,0,0,0,0,105231,105231,-61076,44155,0,0,15428,59583,77359,8455,0,0,3364,11819,5358,0,5358,0,0,0,2699,19876,10666,245,10911,0.515,0,5619,9046,25576,45452,853,0,30942,-1650,4833,-3374,0,31604,303,31907,0.409
24,2004,4266,1001,5267,9722,0,0,0,9722,472,0,0,2176,0,2648,1789,19426,0,0,0,0,0,100556,100556,-56018,44538,0,0,17506,62044,81470,8675,0,0,3172,11847,1703,0,1703,0,0,0,2561,16111,10651,243,10894,0.347,0,6417,11485,28796,44907,853,0,35315,-1411,4855,-3317,0,36295,268,36563,0.446
24,2005,9291,1451,10742,12429,0,0,0,12429,486,0,0,2497,0,2983,2349,28503,0,0,0,0,0,103954,103954,-59496,44458,0,0,20247,64705,93208,10747,0,0,3410,14157,816,0,816,0,0,0,3822,18795,10217,239,10456,0.249,0,7268,11287,29011,47806,1706,0,45414,-926,4160,-5124,0,45230,172,45402,0.485
24,2006,10043,1101,11144,17184,0,0,0,17184,694,0,0,3427,0,4121,1887,34336,0,0,0,0,0,127446,127446,-63756,63690,4636,4636,23171,91497,125833,16074,0,0,3690,19764,739,0,739,0,0,0,4508,25011,11807,324,12131,0.205,0,11262,14553,37946,62957,1832,0,55738,-918,13894,-7870,0,62676,200,62876,0.498
24,2007,10493,953,11446,17628,0,0,0,17628,812,0,0,3844,0,4656,2574,36304,0,0,0,0,0,137747,137747,-68889,68858,4623,4623,22843,96324,132628,16675,0,0,4546,21221,2159,0,2159,0,0,0,5029,28409,7405,274,7679,0.143,0,11647,15749,35075,63484,1832,0,68464,-3092,14126,-12395,0,68935,209,69144,0.52
24,2008,7362,732,8094,22446,0,0,0,22446,1017,0,0,4293,0,5310,3527,39377,0,0,0,0,0,154084,154084,-75474,78610,4637,4637,26162,109409,148786,21756,0,0,5275,27031,1162,0,1162,0,0,0,5605,33798,5664,406,6070,0.094,0,12170,19456,37696,71494,1832,0,82329,-2470,14289,-18892,0,77088,204,77292,0.518
24,2009,9347,213,9560,16102,0,0,-246,15856,1679,0,0,5175,0,6854,4200,36470,20920,0,0,0,0,173299,173299,-81519,91780,4619,4619,7376,124695,161165,16580,4548,0,8077,29205,2818,0,2818,0,0,0,0,32023,5742,341,6083,0.103,0,29217,6725,42025,74048,1832,0,101102,-3924,14448,-26376,-434,86648,469,87117,0.538
24,2010,8716,106,8822,17931,0,0,-228,17703,1849,0,0,3680,0,5529,5162,37216,21158,0,0,0,0,188288,188288,-91820,96468,4618,4618,5161,127405,164621,16437,4015,0,5375,25827,384,0,384,0,0,0,0,26211,9829,301,10130,0.114,0,28911,6808,45849,72060,1832,0,106289,-4321,14631,-26168,-349,91914,647,92561,0.558
24,2011,14060,155,14215,20943,0,0,-184,20759,1904,0,0,3589,0,5493,8374,48841,21520,0,0,0,0,207367,207367,-102863,104504,4617,4617,5287,135928,184769,19259,4242,0,5324,28825,187,0,187,0,0,0,0,29012,11003,286,11289,0.109,6696,31961,0,49946,78958,1832,0,119641,-4466,14796,-26411,-311,105081,730,105811,0.569
24,2012,15864,4207,20071,21793,0,0,0,21793,1621,0,0,3922,0,5543,5827,53234,22868,0,0,0,0,233432,233432,-110824,122608,4642,4642,6122,156240,209474,22147,5826,0,5287,33260,340,0,340,0,0,0,0,33600,9684,128,9812,0.084,9156,15544,19181,53693,87293,1832,0,140399,-6320,15156,-29685,0,121382,799,122181,0.579
24,2013,20939,974,21913,20997,0,0,0,20997,1746,0,0,4398,0,6144,6666,55720,23718,0,0,0,0,263481,263481,-122133,141348,4640,4640,7556,177262,232982,22776,5571,0,5738,34085,127,0,127,0,0,0,0,34212,11966,99,12065,0.089,9699,17672,21502,60938,95150,1832,0,159730,-6651,15497,-33884,0,136524,1308,137832,0.586
24,2014,16245,271,16516,21622,0,0,0,21622,2010,0,0,4370,0,6380,5732,50250,25502,0,0,0,0,296433,296433,-131604,164829,4639,4639,8533,203503,253753,22815,4427,0,5402,32644,374,0,374,0,0,0,0,33018,19960,97,20057,0.137,5968,21301,22982,70308,103326,1832,0,173677,-3819,15713,-38290,0,149113,1314,150427,0.588
24,2015,12785,430,13215,16736,0,0,0,16736,2184,0,0,4321,0,6505,5776,42232,26912,0,0,0,0,327289,327289,-144116,183173,4593,4593,9116,223794,266026,19000,3808,0,5328,28136,3790,0,3790,0,0,0,0,31926,23960,68,24028,0.179,8412,21920,23549,77909,109835,1832,0,184987,-5099,16041,-42733,0,155028,1163,156191,0.583
24,2016,11022,310,11332,12860,0,0,0,12860,2309,0,0,4025,0,6334,3904,34430,27110,0,0,0,0,340277,340277,-151881,188396,4588,4588,10016,230110,264540,13516,2191,0,4833,20540,4927,0,4927,0,0,0,0,25467,33542,80,33622,0.252,7935,20165,23465,85187,110654,1832,0,181578,-4531,16330,-42493,0,152716,1170,153886,0.577
24,2017,6988,13,7001,14092,0,0,0,14092,2244,0,0,3175,0,5419,3107,29619,30250,0,0,0,0,336077,336077,-153891,182186,4581,4581,13442,230459,260078,13986,2077,0,4882,20945,10840,14,10840,0,0,0,0,31785,35193,93,35286,0.317,7216,17516,21553,81571,113356,1832,0,173046,-4083,16595,-41834,0,145556,1166,146722,0.56
