enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
28,1994,3218,0,3218,87759,0,0,0,87759,0,0,0,0,3824,3824,100439,195240,0,0,0,0,0,38179,38179,-16951,21228,10364,0,24674,56266,251506,11956,0,0,0,11956,62135,0,62135,0,0,0,81638,155729,28270,0,28270,3.501,0,5109,34918,68297,224026,0,0,28613,0,0,0,-2789,25824,1656,27480,0.103
28,1995,2591,0,2591,89647,0,0,0,89647,0,0,0,0,3880,3880,30965,127083,0,0,0,0,0,41670,41670,-18205,23465,11373,0,32563,67401,194484,6766,0,0,0,6766,57781,0,57781,0,0,0,8307,72854,36979,0,36979,3.591,0,5205,51212,93396,166250,0,0,30793,0,0,0,-4406,26387,1847,28234,0.136
28,1996,2823,0,2823,114424,0,0,0,114424,0,0,0,0,4395,4395,41067,162709,0,0,0,0,0,45946,45946,-20267,25679,13342,0,26305,65326,228035,9061,0,0,0,9061,64463,0,64463,0,0,0,8477,82001,51027,0,51027,3.901,0,7380,55062,113469,195470,0,0,34528,0,0,0,-4919,29609,2956,32565,0.13
28,1997,4191,0,4191,123836,0,0,0,123836,0,0,0,0,4473,4473,59889,192389,0,0,0,0,0,50784,50784,-21989,28795,16007,0,35211,80013,272402,10205,0,0,0,10205,80200,0,80200,0,0,0,10102,100507,49246,0,49246,4.159,0,8273,80244,137763,238270,0,0,38670,0,0,0,-7545,31125,3007,34132,0.114
28,1998,5861,0,5861,130378,0,0,0,130378,0,0,0,0,5895,5895,70621,212755,0,0,0,0,0,55657,55657,-23341,32316,19121,0,39820,91257,304012,10407,0,0,0,10407,98075,0,98075,0,0,0,12186,120668,46603,0,46603,4.201,0,8651,89970,145224,265892,0,0,43338,0,0,0,-8900,34438,3682,38120,0.113
28,1999,4317,0,4317,154579,0,0,0,154579,0,0,0,0,6049,6049,78717,243662,0,0,0,0,0,52346,52346,-16616,35730,23635,0,52908,112273,355935,12502,0,0,0,12502,115378,0,115378,0,0,0,13699,141579,59663,0,59663,4.502,0,9340,102198,171201,312780,0,0,48553,0,0,0,-9673,38880,4275,43155,0.109
28,2000,8554,81758,90312,175868,0,0,0,175868,3438,0,-927,4496,0,7007,0,273187,22547,526,13837,51846,0,2150,68359,-27337,41022,26010,23106,42434,132013,405200,13676,0,1347,15847,30870,130346,0,130346,0,0,0,0,161216,71427,0,71427,4.741,0,9238,115548,196213,357429,594,0,54484,-744,0,-22567,10790,42557,5214,47771,0.105
28,2001,8195,91339,99534,188317,0,0,0,188317,4134,0,-845,4523,0,7812,0,295663,23944,544,12735,52840,0,1871,67990,-27975,40015,27441,23512,49943,141343,437006,14853,0,1589,20490,36932,119180,0,119180,0,0,0,0,156112,82132,0,82132,3.987,0,8690,134644,225466,381578,669,0,61572,-2500,0,-24444,15195,50492,4936,55428,0.116
28,2002,8433,101017,109450,223147,0,0,0,223147,4708,0,-676,4533,0,8565,0,341162,24242,577,10881,57869,0,1960,71287,-29147,42140,35124,28287,52355,153861,495023,18158,0,1787,25883,45828,153076,0,153076,0,0,0,0,198904,79806,0,79806,4.248,0,9130,147144,236080,434984,669,0,68701,-4323,0,-26916,16693,54824,5215,60039,0.111
28,2003,8910,116862,125772,251758,0,0,0,251758,4894,0,-606,4959,0,9247,0,386777,24453,623,13129,63362,0,4968,82082,-33009,49073,46180,39138,68761,188467,575244,18874,0,1895,22283,43052,138775,0,138775,0,0,0,0,181827,140632,0,140632,4.386,0,12517,171089,324238,506065,669,0,75553,-3177,0,-26627,17288,63706,5473,69179,0.111
