enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
31,2001,559.899,37.981,1094.956,0,0,1094.956,1498.909,0,0,49.512,49.512,59.164,0,0,153.329,3453.75,2498.888,312.536,357.343,47.598,1.756,6.752,3223.117,51,0,64.253,-1.434,84.822,0,31.993,230.634,0,230.634,0.067
31,2002,707.823,0,1496.602,-32.894,0,1463.708,2504.86,83.532,0,0,83.532,74.839,0,0,138.287,4973.049,3612.458,85.53,441.94,44.164,1.077,337.525,4521.617,57,0,95.922,59.452,239.005,0,0.053,451.432,0,451.432,0.091
31,2003,500.806,162.031,2513.262,-39.153,0,2474.109,2955.929,131.414,0,0,131.414,110.34,0,0,187.281,6521.91,4679.723,144.238,451.302,44.236,0.908,656.376,5975.875,58,0,136.583,105.072,245.93,0,0.451,546.036,0,546.036,0.084
31,2004,733.786,522.699,4027.542,-77.872,0,3949.67,3909.536,92.905,0,0,92.905,137.09,0,0,142.494,9488.18,6759.01,92.616,534.952,135.257,0.966,1272.403,8794.238,63,0,201.342,151.272,278.426,0,-0.098,693.942,0,693.942,0.073
31,2005,863.121,199.775,5971.235,-80.17,0,5891.065,4721.669,112.812,0,0,112.812,162.706,0,0,209.593,12160.741,8349.983,1001.882,1425.878,115.517,1.36,134.253,11027.513,71,0,295.655,174.127,592.313,0,0.134,1133.229,0,1133.229,0.093
31,2006,1614.124,94.872,10209.151,-1278.254,0,8930.897,6245.145,195.773,0,0,195.773,196.879,0,0,593.751,17871.441,12591.896,186.728,1709.9,384.712,1.677,1744.372,16617.608,71,0,413.154,159.292,605.611,0,-0.249,1248.808,5.025,1253.833,0.07
31,2007,2136.944,0,12468.401,-183.389,0,12285.012,7061.721,360.366,0,0,360.366,237.942,0,0,1108.229,23190.214,15617.883,389.961,2185.184,769.071,1.97,2721.343,21683.442,73,0,560.822,173.623,691.829,0,0.099,1499.373,7.399,1506.772,0.065
31,2008,3666.889,59.925,18136.198,-317.248,0,17818.95,10437.332,281.421,0,0,281.421,347.775,0,0,4951.075,37563.367,25056.796,4389.287,3225.232,814.172,1.36,1096.022,34581.509,88,0,773.833,-30.736,1760.497,0,378.756,2970.35,11.508,2981.858,0.079
31,2009,3348.864,500.685,19774.373,-480.175,0,19294.198,9937.713,402.54,0,0,402.54,403.868,1714.658,1465.66,3919.875,39522.401,27895.828,4881.121,532.71,1322.12,0.38,0,34631.779,83,0,681.528,166.696,3498.745,0,449.79,4879.759,10.863,4890.622,0.123
31,2010,6546.812,440.035,29063.033,-522.775,0,28540.258,11211.166,302.905,0,0,302.905,490.701,1845.935,1648.766,3789.901,53167.713,36795.758,1673.742,2159.803,1668.931,0.569,4126.946,46425.18,101,0,1703.335,-4.372,4923.663,0,-0.289,6723.337,19.197,6742.533,0.126
31,2011,8767.014,50.523,36708.805,-576.527,0,36132.279,14848.763,439.784,0,365.367,805.151,509.441,1811.022,1668.464,2093.77,65017.963,46357.819,3228.393,1707.401,2077.004,0.491,3903.046,57273.663,104,0,1601.853,768.475,5240.6,0,-0.421,7714.507,29.792,7744.3,0.119
31,2012,6776.513,478.346,40391.974,-554.11,0,39837.865,17554.852,529.064,0,376.431,905.495,495.615,1568.833,1487.941,3290.097,70907.616,48945.161,3497.598,2236.596,3541.585,0.737,4812.07,63033.01,93,0,1980.831,914.065,4855.991,0,0.191,7844.078,30.528,7874.606,0.111
31,2013,7743.042,1311.437,46639.297,-619.118,0,46020.179,20312.313,631.552,0,590.514,1222.066,532.467,1409.469,1376.955,1762.757,80313.73,54398.68,3259.194,2675.66,5424.549,0.941,5912.633,71670.716,87,0,2439.659,1300.085,4776.781,0,4.511,8608.036,34.978,8643.014,0.107
31,2014,9041.301,1000.86,52967.817,-699.178,0,52268.639,15979.336,662.676,0,569.451,1232.127,514.69,1233.337,1229.546,2825.02,84095.31,60215.662,2765.075,2473.855,6484.4,1.026,3411.089,75350.081,79,0,2873.057,1317.412,4458.085,0,-0.275,8727.279,17.95,8745.229,0.104
