enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
32,1994,892,0,892,1343,0,0,0,1343,504,635,-269,824,51,1745,587,4567,0,321,1241,6075,531,0,8168,-4074,4094,1087,1087,1081,6262,10829,1207,0,0,1924,3131,358,0,358,0,0,0,0,3489,1602,0,1602,0.82,0,339,3009,4950,8439,358,0,1023,-7,2453,-1437,0,2390,0,2390,0.221
32,1995,508,0,508,1697,0,0,0,1697,488,706,-287,766,70,1743,637,4585,0,333,1371,6709,379,0,8792,-4532,4260,1349,1349,1127,6736,11321,1296,0,0,1832,3128,263,0,263,0,0,0,0,3391,1424,0,1424,0.566,0,406,3118,4948,8339,358,0,1613,58,2458,-1505,0,2982,0,2982,0.263
32,1996,540,0,540,1751,0,0,0,1751,650,769,-273,747,98,1991,608,4890,0,370,1545,7482,388,0,9785,-5043,4742,1572,1572,1261,7575,12465,1385,0,0,1775,3160,644,0,644,0,0,0,0,3804,1366,0,1366,0.56,0,551,3152,5069,8873,358,0,2315,88,2489,-1658,0,3592,0,3592,0.288
32,1997,1465,301,1766,1661,0,0,0,1661,538,762,-256,814,88,1946,466,5839,0,331,1415,6781,449,0,8976,-4757,4219,1418,1418,1353,6990,12829,1187,0,0,1895,3082,614,0,614,0,0,0,0,3696,1317,0,1317,0.462,0,610,3026,4953,8649,716,0,3214,14,2189,-1953,0,4180,0,4180,0.326
32,1998,611,430,1041,1886,0,0,0,1886,605,722,-228,905,89,2093,553,5573,0,330,1455,6994,410,0,9189,-4938,4251,2426,2426,1457,8134,13707,1345,0,0,1999,3344,1092,0,1092,0,0,0,0,4436,1215,0,1215,0.526,0,694,2976,4885,9321,716,0,4089,-179,2425,-2665,0,4386,0,4386,0.32
32,1999,1018,0,1018,3899,0,0,0,3899,996,1095,-190,1555,0,3456,981,9354,0,407,2174,9471,605,0,12657,-7057,5600,4365,4365,3419,13384,22738,2018,0,0,3437,5455,2190,0,2190,0,0,0,0,7645,2776,0,2776,0.614,0,861,3373,7010,14655,953,0,8918,-94,1719,-3413,0,8083,0,8083,0.355
32,2000,1991,0,1991,3896,0,0,0,3896,1027,973,-153,1589,0,3436,1099,10422,0,371,2192,9574,566,0,12703,-7073,5630,4660,4660,2815,13105,23527,2129,0,0,3534,5663,2609,0,2609,0,0,0,0,8272,2457,0,2457,0.589,0,864,3335,6656,14928,958,0,9932,-355,2318,-4254,0,8599,0,8599,0.365
32,2001,1196,0,1196,4623,0,0,0,4623,1262,809,-134,1797,0,3734,1108,10661,0,337,2134,9484,505,0,12460,-7230,5230,5898,0,3386,14514,25175,2364,0,0,3168,5532,1682,0,1682,0,0,0,0,7214,3941,0,3941,0.579,0,1173,3140,8254,15468,958,0,10992,-729,2782,-4296,0,9707,0,9707,0.386
32,2002,1393,0,1393,3620,0,0,0,3620,1024,869,-141,1603,0,3355,1526,9894,0,316,1968,8874,523,0,11681,-6748,4933,6356,0,3043,14332,24226,1862,0,0,3819,5681,539,0,539,0,0,0,0,6220,4731,0,4731,0.575,0,875,3230,8836,15056,958,0,10284,-835,3015,-4252,0,9170,0,9170,0.379
32,2003,2021,0,2021,3264,0,0,0,3264,936,804,-148,1361,0,2953,1962,10200,0,297,1836,8646,378,0,11157,-7102,4055,6772,0,6538,17365,27565,1912,0,0,4403,6315,370,0,370,0,0,0,0,6685,4719,0,4719,0.57,0,186,7050,11955,18640,958,0,9450,-1109,3409,-3783,0,8925,0,8925,0.324
