enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
36,1994,1659,1477,3136,1448,0,0,0,1448,216,321,0,301,0,838,380,5802,0,0,0,0,0,6313,6313,-2317,3996,0,0,1546,5542,11344,427,0,0,918,1345,497,0,497,0,0,0,591,2433,426,0,426,0.123,0,297,688,1411,3844,2194,0,5306,0,0,0,0,7500,0,7500,0.661
36,1995,1180,1230,2410,1978,0,0,0,1978,345,528,0,296,0,1169,610,6167,0,2292,0,5374,850,0,8516,-3149,5367,0,0,2282,7649,13816,575,0,0,1234,1809,517,0,517,0,0,0,698,3024,392,0,392,0.098,0,389,744,1525,4549,2306,0,6961,0,0,0,0,9267,0,9267,0.671
36,1996,1463,995,2458,3116,0,0,0,3116,674,707,0,623,0,2004,519,8097,0,3145,0,7099,1548,0,11792,-4321,7471,0,0,1936,9407,17504,864,0,0,1304,2168,346,0,346,0,0,0,1105,3619,400,0,400,0.061,0,620,725,1745,5364,2583,0,9557,0,0,0,0,12140,0,12140,0.694
36,1997,4165,3742,7907,3723,0,0,0,3723,280,672,0,341,0,1293,761,13684,0,4372,0,8729,1161,0,14262,-5775,8487,0,0,1564,10051,23735,969,0,0,2045,3014,389,0,389,0,0,0,1460,4863,728,0,728,0.066,0,997,275,2000,6863,2897,0,13975,0,0,0,0,16872,0,16872,0.711
36,1998,4102,5630,9732,3438,0,0,0,3438,255,928,0,514,0,1697,1000,15867,0,5113,0,10577,2437,0,18127,-7461,10666,0,0,2347,13013,28880,1407,0,0,2610,4017,322,0,322,0,0,0,1681,6020,448,0,448,0.04,0,1076,2041,3565,9585,3311,0,15926,58,0,0,0,19295,0,19295,0.668
36,1999,2038,5588,7626,3527,0,0,0,3527,206,795,0,581,0,1582,740,13475,0,6297,0,13149,1622,0,21068,-9459,11609,111,0,6276,17996,31471,1244,0,0,2837,4081,159,0,159,0,0,0,1564,5804,702,0,702,0.037,0,1387,201,2290,8094,4822,0,17952,603,0,0,0,23377,0,23377,0.743
36,2000,3695,8093,11788,3700,0,0,0,3700,183,755,0,540,0,1478,853,17819,0,7246,0,14851,1460,0,23557,-11842,11715,4934,0,9381,26030,43849,1370,0,0,3195,4565,230,0,230,0,0,0,2304,7099,955,0,955,0.036,0,3130,130,4215,11314,7316,0,21428,3791,0,0,0,32535,0,32535,0.742
36,2001,2976,10847,13823,4129,0,0,0,4129,384,1057,0,800,0,2241,957,21150,0,7416,0,15994,4843,0,28253,-13240,15013,5941,0,5841,26795,47945,2387,0,0,3918,6305,378,0,378,674,0,674,1293,8650,707,0,707,0.029,0,1266,0,1973,10623,8486,0,28738,98,0,0,0,37322,0,37322,0.778
36,2002,7970,3580,11550,2607,0,0,0,2607,237,1316,0,700,0,2253,1223,17633,0,10709,0,21605,2042,0,34356,-16235,18121,4330,0,4311,26762,44395,1769,0,0,2986,4755,409,0,409,418,0,418,988,6570,1050,0,1050,0.041,0,945,0,1995,8565,8833,0,27150,-153,0,0,0,35830,0,35830,0.807
36,2003,7404,5183,12587,2574,0,0,0,2574,223,1365,0,688,0,2276,1488,18925,0,11374,0,22800,2738,0,36912,-19065,17847,4330,0,3122,25299,44224,1543,0,0,2984,4527,436,0,436,475,0,475,1157,6595,929,0,929,0.038,0,1232,0,2161,8756,7641,0,27847,-20,0,0,0,35468,0,35468,0.802
36,2004,7971,8193,16164,2960,0,0,0,2960,333,1490,0,696,0,2519,1239,22882,0,12651,0,24233,1808,0,38692,-22031,16661,3705,0,3895,24261,47143,1660,0,0,3577,5237,224,0,224,633,0,633,785,6879,936,0,936,0.031,0,1482,0,2418,9297,6754,0,31016,76,0,0,0,37846,0,37846,0.803
36,2005,8407,8765,17172,2999,0,0,0,2999,388,1418,0,815,0,2621,1266,24058,0,13277,0,24561,1995,0,39833,-24065,15768,3719,0,4598,24085,48143,1943,0,0,4107,6050,201,0,201,592,0,592,1163,8006,703,0,703,0.023,0,855,0,1558,9564,6143,0,32288,148,0,0,0,38579,0,38579,0.801
36,2006,7324,5448,12772,3914,0,0,0,3914,409,1662,0,1055,0,3126,1382,21194,0,13938,0,27297,2897,0,44132,-27021,17111,3873,0,6136,27120,48314,2249,0,0,4080,6329,313,0,313,632,0,632,1960,9234,2106,0,2106,0.067,0,703,89,2898,12132,6245,0,29810,127,0,0,0,36182,0,36182,0.749
36,2007,6598,3404,10002,2709,0,0,0,2709,608,2044,0,1662,0,4314,1255,18280,0,14544,0,29829,2711,0,47084,-29482,17602,3861,3861,8625,30088,48368,2256,0,0,3682,5938,180,0,180,599,0,599,1797,8514,1848,0,1848,0.055,0,265,989,3102,11616,7825,0,28984,-57,0,0,0,36752,0,36752,0.76
36,2008,7307,5490,12797,2576,0,0,0,2576,507,1460,0,1403,0,3370,5142,23885,0,15267,0,27754,3031,0,46052,-29134,16918,3916,3916,10932,31766,55651,2361,0,0,5104,7465,142,0,142,625,0,625,339,8571,1980,0,1980,0.05,0,411,1927,4318,12889,11653,0,30848,261,0,0,0,42762,0,42762,0.768
36,2009,3350,5331,8681,1712,0,0,0,1712,608,1577,0,1559,0,3744,5734,19871,3276,16557,0,28831,2730,0,48118,-30544,17574,3932,3932,5819,30601,50472,2390,140,0,4723,7253,102,0,102,463,0,463,0,7818,1185,0,1185,0.033,0,46,1877,3108,10926,13402,0,26537,-393,0,0,0,39546,0,39546,0.784
36,2010,3987,9933,13920,2273,0,0,0,2273,437,1469,0,1029,0,2935,2029,21157,4952,16687,0,28339,2796,0,47822,-30597,17225,4421,4421,5340,31938,53095,1883,0,0,2495,4378,172,0,172,593,0,593,2448,7591,2049,0,2049,0.053,0,555,1196,3800,11391,14993,0,26318,393,0,0,0,41704,0,41704,0.785
36,2011,5498,16387,21885,2867,0,0,0,2867,471,1887,0,1399,0,3757,3102,31611,4034,17421,0,30421,2639,0,50481,-32582,17899,5391,4531,4251,31575,63186,2290,0,0,3364,5654,38,0,38,747,0,747,2888,9327,2077,0,2077,0.043,0,926,1426,4429,13756,16178,0,32919,333,0,0,0,49430,0,49430,0.782
36,2012,5065,9772,14837,3650,0,0,0,3650,644,1680,0,1772,0,4096,3289,25872,4249,0,0,34351,5839,17883,58073,-34446,23627,15521,9254,1850,45247,71119,2956,0,0,3948,6904,247,0,247,1929,0,1929,2948,12028,7084,0,7084,0.16,0,2617,3479,13180,25208,17036,0,29656,-781,0,0,0,45911,0,45911,0.646
36,2013,8478,9684,18162,3833,0,0,0,3833,478,2219,0,2037,0,4734,4629,31358,7111,0,0,39033,8206,18807,66046,-38063,27983,15945,9710,1954,52993,84351,3023,0,0,4659,7682,312,0,312,1932,0,1932,2972,12898,13136,0,13136,0.263,0,3412,3702,20250,33148,19464,0,32138,-399,0,0,0,51203,0,51203,0.607
