enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
37,1994,19.7,0,19.7,0,0,0,10.1,10.1,0,0,0,0,2.3,2.3,87.8,119.9,0,0,0,0,0,29.7,29.7,-5.5,24.2,98.6,0,1.9,124.7,244.6,12.9,0,0,0,12.9,0,0,0,0,0,0,37.9,50.8,0,0,0,0,0,7.9,0.1,8,58.8,0,0,-164.3,0,0,0,350.1,185.8,0,185.8,0.76
37,1995,70,0,70,0,0,0,35.3,35.3,0,0,0,0,6,6,148.1,259.4,0,0,0,0,0,54.3,54.3,-5.5,48.8,74.4,0,1.6,124.8,384.2,19.7,0,0,0,19.7,0,0,0,0,0,0,78.4,98.1,4.4,0,4.4,0.016,0,0.5,0,4.9,103,0,0,-209.6,0,0,0,490.8,281.2,0,281.2,0.732
37,1996,44.6,0,44.6,0,0,0,49.5,49.5,0,0,0,0,4.4,4.4,181.9,280.4,0,0,0,0,0,101.1,101.1,-5.5,95.6,31.6,0,10.4,137.6,418,34,0,0,0,34,0,0,0,0,0,0,76.7,110.7,5.6,0,5.6,0.019,0,2.5,0,8.1,118.8,0,0,-231.5,0,0,0,530.7,299.2,0,299.2,0.716
37,1997,46.8,0,46.8,0,0,0,42.2,42.2,0,0,0,0,3.3,3.3,362.5,454.8,0,0,0,0,0,154,154,-70.6,83.4,46.8,0,78.7,208.9,663.7,35.7,0,0,0,35.7,0,0,0,0,0,0,175.9,211.6,36.4,0,36.4,0.088,0,0.6,0,37,248.6,0,0,-163.2,0,0,0,578.3,415.1,0,415.1,0.625
37,1998,138.1,0,138.1,0,0,0,59.4,59.4,0,0,0,0,3.7,3.7,778.9,980.1,0,0,0,0,0,135.5,135.5,-66.1,69.4,371.6,0,77.5,518.5,1498.6,44,0,0,0,44,0,0,0,0,0,0,330.7,374.7,35.6,0,35.6,0.033,0,0,-0.1,35.5,410.2,0,0,-175.4,0,0,0,1263.8,1088.4,0,1088.4,0.726
37,1999,554.2,882.2,1436.4,0,0,0,63.7,63.7,0,0,0,0,4.9,4.9,217.9,1722.9,0,0,0,0,0,214.7,214.7,-95.5,119.2,481.1,0,165.9,766.2,2489.1,66.4,0,0,0,66.4,29.9,0,29.9,0,0,0,782.9,879.2,36.6,0,36.6,0.043,0,11.6,0.1,48.3,927.5,1,0,216.6,77.7,1266,0,0.1,1561.4,0.2,1561.6,0.627
37,2000,416.953,1276.098,1693.051,0,0,0,67.42,67.42,0,0,0,0,0,0,368.32,2128.794,0,0,0,0,0,310.208,310.208,-142.501,167.707,438.878,0,143.523,750.108,2878.902,79.145,0,0,0,79.145,2.58,0,2.58,0,0,0,725.112,806.837,0.538,0,0.538,0.002,0,0,0,0.538,807.375,2,0,520.666,29.064,1519.516,0,0.043,2071.289,0.238,2071.527,0.719
37,2001,94.301,1204.612,1298.913,26.778,0,0,0,26.778,0,0,0,0,0,0,723.07,2048.757,0,21.285,65.701,225.927,8.54,0,321.453,-146.794,174.659,415.135,326.82,223.722,813.516,2862.273,62.994,0,0,64.325,127.319,38.672,0,38.672,137.041,0,137.041,385.765,688.797,12.15,0,12.15,0.024,0,0,0,12.15,700.947,2,0,437.873,6.46,1723.385,-8.497,0.105,2161.326,0,2161.326,0.755
37,2002,414.748,832.133,1246.881,51.999,0,0,2.187,54.186,0,0,0,0,0,0,659.41,1960.472,0,0,0,0,0,386.571,386.571,-207.449,179.122,554.422,0,233.989,967.533,2928.005,71.069,0,0,87.426,158.495,2.277,0,2.277,147.12,0,147.12,389.864,697.756,14.61,0,14.61,0.008,0,0,0,14.61,712.366,2,0,511.342,-16.303,1844.595,-126.107,0.112,2215.639,0,2215.639,0.757
37,2003,170.043,1037.623,1207.666,88.156,0,0,0,88.156,0,0,0,0,0,0,373.05,1668.87,0,2.287,25.875,244.535,22.267,168.549,463.513,-275.26,188.253,716.536,0,216.608,1121.397,2790.267,56.786,0,0,0,56.786,0,0,0,178.84,0,178.84,560.539,796.165,29.265,0,29.265,0.015,0,0,0,29.265,825.43,2,0,742.248,-26.639,1919.559,-672.326,-0.005,1964.837,0,1964.837,0.704
