enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
38,1994,372,0,372,0,0,0,2107,2107,0,0,0,0,1717,1717,1021,5217,0,0,0,0,0,6783,6783,-2377,4406,925,0,1694,7025,12242,901,0,0,0,901,915,0,915,0,0,0,1396,3212,1493,0,1493,0.432,0,122,1847,3462,6674,0,0,7727,0,0,0,-2159,5568,0,5568,0.455
38,1995,636,0,636,0,0,0,3233,3233,0,0,0,0,2161,2161,650,6680,0,0,0,0,0,7655,7655,-2745,4910,2403,0,1675,8988,15668,1192,0,0,0,1192,899,0,899,0,0,0,2175,4266,2199,0,2199,0.435,0,130,1951,4280,8546,0,0,8966,0,0,0,-1844,7122,0,7122,0.455
38,1996,1201,0,1201,0,0,0,2903,2903,0,0,0,0,2276,2276,1558,7938,0,0,0,0,0,8175,8175,-2979,5196,2950,0,1789,9935,17873,1602,0,0,0,1602,321,0,321,0,0,0,2465,4388,2107,0,2107,0.268,0,156,2177,4440,8828,0,0,10511,0,0,0,-1466,9045,0,9045,0.506
38,1997,2011,0,2011,0,0,0,3251,3251,0,0,0,0,2498,2498,1610,9370,0,0,0,0,0,9023,9023,-3372,5651,3107,0,1882,10640,20010,1743,0,0,0,1743,872,0,872,0,0,0,2569,5184,1410,0,1410,0.211,0,170,2410,3990,9174,0,0,11012,0,0,0,-176,10836,0,10836,0.542
38,1998,2753,0,2753,0,0,0,3329,3329,0,0,0,0,2516,2516,1965,10563,0,0,0,0,0,9444,9444,-3634,5810,3261,0,1819,10890,21453,1753,0,0,0,1753,714,0,714,0,0,0,2816,5283,1126,0,1126,0.149,0,175,2510,3811,9094,0,0,12694,0,0,0,-335,12359,0,12359,0.576
38,1999,1994,789,2783,3752,0,0,0,3752,776,510,0,1612,0,2898,2053,11486,0,466,2991,5686,1126,0,10269,-3874,6395,7364,0,2047,15806,27292,1877,0,0,0,1877,2753,0,2753,0,0,0,3663,8293,1729,0,1729,0.318,0,578,2615,4922,13215,1535,0,13968,-366,0,-1060,0,14077,0,14077,0.516
38,2000,2363,1516,3879,4233,0,0,0,4233,0,0,0,0,3095,3095,1993,13200,0,0,0,0,0,11046,11046,-4327,6719,7571,0,1673,15963,29163,2003,0,0,0,2003,1806,0,1806,0,0,0,3645,7454,2450,0,2450,0.263,0,287,2759,5496,12950,1535,0,16192,-437,0,-1077,0,16213,0,16213,0.556
38,2001,4278,2479,6757,4601,0,0,0,4601,718,480,0,1707,0,2905,2428,16691,0,427,3659,6312,1468,0,11866,-4457,7409,7535,0,2610,17554,34245,2122,0,0,3322,5444,1489,0,1489,0,0,0,322,7255,3163,0,3163,0.228,0,255,3177,6595,13850,3120,0,18113,-496,0,-342,0,20395,0,20395,0.596
38,2002,3758,4214,7972,4630,0,0,0,4630,842,605,0,1545,0,2992,2879,18473,0,459,3911,6805,1283,0,12458,-4739,7719,9077,0,3219,20015,38488,2838,0,0,4104,6942,565,0,565,0,0,0,537,8044,2217,0,2217,0.115,0,493,3501,6211,14255,3120,0,23066,-560,0,-1393,0,24233,0,24233,0.63
38,2003,2894,4581,7475,5399,0,0,0,5399,835,803,0,1665,0,3303,3089,19266,0,472,4364,7869,1609,0,14314,-5604,8710,9246,0,3334,21290,40556,3621,0,0,5001,8622,2117,0,2117,0,0,0,710,11449,2022,0,2022,0.182,0,643,3745,6410,17859,3120,0,26571,-867,0,-6127,0,22697,0,22697,0.56
38,2004,5377,4146,9523,6574,0,0,0,6574,966,981,0,1641,0,3588,3310,22995,0,594,5219,9558,1681,0,17052,-7206,9846,11539,0,3883,25268,48263,4966,0,0,7343,12309,1139,0,1139,0,0,0,0,13448,2955,0,2955,0.152,0,780,4211,7946,21394,3120,0,30503,-608,0,-6146,0,26869,0,26869,0.557
38,2005,9203,3681,12884,6831,0,0,0,6831,964,1113,0,1667,0,3744,3861,27320,0,515,5907,10455,1787,0,18664,-8228,10436,11842,0,3719,25997,53317,5227,0,0,6914,12141,280,0,280,0,0,0,1506,13927,2565,0,2565,0.089,0,403,4609,7577,21504,3120,0,35223,-526,0,-6004,0,31813,0,31813,0.597
38,2006,16055,83,16138,7010,0,0,0,7010,931,1073,0,1955,0,3959,4373,31480,0,502,5875,10835,2504,0,19716,-8886,10830,12175,5990,4379,27384,58864,4315,0,0,7652,11967,668,0,668,0,0,0,0,12635,2017,0,2017,0.069,0,211,5291,7519,20154,3120,0,42310,-755,0,-5965,0,38710,0,38710,0.658
