enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
39,1994,12882,10556,78878,-3020,-477,75381,37627,1106,0,0,1106,1910,0,0,10426,149888,98277,2607,11908,8192,1.8,17740,138724,0,1654,2501,0,0,0,7009,11164,0,11164,0.074
39,1995,14481,12797,79227,-2480,-460,76287,55799,1190,0,0,1190,2134,0,0,8735,171423,96506,2361,11843,7991,1.852,42010,160711,0,1450,3263,0,0,0,5999,10712,0,10712,0.062
39,1996,11743,8033,82628,-2379,-485,79764,70805,1328,0,0,1328,2038,0,0,9215,182926,98417,4892,9238,7329,1.391,51138,171014,0,1250,4493,0,0,0,6169,11912,0,11912,0.065
39,1997,22949,28966,156465,-3549,-1373,151543,108502,3020,0,0,3020,3642,0,0,17477,336099,180921,12309,13731,13314,1.288,94280,314555,0,2650,8627,-288,0,0,10005,20994,550,21544,0.062
39,1998,18590,30928,170066,-3624,-1612,164830,125131,3359,0,0,3359,3780,0,0,18903,365521,193688,12526,11605,15127,1.23,110283,343229,0,1740,11086,112,0,0,8804,21742,550,22292,0.059
39,1999,24280,18487,174421,-3552,-1667,169202,122182,2316,0,0,2316,4055,0,0,25353,365875,212437,14291,15027,18375,1.401,81357,341487,0,1028,13544,392,0,0,8874,23838,550,24388,0.065
39,2000,44305,23823,177677,-3457,-1518,172702,124782,2505,0,0,2505,4439,0,0,33549,406105,241745,17056,13654,20140,1.431,89343,381938,882,928,17547,-1454,9714,-4000,0,23617,550,24167,0.058
39,2001,32305,69474,216050,-3665,0,212385,321688,20618,0,0,20618,7087,15833,0,35958,715348,279365,40754,44691,43299,2.052,260412,668521,1940,2070,28096,-241,11598,-575,0,42888,3939,46827,0.06
39,2002,35343,63727,219269,-4524,-1825,212920,294942,14799,0,0,14799,6292,15347,0,50205,693575,293650,47813,29345,43622,1.775,237496,651926,1997,1009,26993,-442,12495,-953,0,41099,550,41649,0.059
39,2003,28160,65809,218254,-5350,-1890,211014,375135,14137,0,0,14137,6829,12902,0,44814,758800,304753,38440,25537,45190,1.672,302574,716494,2024,1009,25851,1227,13222,-1027,0,42306,0,42306,0.056
39,2004,30443,76868,220808,-4523,-1290,214995,362199,12356,0,0,12356,6487,14991,0,52573,770912,326491,45066,23209,54782,1.69,262915,712463,2044,1009,29681,-30,13512,-62,0,46154,12295,58449,0.06
39,2005,56848,101354,402114,-7320,0,394794,438490,21409,0,31722,53131,9145,57887,0,45599,1157248,521456,75722,21644,105718,1.205,278994,1003534,3585,339,30209,-208,72801,-1073,0,105653,48061,153714,0.091
39,2006,58331,133981,419148,-7090,0,412058,248706,52161,0,0,52161,9081,58180,43621,226444,1198942,554991,130233,13863,130365,1.345,262279,1091731,3618,139,33848,-626,74994,-4762,0,107211,0,107211,0.089
39,2007,53959,140524,483127,-7279,0,475848,375239,22891,0,0,22891,8735,60037,45185,214287,1351520,638788,145565,18849,163683,1.576,268845,1235730,3658,0,43600,-1557,77807,-7718,0,115790,0,115790,0.086
39,2008,51610,170897,519374,-9234,0,510140,497630,24823,0,0,24823,9319,60001,45270,237727,1562147,740728,123102,49596,227845,2.252,297655,1438926,3658,0,54715,-917,78597,-12832,0,123221,0,123221,0.079
39,2009,165034,203115,744898,-23164,0,721734,640864,60987,0,0,60987,10045,63011,48027,310262,2175052,1009277,309582,49037,391891,2.642,248381,2008168,3942,31939,54013,-5687,92143,-9249,-217,166884,0,166884,0.077
39,2010,89436,195404,633458,-31602,0,601856,733205,67427,0,0,67427,11118,68509,48357,265034,2031989,938367,222821,41794,322058,2.2,341584,1866624,4105,8152,62481,-91,97982,-7196,-68,165365,0,165365,0.081
39,2011,49240,222554,692927,-32266,0,660661,733174,70147,0,0,70147,13355,66542,48854,301932,2117605,930369,239549,35363,304978,1.933,431240,1941499,4105,7800,73998,1001,97415,-8160,-53,176106,0,176106,0.083
39,2012,144881,235314,723720,-27609,0,696111,718901,61478,0,0,61478,14041,58618,48188,336448,2265792,1127806,277872,73539,256775,1.799,346227,2082219,4105,7800,88315,944,95602,-13155,-38,183573,0,183573,0.081
39,2013,175537,296296,733796,-21936,0,711860,712397,60933,0,0,60933,14519,58024,48175,329575,2359141,1193593,265896,55367,275660,1.622,364556,2155072,4105,9058,104223,4102,94604,-12002,-21,204069,0,204069,0.087
39,2014,355822,248116,738418,-16264,0,722154,612168,65160,0,0,65160,14891,59313,48081,338065,2415689,1287765,251805,57848,295883,1.675,311210,2204511,4105,11158,115756,1199,93828,-14847,-21,211178,0,211178,0.087
39,2015,512308,215803,757336,-14185,0,743151,621958,70079,0,0,70079,15133,56275,47647,337567,2572274,1363427,205583,66344,306601,1.609,398592,2340547,4105,20063,129977,2189,93270,-17856,-21,231727,0,231727,0.09
39,2016,360505,212575,837299,-13555,0,823744,519382,46605,0,0,46605,14362,54948,47325,319577,2351698,1279715,160422,15562,309756,1.314,338670,2104125,4105,26068,146420,192,92500,-21691,-21,247573,0,247573,0.105
39,2017,389635,229967,894765,-13776,0,880989,545342,52330,0,0,52330,14131,54246,47288,324332,2490972,1375179,235974,34443,295245,1.297,295941,2236782,4105,26068,162440,-1175,91627,-28854,-21,254190,0,254190,0.102
39,2018,431304,198422,930697,-13604,0,917093,521915,67729,0,0,67729,14159,54392,47507,328586,2533600,1443982,222260,51802,284080,1.314,275783,2277907,4105,26068,177676,-119,90579,-42595,-21,255693,0,255693,0.101
39,2019,278793,321588,984554,-13445,0,971109,586469,73200,0,0,73200,14934,54349,47471,322090,2622532,1470666,232679,69276,282031,1.37,311365,2366017,4105,26068,199202,-1507,89162,-60494,-21,256515,0,256515,0.098
39,2020,263631,249157,997620,-13123,0,984497,646079,72861,0,0,72861,25813,53341,47823,392000,2687379,1562431,247715,40920,291498,1.272,283485,2426049,4105,26993,223211,1569,88522,-83049,-21,261330,0,261330,0.097
39,2021,527609,296284,1012853,-28328,0,984525,930253,90503,0,0,90503,27109,53428,49248,475046,3384757,2144257,294208,45208,281685,1.17,340045,3105403,4105,30063,236990,7986,88394,-88184,0,279354,0,279354,0.083
39,2022,740834,261698,1077714,-16386,0,1061328,984829,102570,0,0,102570,27070,56691,50315,508547,3743567,2462303,303071,53594,301005,1.206,329467,3449440,4105,34838,272268,-84,88415,-105415,0,294127,0,294127,0.079
39,2023,567234,315592,1135647,-19726,0,1115921,982116,125189,0,0,125189,27734,60859,51662,471098,3665743,2340179,339982,44027,295865,1.163,353358,3373411,4105,27404,296456,-17341,89044,-107336,0,292332,0,292332,0.08
