enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
40,1994,998,0,998,0,0,0,1243,1243,0,0,0,0,1049,1049,1144,4434,0,0,0,0,0,5596,5596,-1867,3729,549,0,3309,7587,12021,2217,0,0,0,2217,1672,0,1672,0,0,0,1282,5171,1428,0,1428,0.676,0,113,725,2266,7437,0,0,9458,0,0,0,-4874,4584,0,4584,0.381
40,1995,1386,0,1386,0,0,0,1525,1525,0,0,0,0,1047,1047,1247,5205,0,0,0,0,0,6157,6157,-2077,4080,660,0,3928,8668,13873,2564,0,0,0,2564,2083,0,2083,0,0,0,1530,6177,1426,0,1426,0.67,0,180,855,2461,8638,0,0,11006,0,0,0,-5771,5235,0,5235,0.377
40,1996,1167,0,1167,0,0,0,1750,1750,0,0,0,0,1117,1117,1416,5450,0,0,0,0,0,6657,6657,-2321,4336,944,0,4311,9591,15041,2894,0,0,0,2894,2923,0,2923,0,0,0,1531,7348,1141,0,1141,0.754,0,194,966,2301,9649,0,0,12882,0,0,0,-7490,5392,0,5392,0.358
40,1997,1433,0,1433,0,0,0,1641,1641,0,0,0,0,952,952,1884,5910,0,0,0,0,0,5581,5581,-2031,3550,753,0,5948,10251,16161,2972,0,0,0,2972,3397,0,3397,0,0,0,1037,7406,1116,0,1116,0.733,0,301,1182,2599,10005,0,0,15127,0,0,0,-8971,6156,0,6156,0.381
40,1998,1737,0,1737,0,0,0,1639,1639,0,0,0,0,959,959,1634,5969,0,0,0,0,0,5771,5771,-2028,3743,668,0,6501,10912,16881,3249,0,0,0,3249,3074,0,3074,0,0,0,1056,7379,801,0,801,0.533,0,426,1001,2228,9607,0,0,17869,0,0,0,-10595,7274,0,7274,0.431
40,1999,1648,159,1807,1666,0,0,0,1666,0,0,0,0,890,890,2017,6380,0,0,0,0,0,5685,5685,-2016,3669,547,0,8549,12765,19145,3141,0,0,0,3141,4462,0,4462,0,0,0,1037,8640,687,0,687,0.613,0,424,991,2102,10742,0,0,19922,0,0,0,-11519,8403,0,8403,0.439
40,2000,1611,201,1812,1798,0,0,0,1798,0,0,0,0,1076,1076,1794,6480,0,215,1528,4527,0,201,6471,-2204,4267,1960,0,8916,15143,21623,3714,0,0,0,3714,5373,0,5373,0,0,0,769,9856,854,0,854,0.655,0,498,902,2254,12110,867,0,20773,-1551,2584,-13160,0,9513,0,9513,0.44
40,2001,1819,73,1892,1757,0,0,0,1757,0,0,0,0,1066,1066,1905,6620,0,225,1642,4547,0,200,6614,-2446,4168,1917,0,8129,14214,20834,3905,0,0,0,3905,4816,0,4816,0,0,0,600,9321,835,0,835,0.607,0,358,1004,2197,11518,870,0,21265,-2722,3196,-13293,0,9316,0,9316,0.447
40,2002,1866,68,1934,1882,0,0,0,1882,0,0,0,0,1055,1055,2300,7171,0,217,1812,4881,0,195,7105,-2652,4453,2579,0,8214,15246,22417,3679,0,0,851,4530,3899,0,3899,0,0,0,0,8429,1219,0,1219,0.45,0,442,961,2622,11051,873,0,23443,-2788,3520,-13682,0,11366,0,11366,0.507
40,2003,2260,85,2345,2097,0,0,0,2097,0,0,0,0,1294,1294,1616,7352,0,385,2332,5888,0,396,9001,-3090,5911,3458,0,7685,17054,24406,3692,0,0,994,4686,2655,0,2655,0,0,0,0,7341,2701,0,2701,0.454,0,304,2260,5265,12606,873,0,24506,-3047,3857,-14389,0,11800,0,11800,0.483
40,2004,3362,120,3482,2091,0,0,0,2091,0,0,0,0,1252,1252,1571,8396,0,419,2615,6159,0,429,9622,-3525,6097,3989,0,8860,18946,27342,4058,0,0,922,4980,2906,0,2906,0,0,0,0,7886,2517,0,2517,0.385,0,337,2512,5366,13252,874,0,26687,-1995,4395,-15871,0,14090,0,14090,0.515
40,2005,6707,61,6768,2244,0,0,0,2244,0,0,0,0,1420,1420,1849,12281,0,479,2822,6138,230,480,10149,-4058,6091,3836,0,9233,19160,31441,4403,0,0,709,5112,6021,0,6021,0,0,0,0,11133,1157,0,1157,0.45,0,402,2814,4373,15506,875,0,29105,-1348,4928,-17625,0,15935,0,15935,0.507
40,2006,4701,66,4767,2281,0,0,0,2281,704,0,0,512,163,1379,1778,10205,0,447,2692,6739,306,0,10184,-4353,5831,3821,1047,9570,19222,29427,4493,0,0,797,5290,4546,0,4546,0,0,0,0,9836,1154,0,1154,0.349,0,352,1730,3236,13072,877,0,31299,-1669,5492,-19644,0,16355,0,16355,0.556
40,2007,2440,150,2590,2587,0,0,0,2587,923,0,0,548,170,1641,1623,8441,0,495,3020,7889,507,0,11911,-5008,6903,5135,1403,9484,21522,29963,929,0,0,4693,5622,3268,0,3268,0,0,0,0,8890,1314,0,1314,0.271,0,608,2231,4153,13043,878,0,33468,-1291,5983,-22118,0,16920,0,16920,0.565
40,2008,4093,215,4308,3317,0,0,0,3317,1199,0,0,789,232,2220,2260,12105,7777,731,3539,10174,0,0,14444,-5951,8493,12219,4256,2675,31164,43269,1380,258,0,5535,7173,6052,0,6052,0,0,0,0,13225,3277,0,3277,0.429,0,1890,3133,8300,21525,880,0,36235,626,7378,-23375,0,21744,0,21744,0.503
40,2009,4701,278,4979,3090,0,0,0,3090,1191,0,0,706,290,2187,1920,12176,5779,657,3408,10335,0,0,14400,-6074,8326,12505,4029,1733,28343,40519,1370,252,0,4835,6457,6531,0,6531,0,0,0,0,12988,2781,0,2781,0.455,0,877,3011,6669,19657,880,0,38513,-2674,7966,-24213,0,20472,390,20862,0.505
40,2010,7021,2192,9213,3758,0,0,0,3758,1366,0,0,697,291,2354,2226,17551,6755,699,3816,11952,0,0,16467,-6906,9561,12828,4224,1976,31120,48671,1410,264,-264,5247,6657,6800,0,6800,0,0,0,264,13721,5059,0,5059,0.478,0,1580,2965,9604,23325,880,0,41537,-757,8537,-25398,0,24799,547,25346,0.51
40,2011,8517,2820,11337,4430,0,0,0,4430,1425,0,0,1029,196,2650,3162,21579,7585,1122,4883,15701,0,0,21706,-6979,14727,26909,11665,2121,51342,72921,1887,273,-273,6972,8859,9376,0,9376,0,0,0,273,18508,14041,0,14041,0.755,0,4261,4794,23096,41604,880,0,49278,-1450,10057,-27762,0,31003,314,31317,0.425
