enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
42,1994,539.6,0,539.6,0,0,0,950.1,950.1,0,0,0,0,1103,1103,1104.4,3697.1,0,0,0,0,0,6566.5,6566.5,-2366.3,4200.2,1238.6,0,487.7,5926.5,9623.6,329.6,0,0,0,329.6,524.8,0,524.8,0,0,0,2073.6,2928,835.2,0,835.2,0.298,0,127.5,1164.1,2126.8,5054.8,0,0,4500.9,0,0,0,67.9,4568.8,0,4568.8,0.475
42,1995,536.9,0,536.9,0,0,0,1834.6,1834.6,0,0,0,0,968.9,968.9,621.9,3962.3,0,0,0,0,0,7026.4,7026.4,-2614.9,4411.5,4411.5,0,1722.1,10545.1,14507.4,878.2,0,0,0,878.2,2724.4,0,2724.4,0,0,0,2066.9,5669.5,2125.8,0,2125.8,0.906,0,188.9,1167.6,3482.3,9151.8,0,0,5062.1,0,0,0,293.5,5355.6,0,5355.6,0.369
42,1996,999.5,0,999.5,0,0,0,1808.4,1808.4,0,0,0,0,839.6,839.6,491.1,4138.6,0,0,0,0,0,6828.3,6828.3,-2589,4239.3,4105.2,0,1929.4,10273.9,14412.5,1018,0,0,0,1018,1908.8,0,1908.8,0,0,0,2040.2,4967,2592.9,0,2592.9,0.829,0,295.5,1124.5,4012.9,8979.9,0,0,6484.3,0,0,0,-1051.7,5432.6,0,5432.6,0.377
42,1997,813.7,0,813.7,1737.1,0,0,0,1737.1,0,0,0,0,881.4,881.4,459.1,3891.3,0,0,0,0,0,7096.4,7096.4,-2789.4,4307,4028.2,0,2080.7,10415.9,14307.2,829.3,0,0,0,829.3,1212.9,0,1212.9,0,0,0,2180,4222.2,2516.5,0,2516.5,0.611,0,376,1092.4,3984.9,8207.1,0,0,7207.3,0,0,0,-1107.2,6100.1,0,6100.1,0.426
42,1998,1947.5,0,1947.5,0,0,0,1883.2,1883.2,0,0,0,0,900.7,900.7,589.3,5320.7,0,0,0,0,0,7034.9,7034.9,-2933.2,4101.7,1550.5,0,1604.5,7256.7,12577.4,985.5,0,0,0,985.5,227.6,0,227.6,0,0,0,2978.5,4191.6,2326.1,0,2326.1,0.55,0,215.5,1038.6,3580.2,7771.8,0,0,4483.1,0,0,0,162.5,4645.6,160,4805.6,0.369
42,1999,1495.7,0,1495.7,0,0,0,2243.7,2243.7,0,0,0,0,999.9,999.9,667.5,5406.8,0,0,0,0,0,7274.5,7274.5,-3178.2,4096.3,1517.9,0,1574.5,7188.7,12595.5,1186,0,0,0,1186,181.4,0,181.4,0,0,0,3239.8,4607.2,2185.5,0,2185.5,0.534,0,247.9,1125.3,3558.7,8165.9,0,0,4228.8,0,0,0,200.8,4429.6,0,4429.6,0.352
42,2000,3700.4,135.6,3836,1842.8,0,0,0,1842.8,0,0,0,0,899.6,899.6,477.1,7055.5,0,0,0,0,0,7347.3,7347.3,-3365.8,3981.5,118.6,0,1669.6,5769.7,12825.2,445.5,0,0,0,445.5,241.5,0,241.5,0,0,0,3248.4,3935.4,2811.9,0,2811.9,0.609,0,137,927.9,3876.8,7812.2,682,0,4985.6,-546.3,0,-108.3,0,5013,0,5013,0.391
42,2001,4114.9,503.3,4618.2,1966.1,0,0,0,1966.1,0,0,0,0,883.1,883.1,475.6,7943,0,0,0,0,0,7784.7,7784.7,-3608.1,4176.6,0,0,2571.2,6747.8,14690.8,661.9,0,0,0,661.9,184.3,0,184.3,0,0,0,4114.5,4960.7,2633.7,0,2633.7,0.466,0,91.6,957.9,3683.2,8643.9,704,0,6223.2,-3381.2,2610,-109.5,0.4,6046.9,0,6046.9,0.412
42,2002,2702.3,1028.7,3731,1406.2,0,0,289,1695.2,264.9,489.6,-9.4,315.1,0,1060.2,452.5,6938.9,0,99.8,2593.1,4776.8,945.7,0,8415.4,-3883,4532.4,0,0,4962.8,9495.2,16434.1,624.1,0,0,0,624.1,286.3,0,286.3,0,0,0,4292.6,5203,3132.1,0,3132.1,0.481,0,0,995,4127.1,9330.1,703,0,7411.2,-3512.5,2610,-107.4,-0.3,7104,0,7104,0.432
42,2003,1945.9,1708.8,3654.7,1670.3,0,0,403.9,2074.2,242.7,816.3,-46.5,482.9,0,1495.4,579.8,7804.1,0,111,2871.7,5148.4,1415,0,9546.1,-4253.1,5293,0,0,5944.9,11237.9,19042,676.9,0,0,0,676.9,545.4,0,545.4,0,0,0,3841.2,5063.5,4358.2,0,4358.2,0.593,0,0,1346.7,5704.9,10768.4,702,0,8500.1,-3429.1,2610,-109.5,0.1,8273.6,0,8273.6,0.434
42,2004,2756.3,957,3713.3,1864.9,0,0,477.6,2342.5,315.9,1169,-64,542.1,0,1963,750.1,8768.9,0,124.8,3134.7,5305.8,2502.7,0,11068,-4529,6539,0,0,6380.4,12919.4,21688.3,875.9,0,0,0,875.9,196.5,0,196.5,0,0,0,4488.4,5560.8,4687.8,0,4687.8,0.5,0,0,1674.9,6362.7,11923.5,702,0,9470.4,-2913.7,2610,-104.2,0.3,9764.8,0,9764.8,0.45
42,2005,5365.3,2099.1,7464.4,2058.7,0,0,494.3,2553,305.7,1356.3,-87.9,717.5,0,2291.6,526.8,12835.8,0,147,3569.5,5627.2,2995.2,0,12338.9,-4788,7550.9,0,0,4480.3,12031.2,24867,648.6,0,0,0,648.6,2020.6,0,2020.6,0,0,0,4924.5,7593.7,4491.9,0,4491.9,0.596,0,620.4,1241.1,6353.4,13947.1,708,0,9724.6,-2528.3,3119.4,-103.8,0,10919.9,0,10919.9,0.439
42,2006,3006.7,2031,5037.7,2313.3,0,0,448.4,2761.7,214.7,1272.4,-80.4,471.3,0,1878,1118.4,10795.8,0,166.8,4584.5,6314.1,2070.6,0,13136,-5223.5,7912.5,0,0,5872.5,13785,24580.8,781.3,0,0,0,781.3,734.7,0,734.7,0,0,0,4200.3,5716.3,5763.5,0,5763.5,0.602,0,695.1,1614,8072.6,13788.9,707,0,10027.2,-3161.9,3323.8,-104.1,-0.1,10791.9,0,10791.9,0.439
