enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
44,1994,185.8,0,185.8,0,0,0,314.6,314.6,0,0,0,0,43.5,43.5,118.9,662.8,0,0,0,0,0,13459,13459,-3377.6,10081.4,415.7,0,875.3,11372.4,12035.2,395.7,0,0,0,395.7,223.3,0,223.3,0,0,0,483,1102,3489.4,0,3489.4,0.592,0,835.3,0,4324.7,5426.7,0,677.3,7612.6,0,0,0,-2015.8,6274.1,334.4,6608.5,0.521
44,1995,179.9,0,179.9,0,0,0,379.3,379.3,0,0,0,0,50.5,50.5,131,740.7,0,0,0,0,0,15184.6,15184.6,-3856.2,11328.4,483.1,0,1039.7,12851.2,13591.9,509.4,0,0,0,509.4,1046.9,0,1046.9,0,0,0,895,2451.3,2935.4,0,2935.4,0.578,0,840.8,56.2,3832.4,6283.7,0,674.2,8625.9,0,0,0,-2414.7,6885.4,422.8,7308.2,0.507
44,1996,334.8,0,334.8,0,0,0,413.6,413.6,0,0,0,0,58,58,149.4,955.8,0,0,0,0,0,17137.6,17137.6,-4326.3,12811.3,534.8,0,1112.7,14458.8,15414.6,564.3,0,0,0,564.3,578.2,0,578.2,0,0,0,652.4,1794.9,4257.8,0,4257.8,0.615,0,835.9,0,5093.7,6888.6,0,358,9831.3,0,0,0,-2328,7861.3,664.7,8526,0.51
44,1997,329.9,0,329.9,0,0,0,495.4,495.4,0,0,0,0,69.6,69.6,207.6,1102.5,0,0,0,0,0,19133.9,19133.9,-4781.8,14352.1,747,0,1184.4,16283.5,17386,638,0,0,0,638,693.3,0,693.3,0,0,0,804,2135.3,4830.1,0,4830.1,0.634,0,975.9,726.5,6532.5,8667.8,0,358,11173,0,0,0,-2812.8,8718.2,0,8718.2,0.501
44,1998,341.4,0,341.4,0,0,0,483.5,483.5,0,0,0,0,70.5,70.5,246.9,1142.3,0,0,0,0,0,20088.2,20088.2,-5126.8,14961.4,0,0,2137.8,17099.2,18241.5,650.6,0,0,0,650.6,1629.4,0,1629.4,0,0,0,704.5,2984.5,4834.1,0,4834.1,0.73,0,1063.5,507.8,6405.4,9389.9,0,0,12569,0,0,0,-3717.4,8851.6,0,8851.6,0.485
44,1999,299.2,0,299.2,609.4,0,0,0,609.4,0,0,0,0,77.3,77.3,323.5,1309.4,0,0,0,0,0,21758,21758,-5716.4,16041.6,0,0,2433.4,18475,19784.4,621.3,0,0,0,621.3,854.8,0,854.8,0,0,0,1021,2497.1,6188.6,0,6188.6,0.744,0,1081.9,552.1,7822.6,10319.7,0,0,13879.6,0,0,0,-4414.9,9464.7,0,9464.7,0.478
44,2000,419.5,0,419.5,708.1,0,0,0,708.1,0,0,0,0,82.7,82.7,362,1572.3,0,0,0,0,0,22450.8,22450.8,-6126.3,16324.5,1261.8,0,1824.6,19410.9,20983.2,585.7,0,0,0,585.7,1619.9,0,1619.9,0,0,0,1068.7,3274.3,5632.4,0,5632.4,0.752,0,1173.6,1263.8,8069.8,11344.1,17,0,15562.8,-1020.1,1288.3,-6208.5,-0.4,9639.1,0,9639.1,0.459
44,2001,421.7,0,421.7,796.5,0,0,0,796.5,0,0,0,0,99.3,99.3,344.9,1662.4,0,0,0,0,0,23569,23569,-6521.4,17047.6,1443.4,0,1530.1,20021.1,21683.5,684.9,0,0,0,684.9,630,0,630,0,0,0,1046,2360.9,7843.9,0,7843.9,0.921,0,1084.9,1189.4,10118.2,12479.1,17,0,17259.4,-1402.3,1441.8,-8111.1,-0.4,9204.4,0,9204.4,0.424
44,2002,418.1,0,418.1,881.9,0,0,0,881.9,0,0,0,0,105.5,105.5,413.8,1819.3,0,3975.6,16147.2,3371.7,0,611.5,24106,-6816.5,17289.5,1419.8,0,2005.9,20715.2,22534.5,689.5,0,0,995.5,1685,362.5,0,362.5,0,0,0,200.8,2248.3,8555.5,0,8555.5,0.94,0,1112.2,1130.1,10797.8,13046.1,17,0,18608.3,-1815.5,1591.2,-8912.2,-0.4,9488.4,0,9488.4,0.421
44,2003,330.4,0,330.4,855.3,0,0,0,855.3,0,0,0,0,111.7,111.7,418,1715.4,0,0,0,0,0,26218.6,26218.6,-7635.2,18583.4,1559.8,0,2111.9,22255.1,23970.5,635.8,0,0,1302.6,1938.4,275.8,0,275.8,0,0,0,208.1,2422.3,9703.6,0,9703.6,0.971,0,1003.7,560,11267.3,13689.6,17,0,19204.4,-1699.7,1747.3,-8987.7,-0.4,10280.9,0,10280.9,0.429
44,2004,492.8,0,492.8,734.5,0,0,0,734.5,0,0,0,0,129.4,129.4,528.7,1885.4,0,4483,19485.5,4090.5,0,681.2,28740.2,-8815.5,19924.7,1665.1,0,2362.8,23952.6,25838,577.4,0,0,1226.9,1804.3,388,0,388,0,0,0,556.2,2748.5,9342.5,0,9342.5,0.812,0,1065.3,699.8,11107.6,13856.1,17,0,20172.3,-726,1837.5,-9318.5,-0.4,11981.9,0,11981.9,0.464
44,2005,1379.8,0,1379.8,745.5,0,0,0,745.5,0,0,0,0,147.5,147.5,585,2857.8,0,4661.1,20781,4426.1,0,639.6,30507.8,-9804.7,20703.1,1828.3,1828.3,2448.3,24979.7,27837.5,714.3,0,0,1367.6,2081.9,862.2,0,862.2,0,0,0,576.4,3520.5,8357.3,0,8357.3,0.649,0,781.5,976.7,10115.5,13636,17,0,21755.8,-178.8,2186,-9578.1,-0.4,14201.5,0,14201.5,0.51
44,2006,4260.6,0,4260.6,793.9,0,0,0,793.9,0,0,0,0,144.3,144.3,1020.2,6219,0,4480.6,20027.4,4398.1,0,576.4,29482.5,-9909.2,19573.3,1924.4,1924.4,2272.1,23769.8,29988.8,678,0,0,1316.6,1994.6,1202.5,0,1202.5,0,0,0,910.6,4107.7,8934.3,0,8934.3,0.669,0,949.2,851.5,10735,14842.7,17,0,23516,-733.1,2720.2,-10373.6,-0.4,15146.1,0,15146.1,0.505
44,2007,2128.1,0,2128.1,806.9,0,0,0,806.9,0,0,0,0,112.4,112.4,2144.8,5192.2,0,0,0,0,0,29722.9,29722.9,-10284.8,19438.1,2073.6,2073.6,2270.6,23782.3,28974.5,668.7,0,0,1459.5,2128.2,17.7,0,17.7,0,0,0,805.7,2951.6,8389.9,0,8389.9,0.544,0,1076.3,1098.4,10564.6,13516.2,17,0,25845.6,-296.7,3445,-13552.2,-0.4,15458.3,0,15458.3,0.534
44,2008,1981.3,0,1981.3,0,0,0,1053.8,1053.8,0,0,0,0,125.3,125.3,421.5,3581.9,1156.4,4836.6,22269.2,4558.2,0,539.7,32203.7,-11219,20984.7,2301.3,2301.3,1367.4,25809.8,29391.7,624.1,248,0,1635.3,2507.4,1991.1,0,1991.1,0,0,0,0,4498.5,7310,0,7310,0.609,0,960.9,1342.5,9613.4,14111.9,17,0,26461.5,1337.4,4226.7,-16762.4,-0.4,15279.8,0,15279.8,0.52
44,2009,2063.4,0,2063.4,0,0,0,931.2,931.2,0,0,0,0,111.5,111.5,411.5,3517.6,1222.3,4689.6,21740.9,4205.1,0,516.8,31152.4,-10897.9,20254.5,2237.4,2237.4,1229.7,24943.9,28461.5,620.4,252.7,0,1633,2506.1,31.8,0,31.8,0,0,0,0,2537.9,10186,0,10186,0.764,0,944.9,1410.1,12541,15078.9,17,0,28953.9,101.3,4600.2,-20289.4,-0.4,13382.6,0,13382.6,0.47
44,2010,1796,0,1796,0,0,0,1060.4,1060.4,0,0,0,0,106.2,106.2,453.7,3416.3,1212.7,5048.3,23466.9,4422.9,0,502.4,33440.5,-11909,21531.5,2425.2,2425.2,1639.2,26808.6,30224.9,636,479.8,0,1854.8,2970.6,18.1,0,18.1,0,0,0,0,2988.7,10560.3,0,10560.3,0.754,0,1278.9,1363.1,13202.3,16191,17,0,31270.8,747.4,4853.9,-22854.8,-0.4,14033.9,0,14033.9,0.464
44,2011,2387,0,2387,0,0,0,1179.1,1179.1,0,0,0,0,109.9,109.9,692.5,4368.5,1335.3,5200.5,24131.4,4608.5,0,542,34482.4,-12421.8,22060.6,2586.1,2586.1,1624.7,27606.7,31975.2,943.9,386.9,0,1585.6,2916.4,8.3,0,8.3,0,0,0,0,2924.7,11497,0,11497,0.786,0,1332.4,1586.9,14416.3,17341,17,0,33811.7,752.9,5196.4,-25143.4,-0.4,14634.2,0,14634.2,0.458
44,2012,2335.7,0,2335.7,1334.7,0,0,0,1334.7,0,0,0,0,116.8,116.8,615.8,4403,1427,5328.3,25101.7,4757.2,0,550.4,35737.6,-12903.1,22834.5,2653.2,2653.2,1672.2,28586.9,32989.9,961.3,600.3,0,1581,3142.6,366.6,0,366.6,0,0,0,0,3509.2,12133.8,0,12133.8,0.869,0,1344.1,1612.6,15090.5,18599.7,17,0,36707.5,449.7,5487.3,-28270.9,-0.4,14390.2,0,14390.2,0.436
44,2013,2336.1,0,2336.1,1375.3,0,0,0,1375.3,0,0,0,0,121.7,121.7,1089,4922.1,1380.5,5612.6,27059.8,5241,0,577.7,38491.1,-13813.9,24677.2,2804,2804,1602.7,30464.4,35386.5,1141.9,669.4,0,1591.8,3403.1,0,0,0,0,0,0,0,3403.1,13632.5,0,13632.5,0.891,0,1531.1,1526.2,16689.8,20092.9,17,0,39278,796.4,5778.9,-30576.3,-0.4,15293.6,0,15293.6,0.432
