enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
45,2011,1785,0,1785,373,0,0,0,373,0,0,0,0,0,0,88,2246,0,29,0,539,194,58,820,-246,574,96,37,74,744,2990,29,0,75,137,241,0,106,106,42,0,42,0,389,250,117,367,0.219,0,0,72,439,828,0,615,606,-6,947,0,0,2162,0,2162,0.723
45,2012,1512,2396,3908,547,0,0,0,547,0,0,0,0,0,0,149,4604,0,34,355,73,327,1136,1925,-450,1475,162,82,90,1727,6331,63,0,171,0,234,0,279,279,90,0,90,296,899,0,398,398,0.138,0,0,135,533,1432,0,615,1606,-6,2684,0,0,4899,0,4899,0.774
45,2013,2384,7242,9626,719,0,0,451,1170,0,0,0,0,0,0,471,11267,0,36,594,93,444,2106,3273,-882,2391,1388,587,57,3836,15103,65,0,169,46,280,0,365,365,30,0,30,377,1052,1500,491,1991,0.2,0,0,305,2296,3348,0,0,1659,2,10094,0,0,11755,0,11755,0.778
45,2014,3323,8126,11449,1109,0,0,0,1109,0,0,0,0,0,0,512,13070,0,45,1071,95,377,2554,4142,-1260,2882,1722,839,221,4825,17895,87,0,181,87,355,0,239,239,38,0,38,468,1100,0,237,237,0.031,0,47,1041,1325,2425,0,0,3159,14,12297,0,0,15470,0,15470,0.864
45,2015,4315,6884,11199,1678,0,0,0,1678,0,0,0,0,0,0,513,13390,0,153,1420,149,738,3324,5784,-1817,3967,21910,17981,699,26576,39966,176,0,202,164,542,0,114,114,66,0,66,702,1424,0,119,119,0.006,0,769,1558,2446,3870,0,0,6099,-228,30225,0,0,36096,0,36096,0.903
45,2016,4907,13527,18434,2559,0,0,0,2559,0,0,0,0,0,0,659,21652,0,596,2273,248,622,4080,7819,-2132,5687,21272,18026,796,27755,49407,196,0,217,192,605,201,7,208,56,0,56,1056,1925,0,107,107,0.007,0,0,3157,3264,5189,0,0,9787,-455,34886,0,0,44218,0,44218,0.895
45,2017,8903,20546,29449,3993,0,0,0,3993,0,0,0,0,0,0,959,34401,0,696,3109,398,1890,5710,11803,-3212,8591,20657,18122,1312,30560,64961,302,155,280,331,1068,0,0,0,90,0,90,1717,2875,0,0,0,0,0,0,2892,2892,5767,0,0,21670,-703,38227,0,0,59194,0,59194,0.911
45,2018,8079,33632,41711,5832,0,0,0,5832,0,0,0,0,0,0,1020,48563,0,798,4909,681,2992,8957,18337,-4616,13721,20105,18221,2135,35961,84524,380,340,390,685,1795,0,0,0,98,0,98,1867,3760,0,0,0,0,0,50,6367,6417,10177,0,0,33990,-227,40584,0,0,74347,0,74347,0.88
45,2019,10019,31095,41114,7587,0,0,0,7587,0,0,0,0,0,0,1779,50480,0,899,7401,1187,7228,14858,31573,-6890,24683,19595,18301,2576,46854,97334,820,491,541,1531,3383,500,0,500,147,0,147,2987,7017,0,0,0,0.006,0,673,5517,6190,13207,0,0,41981,-760,42906,0,0,84127,0,84127,0.864
45,2020,19079,35776,54855,9518,0,0,0,9518,0,0,0,0,0,0,1852,66225,86,1097,11226,1813,10099,31211,55446,-10663,44783,19609,18715,2673,67151,133376,1363,624,886,7080,9953,0,800,800,269,0,269,4031,15053,0,9524,9524,0.102,0,0,7745,17269,32322,0,0,55692,-489,45851,0,0,101054,0,101054,0.758
45,2021,17576,44378,61954,11335,0,0,0,11335,0,0,0,0,0,0,2381,75670,6234,1326,17360,0,11288,40425,70399,-15418,54981,19673,19050,2758,83646,159316,1331,2038,1093,3036,7498,0,1023,1023,382,0,382,6078,14981,0,9631,9631,0.083,0,0,6414,16045,31026,0,0,77345,927,50018,0,0,128290,0,128290,0.805
45,2022,16601,31397,47998,14039,0,0,0,14039,0,0,0,0,0,0,4629,66666,6775,1688,22531,0,14687,51138,90044,-20080,69964,19831,19197,2751,99321,165987,4083,1256,1052,4646,11037,0,1127,1127,0,0,0,8971,21135,0,12746,12746,0.111,0,0,7227,19973,41108,0,0,69761,-693,55811,0,0,124879,0,124879,0.752
45,2023,14681,26057,40738,13466,0,0,0,13466,0,0,0,0,0,0,5345,59549,6201,1874,27720,0,25052,62520,117166,-24975,92191,21203,20306,6583,126178,185727,4990,2339,1117,7716,16162,0,1367,1367,0,0,0,9497,27026,9923,15301,25224,0.212,0,0,7764,32988,60014,0,0,64799,-3530,64444,0,0,125713,0,125713,0.677
