enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
46,1994,829.4,0,829.4,0,0,0,2807.2,2807.2,0,0,0,0,1641.7,1641.7,456.3,5734.6,0,0,0,0,0,7172.8,7172.8,-2278.2,4894.6,6645.5,0,2652.8,14192.9,19927.5,2378.3,0,0,0,2378.3,1736,0,1736,0,0,0,1781.4,5895.7,1120.8,0,1120.8,0.285,0,1744.9,0,2865.7,8761.4,0,0,9393.2,0,0,0,628.5,10021.7,1144.4,11166.1,0.503
46,1995,1604,0,1604,0,0,0,3017.2,3017.2,0,0,0,0,1660.9,1660.9,639.6,6921.7,0,0,0,0,0,7672.9,7672.9,-2376.6,5296.3,7212.3,0,2426.3,14934.9,21856.6,2715.4,0,0,0,2715.4,146.7,0,146.7,0,0,0,2586.5,5448.6,1145.9,0,1145.9,0.116,0,2914.3,0,4060.2,9508.8,0,0,10942,0,0,0,197,11139,1208.8,12347.8,0.51
46,1996,1847.4,0,1847.4,0,0,0,2495.7,2495.7,0,0,0,0,1872.5,1872.5,2401.9,8617.5,0,0,0,0,0,7709,7709,-2439.9,5269.1,6826.3,0,3118.9,15214.3,23831.8,3105.2,0,0,0,3105.2,423.1,0,423.1,0,0,0,2161.2,5689.5,1372.8,0,1372.8,0.153,0,2747.5,0,4120.3,9809.8,0,0,12740.6,0,0,0,-1004.9,11735.7,2286.3,14022,0.492
46,1997,1352.4,0,1352.4,0,0,0,2655.9,2655.9,0,0,0,0,2148.8,2148.8,1569.5,7726.6,0,0,0,0,0,8726.4,8726.4,-2799.7,5926.7,6736.6,0,3903.2,16566.5,24293.1,2937.8,0,0,0,2937.8,606.1,0,606.1,0,0,0,1285.3,4829.2,1155.9,0,1155.9,0.147,0,4027.3,0,5183.2,10012.4,0,0,14817.7,0,0,0,-2847.2,11970.5,2310.2,14280.7,0.493
46,1998,1125.1,0,1125.1,0,0,0,2876.7,2876.7,0,0,0,0,2145.1,2145.1,2066.1,8213,0,0,0,0,0,10032.6,10032.6,-3423.2,6609.4,6780.5,0,4133,17522.9,25735.9,3268.9,0,0,0,3268.9,902.5,0,902.5,0,0,0,1397.2,5568.6,1346.5,0,1346.5,0.179,0,5060.1,0,6406.6,11975.2,0,0,17291.5,0,0,0,-4696.9,12594.6,1166.1,13760.7,0.489
46,1999,2606.2,0,2606.2,3374.1,0,0,0,3374.1,0,0,0,0,2623.9,2623.9,1624.3,10228.5,0,0,0,0,0,11886.6,11886.6,-4042.8,7843.8,8287.2,0,5493.9,21624.9,31853.4,3682.1,0,0,0,3682.1,624.2,0,624.2,0,0,0,1762.5,6068.8,3220.8,0,3220.8,0.3,0,6057,0,9277.8,15346.6,0,0,20186.7,0,0,0,-7384.9,12801.8,3705,16506.8,0.402
46,2000,2021.9,1180.5,3202.4,4089,0,0,0,4089,0,0,0,0,2846.9,2846.9,1120.9,11259.2,0,0,0,0,0,14347,14347,-4670.3,9676.7,7584.2,0,7114.8,24375.7,35634.9,4158.7,0,0,0,4158.7,2859,0,2859,0,0,0,1741.1,8758.8,3143.9,0,3143.9,0.453,0,7030.1,0,10174,18932.8,30,0,23447.9,8.1,5920.5,-16164.6,-0.3,13241.6,3460.5,16702.1,0.372
46,2001,2536.8,1717.8,4254.6,5017.9,0,0,0,5017.9,1174.9,0,0,1762.8,83.8,3021.5,1059.4,13353.4,0,344.7,5481.1,8576.5,2304.9,0,16707.2,-5225.1,11482.1,7374.2,0,7700.7,26557,39910.4,4361.3,0,0,0,4361.3,3319.3,0,3319.3,0,0,0,2029,9709.6,3600.7,0,3600.7,0.467,0,6746.7,0,10347.4,20057,30,0,27363.9,30.8,6265.8,-18857.8,-0.3,14832.4,5021,19853.4,0.372
46,2002,2144,1142.6,3286.6,5215.4,0,0,0,5215.4,1340.7,0,0,2155.7,82.9,3579.3,880.3,12961.6,0,315.2,6653.9,9807,2180.4,0,18956.5,-5853.1,13103.4,7491,0,10465.2,31059.6,44021.2,5108.4,0,0,0,5108.4,4066.7,0,4066.7,0,0,0,2369.1,11544.2,4798.6,0,4798.6,0.552,0,6790.8,0,11589.4,23133.6,30,0,31489.6,10.6,6907.2,-22387.1,-0.2,16050.1,4837.5,20887.6,0.365
46,2003,2243,2728.2,4971.2,5423.4,0,0,0,5423.4,1626.3,0,0,1262.3,75.7,2964.3,1027.5,14386.4,0,336.9,7336.5,10883.6,2426.6,0,20983.6,-6788,14195.6,7241,0,11738.2,33174.8,47561.2,2413.3,0,0,3365.6,5778.9,3669.8,0,3669.8,0,0,0,2926.5,12375.2,4879,0,4879,0.47,0,7178.2,0,12057.2,24432.4,30,0,35434.9,-98.8,6943.7,-24109.1,-0.2,18200.5,4928.3,23128.8,0.383
46,2004,1201,2972,4173,4023.6,0,0,0,4023.6,2309.8,0,-398.1,552.5,90.5,2554.7,775.9,11527.2,0,356.7,8016.9,11018.2,1901.9,0,21293.7,-7124.7,14169,1949.4,0,12941.9,29060.3,40587.5,735.2,0,0,3772.8,4508,1700,0,1700,0,0,0,3361.6,9569.6,5096,0,5096,0.436,0,6430.3,0,11526.3,21095.9,30,0,34142,65.5,6956.6,-25617.5,-0.2,15576.4,3915.2,19491.6,0.384
