enterprise_id,years,balance_statement_cash_and_cash_equivalents,money_market_investments,gross_loan,allowance_for_loans_and_lease_losses,unearned_income,net_loan,securities_&_investments,accounts_receivable,notes_receivable,other_current_receivables,total_receivables,"property,_plant_and_equipment",intangible_assets,goodwill,other_assets_for_banks,total_assets,total_deposits,accounts_payable_&_accrued_expense,short-term_debt_&_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,other_liabilities_for_banks,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
47,1994,2563.7,44414.8,0,0,0,0,26714.6,3699.1,0,0,3699.1,552.3,0,0,2408.7,80353.2,0,462.4,7687.6,3960,3.392,64809.1,76919.1,0,0,2442.4,-1.8,0,0,993.5,3434.1,0,3434.1,0.043
47,1995,1334.1,0,16174.1,-565.7,0,15608.4,5215.1,0,0,5988.5,5988.5,280.6,164.9,0,3267.8,31859.4,5208.7,6143.6,1552.4,7789.8,2.274,7056.9,27751.4,0,0,1418.3,0,0,0,2689.7,4108,0,4108,0.129
47,1996,1464.5,0,21556.4,-721.8,0,20834.6,5420.7,0,0,6004.9,6004.9,341,161.9,0,3980.6,38208.2,6191.1,6397.5,6325.5,6732.4,2.701,7728,33374.5,0,0,2165.7,0,0,0,2668,4833.7,0,4833.7,0.127
47,1997,1999.2,0,23188.2,-815.3,0,22372.9,11388,0,0,3643.6,3643.6,379.7,0,0,2630.2,42413.6,2371.9,4206.2,4840.7,17941.3,4.411,7889.1,37249.2,0,0,2972.7,0,0,0,2191.7,5164.4,0,5164.4,0.122
47,1998,8255,0,20917,-884,0,20033,234689,0,0,30227,30227,1705,0,0,7378,302287,8993,42153,22614,24792,3.17,188780,287332,0,876,9330,0,0,0,4749,14955,0,14955,0.049
47,1999,16878,0,15996,-787,0,15209,249762,0,0,26576,26576,1834,0,0,7331,317590,8197,46221,28137,27435,3.581,192082,302072,0,1074,12080,0,0,0,2364,15518,0,15518,0.049
47,2000,12325,25646,20998,-769,0,20229,260546,0,0,7623,7623,2204,0,0,38394,366967,10397,50061,38242,28604,3.929,222249,349553,12,670,16285,566,3836,-4355,0,17014,400,17414,0.046
47,2001,18819,27326,22526,-783,0,21743,306400,0,0,6702,6702,2685,0,0,37604,421279,11930,100384,27754,42051,3.622,219489,401608,12,545,20802,559,3377,-6024,0,19271,400,19671,0.046
47,2002,26596,25696,20955,-847,0,20108,360017,0,0,11745,11745,2579,0,0,35887,482628,12276,100811,32842,49668,3.983,265105,460702,12,345,23270,279,3745,-6935,0,20716,1210,21926,0.043
47,2003,29212,32474,23942,-928,0,23014,360428,0,0,7142,7142,2270,1449,0,73510,529499,13757,96202,50789,55161,4.841,290495,506404,12,0,25250,121,3678,-7176,0,21885,1210,23095,0.041
47,2004,29692,24133,20384,-1002,0,19382,465315,0,0,9912,9912,2433,1514,0,50462,602843,12839,104638,28386,65600,3.78,363703,575166,12,0,28038,-445,4028,-6766,0,24867,2810,27677,0.041
47,2005,32811,123041,21169,-943,0,20226,487535,0,0,18508,18508,2605,2199,0,60409,747334,13777,123271,36303,95286,4.665,450491,719128,12,0,31426,1294,2088,-6614,0,28206,0,28206,0.038
47,2006,69544,174330,26899,-838,0,26061,214721,57116,0,5030,62146,2733,2500,2206,346488,898523,18663,120373,31120,110465,4.852,588720,869341,12,0,35185,-190,2389,-8214,0,29182,0,29182,0.032
47,2007,50171,175787,35654,-831,0,34823,322567,91860,0,7633,99493,4086,3443,2792,430822,1121192,28343,147288,29092,144978,4.922,736127,1085828,12,1100,41422,-35,2213,-9348,0,35364,0,35364,0.032
47,2008,87206,126887,11629,0,0,11629,302484,84672,0,16011,100683,4372,4071,3024,408077,1045409,31179,215631,34495,190624,7.199,542211,1014140,12,1100,38045,-199,1902,-9591,0,31269,0,31269,0.03
47,2009,137742,72777,6528,0,0,6528,181868,38328,0,7259,45587,5057,3138,2243,206115,658812,42755,120950,10483,163437,3.422,270356,607981,12,19155,38096,-125,1619,-7926,0,50831,0,50831,0.077
47,2010,55703,143208,7417,-158,0,7259,254449,38758,0,5719,44477,7067,12216,7162,247083,771462,62215,125078,2405,201449,4.366,327535,718682,15,9597,35056,-560,8619,-6039,0,46688,6092,52780,0.061
47,2011,66498,148668,10658,-82,0,10576,290515,45048,0,9102,54150,6154,11406,6739,219731,807698,63812,129184,3762,202404,3.604,343129,742291,16,9597,38603,-467,13521,-4059,0,57211,8196,65407,0.071
47,2012,76255,131112,15386,-17,0,15369,262616,43421,0,5248,48669,6457,10971,6686,198449,749898,65662,123615,3118,204678,3.349,282747,679820,20,1508,40341,-157,22836,-2499,0,62049,8029,70078,0.083
47,2013,77348,139036,29152,-106,0,29046,161618,64288,0,0,64288,5946,10433,6650,293245,780960,83266,127722,2779,184657,3.018,317108,715532,20,1508,39912,-516,23426,-2241,0,62109,3319,65428,0.08
47,2014,98425,122188,43030,-156,0,42874,184796,57104,0,0,57104,6019,9881,6595,311415,832702,112379,157125,6375,163557,2.578,324236,763672,20,3220,42172,-1093,24570,-2968,0,65921,3109,69030,0.079
47,2015,87397,84974,66726,-149,0,66577,201697,48961,0,0,48961,6108,9747,6588,296049,801510,133544,181069,3656,163462,2.357,247675,729406,20,6020,44625,-1248,24249,-2766,0,70900,1204,72104,0.088
47,2016,54083,87657,85984,-225,0,85759,183861,45407,0,0,45407,0,9568,6584,321130,787465,156034,186626,3608,161797,2.2,203216,711281,20,7520,49204,-1656,24153,-4059,0,75182,1002,76184,0.095
47,2017,43381,135934,94522,-274,0,94248,189821,46460,0,0,46460,25,9298,6577,295782,814949,155863,190513,2370,174464,2.325,214562,737772,20,7520,53679,-2643,23271,-5797,0,76050,1127,77177,0.093
47,2018,46164,118489,104350,-224,0,104126,207493,56187,0,0,56187,0,9045,6597,310229,851733,159436,191510,3553,200300,2.634,218468,773267,20,8520,57577,-3060,23545,-9211,0,77391,1075,78466,0.091
47,2019,51840,133878,115817,-238,0,115579,237808,53298,0,0,53298,0,8851,6688,252277,853531,187820,179559,3581,195547,2.481,205618,772125,20,8520,64175,-2292,23794,-13971,0,80246,1160,81406,0.094
47,2020,49659,120736,130986,-349,0,130637,274562,55646,0,0,55646,0,9250,7143,254939,895429,190356,197834,9670,197655,2.542,217217,812732,20,8520,70589,-2788,23935,-18727,0,81549,1148,82697,0.091
47,2021,67452,154436,151432,-835,0,150597,362330,97737,0,0,97737,21,16615,11635,266674,1115862,310782,227437,14144,218798,2.289,241552,1012713,20,9250,78694,-1962,25546,-9767,0,101781,1368,103149,0.091
47,2022,86838,160886,188788,-654,0,188134,373689,96018,0,0,96018,16,25193,16833,257366,1188140,347574,228685,10337,232831,2.306,262115,1081542,20,7750,89432,-3102,28841,-17500,0,105441,1157,106598,0.089
47,2023,92747,149287,214624,-839,0,213785,336842,78540,0,0,78540,4,24270,16652,284756,1180231,356646,216134,5135,241081,2.459,260004,1079000,20,8750,94862,-6253,29339,-26577,0,100141,1090,101231,0.085
