enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
51,1994,518.8,0,518.8,0,0,0,703.7,703.7,0,0,0,0,470,470,77.9,1770.4,0,0,0,0,0,639,639,-233.2,405.8,157.2,0,40.4,603.4,2373.8,210.6,0,0,0,210.6,131.2,0,131.2,0,0,0,220.2,562,12.4,0,12.4,0.082,0,18.2,40,70.6,632.6,0,0.3,1644.9,0,0,0,96,1741.2,0,1741.2,0.734
51,1995,216.1,0,216.1,0,0,0,1053.2,1053.2,0,0,0,0,629.7,629.7,146.9,2045.9,0,0,0,0,0,891.2,891.2,-336.3,554.9,495.9,0,46,1096.8,3142.7,297.7,0,0,0,297.7,429,0,429,0,0,0,380.8,1107.5,10.6,0,10.6,0.224,0,17.8,41.8,70.2,1177.7,0,0.3,1837.8,0,0,0,126.9,1965,0,1965,0.625
51,1996,262.1,0,262.1,0,0,0,1346.1,1346.1,0,0,0,0,931.2,931.2,187.5,2726.9,0,0,0,0,0,1047.7,1047.7,-404.2,643.5,474.8,0,106.4,1224.7,3951.6,455,0,0,0,455,452.4,0,452.4,0,0,0,559.7,1467.1,9.6,0,9.6,0.19,0,1.9,41.6,53.1,1520.2,0,0.3,2290.2,0,0,0,140.9,2431.4,0,2431.4,0.615
51,1997,445.4,0,445.4,0,0,0,1754.1,1754.1,0,0,0,0,1338.6,1338.6,292.8,3830.9,0,0,0,0,0,1425.8,1425.8,-503.4,922.4,464.2,0,143.7,1530.3,5361.2,687.1,0,0,0,687.1,555.4,0,555.4,0,0,0,624.4,1866.9,296,0,296,0.27,0,16,26.2,338.2,2205.1,0,0.3,2973.7,0,0,0,182.1,3156.1,0,3156.1,0.589
51,1998,108.6,0,108.6,0,0,0,1674.4,1674.4,0,0,0,0,1396.6,1396.6,353,3532.6,0,0,0,0,0,1819.6,1819.6,-666.5,1153.1,435.8,0,275.9,1864.8,5397.4,584.6,0,0,0,584.6,481.8,0,481.8,0,0,0,637.4,1703.8,379.4,0,379.4,0.264,0,52.3,0,431.7,2135.5,0,0.3,3043.4,0,0,0,218.2,3261.9,0,3261.9,0.604
51,1999,198.1,0,198.1,0,0,0,1556,1556,0,0,0,0,1199.3,1199.3,311.5,3264.9,0,0,0,0,0,2001.3,2001.3,-735.5,1265.8,426.6,0,290.4,1982.8,5247.7,373.2,0,0,0,373.2,420.1,0,420.1,0,0,0,653.6,1446.9,386.1,0,386.1,0.242,0,79.8,0,465.9,1912.8,3,0.3,3066.5,-68.9,334.1,0,-0.1,3334.9,0,3334.9,0.635
51,2000,254.3,0,254.3,1569.4,0,0,0,1569.4,0,0,0,0,1446,1446,326.7,3596.4,0,0,0,0,0,2393.8,2393.8,-810.4,1583.4,410.9,0,266.2,2260.5,5856.9,543.8,0,0,0,543.8,974.3,0,974.3,0,0,0,621.9,2140,470.3,0,470.3,0.461,0,110.3,0,580.6,2720.6,3,0.3,2887,-122.8,369,0,-0.2,3136.3,0,3136.3,0.535
51,2001,304,0,304,1621.4,0,0,0,1621.4,9.1,15.1,0,1399.9,0,1424.1,275.8,3625.3,0,177.2,1087.3,1117.3,171,0,2552.8,-934,1618.8,397.3,0,178.2,2194.3,5819.6,432,0,0,472.1,904.1,860.7,0,860.7,0,0,0,21.9,1786.7,435.9,0,435.9,0.371,0,102.2,0.3,538.4,2325.1,3,0,3194.3,-162,459.4,0,-0.2,3494.5,0,3494.5,0.6
51,2002,575.5,0,575.5,1807.1,0,0,0,1807.1,12.6,13,0,1348.2,0,1373.8,401.3,4157.7,0,178.3,1134.1,1356.9,72.4,0,2741.7,-1127.2,1614.5,437.8,0,233,2285.3,6443,504.4,0,0,768.3,1272.7,480.5,0,480.5,0,0,0,83,1836.2,625.9,0,625.9,0.288,0,141.6,0.3,767.8,2604,3,0,3495,-197.5,538.7,0,-0.2,3839,0,3839,0.596
51,2003,634,0,634,2083.9,0,0,0,2083.9,0,0,0,0,1514.9,1514.9,554.3,4787.1,0,0,0,0,0,1620.8,1620.8,0,1620.8,183.8,65.6,229.4,2034,6821.1,572.7,130.6,0,1036.2,1739.5,281.1,0,281.1,0,0,0,0,2020.6,551.6,0,551.6,0.209,0,257.9,0.3,809.8,2830.4,3,0,3639.2,-239.7,589,0,-0.8,3990.7,0,3990.7,0.585
