enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
53,1999,50.3,0,50.3,0,0,0,20.6,20.6,0,0,0,0,28.6,28.6,1.6,101.1,0,0,0,0,0,18.6,18.6,-6.9,11.7,0,0,0.5,12.2,113.3,35.7,0,0,0,35.7,6.4,0,6.4,0,0,0,5,47.1,2,0,2,0.131,0,0,0,2,49.1,0,0,-9.4,0,0,0,73.6,64.2,0,64.2,0.567
53,2000,61.56,0,61.56,0,0,0,67.224,67.224,0,0,0,0,37.631,37.631,6.76,173.175,0,0,0,0,0,41.286,41.286,-15.4,25.886,0,0,3.189,29.075,202.25,64.91,0,0,0,64.91,1.786,0,1.786,0,0,0,9.529,76.225,1.462,0,1.462,0.026,0,0,0,1.462,77.687,0,0,28.686,-0.118,95.933,0,0.062,124.563,0,124.563,0.616
53,2001,674.275,0,674.275,104.988,0,0,0,104.988,0,0,0,0,90.38,90.38,61.24,930.884,0,0,2.11,15.216,8.578,50.341,76.245,-28.965,47.28,23.795,23.8,14.943,86.018,1016.902,72.301,0,0,32.233,104.534,0.588,0,0.588,200,0,200,4.295,309.417,300,0.378,300.378,0.739,0,0,0,300.378,609.795,0,0,130.016,-0.006,276.96,0,0.137,407.107,0,407.107,0.4
53,2002,333,458.377,791.377,147.348,0,0,0,147.348,13.367,77.13,0,123.38,0,213.877,81.51,1234.109,0,0,36.728,45.21,14.745,73.886,170.569,-50.441,120.128,81.119,81.12,67.818,269.065,1503.174,214.019,0,0,141.21,355.229,3.896,0,3.896,70.193,0,70.193,4.176,433.494,300,5.861,305.861,0.406,0,0,0,305.861,739.355,0,0,306.94,0.108,456.621,0,0.15,763.819,0,763.819,0.508
53,2003,346.994,681.419,1028.413,154.501,0,0,0,154.501,17.51,13.179,0,114.357,0,145.046,23.64,1351.602,0,0,54.416,121.799,4.862,48.006,229.083,-93.931,135.152,76.471,0,53.79,265.413,1617.015,141.129,0,0,228.467,369.596,5.676,0,5.676,0,0,0,4.176,379.448,300,4.88,304.88,0.333,0,0,0,304.88,684.328,0,0,397.739,3.76,531.03,0,0.158,932.687,0,932.687,0.577
53,2004,214.422,389.621,604.043,196.631,0,0,0,196.631,22.131,44.523,0,167.584,0,234.238,17.8,1052.712,0,0,58.649,161.456,1.62,116.15,337.875,-147.846,190.029,148.872,0,7.731,346.632,1399.344,185.342,0,0,144.755,330.097,4.015,0,4.015,0,0,0,0,334.112,0,0.856,0.856,0.005,0,8.609,4.582,14.047,348.159,0,0,472.158,-4.618,583.481,0,0.164,1051.185,0,1051.185,0.751
53,2005,208.512,461.533,670.045,296.279,0,0,0,296.279,23.225,130.211,0,162.082,0,315.518,23.08,1304.926,0,0,79.16,188.088,3.264,125.31,395.822,-216.867,178.955,135.621,0,9.034,323.61,1628.536,238.223,0,0,170.577,408.8,0.856,0,0.856,11.5,0,11.5,0,421.156,0,0,0,0.001,0,20.754,8.358,29.112,450.268,0,0,572.514,-6.389,636.618,-24.644,0.169,1178.268,0,1178.268,0.724
53,2006,551.756,398.418,950.174,318.186,0,0,0,318.186,25.743,107.847,0,121.28,0,254.87,27.07,1550.299,0,0,88.376,216.147,2.26,153.618,460.401,-282.249,178.152,160.738,145.32,65.498,404.388,1954.687,179.395,0,0,259.047,438.442,0,0,0,0.217,0,0.217,0,438.659,0,0,0,0,0,0,20.036,20.036,458.695,0,0,747.731,-5.561,965.604,-212.142,0.36,1495.992,0,1495.992,0.765
53,2007,544.414,573.436,1117.85,518.68,0,0,0,518.68,56.261,111.058,0,187.361,0,354.68,40.56,2031.77,0,1.23,92.784,273.348,6.58,195.556,569.498,-308.67,260.828,346.936,301.43,35.729,643.493,2675.263,272.075,0,0,365.552,637.627,0,0,0,1.18,0,1.18,0,638.807,0,0,0,0,0,0,29.537,29.537,668.344,0,0,1196.565,1.436,1295.65,-487.12,0.388,2006.919,0,2006.919,0.75
53,2008,726.969,1082.509,1809.478,666.494,0,0,0,666.494,31.299,107.835,0,219.387,0,358.521,54.34,2888.829,0,38.442,107.457,352.636,8.258,246.725,753.518,-393.71,359.808,460.983,354.06,38.051,858.842,3747.671,492.099,0,0,469.206,961.305,0,0,0,5.856,0,5.856,0,967.161,0,0,0,0,0,86.9,75.698,162.598,1129.759,1,0,1994.21,8.034,1654.681,-1039.632,-0.381,2617.912,0,2617.912,0.699
