enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
55,1999,4833.576,5464.39,10297.965,4225.291,0,0,0,4225.291,0,0,0,0,4865.552,4865.552,2379.36,21768.169,4808.866,0,0,0,0,8264.535,8264.535,0,8264.535,1929.506,0,4090.116,19093.023,40861.192,1117.006,0,0,0,1117.006,4414.971,0,4414.971,0,0,0,5361.918,10893.895,2063.227,0,2063.227,0.284,0,2061.773,2884.448,7009.448,17903.343,1049,0,21851.744,0,0,-83.576,-0.308,22816.86,140.988,22957.849,0.558
55,2000,3944,6309,10253,4421,0,0,0,4421,0,0,0,0,4324,4324,2777,21775,0,0,0,0,0,14461,14461,-7136,7325,2018,0,10026,19369,41144,1238,0,0,0,1238,4696,0,4696,0,0,0,5000,10934,1535,0,1535,0.267,0,2289,2879,6703,17637,906,0,22543,0,0,-82,1,23368,139,23507,0.568
55,2001,5454,7262,12716,3273,0,0,0,3273,815,0,0,1739,0,2554,1866,20409,0,0,0,0,0,10875,10875,-5280,5595,3612,0,6442,15649,36058,986,0,0,1920,2906,2341,0,2341,112,0,112,1853,7212,1415,0,1415,0.164,0,2161,2382,5958,13170,894,0,22291,-438,179,-86,0,22840,48,22888,0.633
55,2002,6727,6456,13183,3228,0,0,0,3228,466,0,0,2016,0,2482,1747,20640,0,228,3900,5963,693,0,10784,-5316,5468,3952,0,10245,19665,40305,1092,0,0,2100,3192,3062,0,3062,158,0,158,2175,8587,1504,0,1504,0.179,0,2345,2311,6160,14747,871,0,22954,-823,2595,-102,0,25495,63,25558,0.633
55,2003,5798,6744,12542,3697,0,0,1285,4982,498,0,0,2465,0,2963,328,20815,11316,305,4564,6970,831,0,12670,-6349,6321,4395,1704,2178,24210,45025,1266,546,688,2366,4866,2510,0,2510,14,0,14,882,8272,2729,0,2729,0.185,1342,2830,1517,8418,16690,1025,0,0,27371,0,-127,0,28269,66,28335,0.628
55,2004,5646,7613,13259,4376,0,0,1104,5480,531,0,0,2815,0,3346,188,22273,12338,367,5247,7909,1370,0,14893,-7296,7597,4708,1477,2401,27044,49317,1665,872,681,2086,5304,2280,0,2280,14,0,14,1722,9320,3191,0,3191,0.18,1573,3142,1572,9478,18798,1017,0,0,29533,0,-121,0,30429,90,30519,0.617
55,2005,6083,7809,13892,4851,0,0,1348,6199,546,0,0,3012,0,3558,271,23920,11907,403,6029,9051,1363,0,16846,-8349,8497,5629,1899,2535,28568,52488,2020,1321,677,1272,5290,3822,0,3822,13,0,13,2724,11849,2736,0,2736,0.21,2706,2340,1542,9324,21173,1008,0,0,30328,0,-159,0,31177,138,31315,0.594
55,2006,6321,4612,10933,5343,0,0,1220,6563,665,0,0,3060,0,3725,222,21443,10915,419,6067,0,9116,912,16514,-7835,8679,13294,7279,3401,36289,57732,1961,1523,1007,1284,5775,6890,0,6890,74,0,74,2589,15328,1319,0,1319,0.249,2797,3472,1652,9240,24568,994,0,0,32142,0,-146,0,32990,174,33164,0.571
55,2007,3815,4140,7955,6161,0,0,1810,7971,810,0,0,3688,0,4498,980,21404,8424,570,7154,1545,0,10434,19703,-8758,10945,21230,10659,6005,46604,68008,2487,1496,1462,737,6182,6560,0,6560,77,0,86,3406,16234,656,0,656,0.176,2679,5290,1855,10480,26714,990,0,0,40261,0,-140,0,41111,183,41294,0.605
55,2008,5360,7841,13201,6648,0,0,1856,8504,940,0,0,4515,0,5455,270,27430,8264,630,7987,0,2517,11666,22800,-10167,12633,21249,11110,5876,48022,75452,3018,2227,1668,890,7803,4916,0,4916,91,0,91,3831,16641,677,0,677,0.114,2282,4466,1990,9415,26056,990,0,0,48408,0,-175,0,49223,173,49396,0.652
