enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
56,1998,1.226,0,1.226,0.721,0,0,0,0.721,0,0,0,0,0.072,0.072,0.07,2.091,0,0,0,0,0,0,0,-0.072,-0.072,0,0,0.144,0.072,2.163,0.361,0,0,0,0.361,0,0,0,0,0,0,0.072,0.433,0,0,0,0,0,0,0,0,0.433,0,0,-2.884,2.452,2.163,0,-0.001,1.73,0,1.73,0.8
56,1999,0,0,0,1.294,0,0,0,1.294,0,0,0,0,0.065,0.065,0,1.359,0,0,0,0,0,0.129,0.129,-0.065,0.065,0,0,0,0.065,1.424,0.647,0,0,0,0.647,0.453,0,0.453,0,0,0,0,1.1,0,0,0,1.398,0,0,0,0,1.1,0,0,-3.818,0,4.142,0,0,0.324,0,0.324,0.228
56,2000,0.677,0,0.677,1.624,0,0,0,1.624,0,0,0,0,0,0,0.14,2.436,0,0,0,0,0,0.203,0.203,-0.135,0.068,0,0,0,0,2.436,0.609,0,0,0,0.609,0.068,0,0.068,0,0,0,0.135,0.812,0.271,0,0.271,0.25,0,0,0,0.271,1.083,0,0,-3.113,0,4.467,0,0,1.354,0,1.354,0.556
56,2001,1.562,7.948,9.511,3.656,0,0,0,3.656,0,0,0,0,0.057,0.057,0.1,13.327,0,0,0,0,0,0.182,0.182,-0.137,0.046,0,0,0,0.046,13.373,2.392,0,0,0,2.392,0,0,0,0,0,0,0,2.392,0,0,0,0,0,0,0,0,2.392,0,0,-3.845,0,14.825,0,0.001,10.981,0,10.981,0.821
56,2002,0.589,3.969,4.558,0.235,0,0,0,0.235,0,0,0,0,0.048,0.048,0,4.841,0,0,0.072,0.272,0,0,0.344,-0.151,0.192,0,0,0,0.192,5.033,1.236,0,0,0,1.236,0,0,0,0,0,0,0,1.236,0,0,0,0,0,0,0,0,1.236,0,0,-10.494,0,14.292,0,0,3.798,0,3.798,0.755
56,2003,0.399,1.538,1.937,0.198,0,0,0,0.198,0,0,0,0,0.029,0.029,0.01,2.173,0,0,0,0.344,0,0,0.344,-0.208,0.136,0,0,0,0.136,2.309,0.881,0,0,0,0.881,0,0,0,0,0,0,0,0.881,0,0,0,0,0,0,0,0,0.881,0,0,-12.808,0,14.235,0,0,1.427,0,1.427,0.618
56,2004,0.384,0,0.384,0.109,0,0,0,0.109,0,0,0,0,0.021,0.021,0.02,0.529,0,0,0,0.443,0,0,0.443,-0.311,0.132,0,0,0,0.132,0.661,0.278,0,0,0,0.278,0,0,0,0,0,0,0,0.278,0,0,0,0,0,0,0,0,0.278,0,0,-16.64,0,17.023,0,0,0.383,0,0.383,0.579
56,2005,0.575,0,0.575,0.246,0,0,0,0.246,0,0,0,0,0.019,0.019,0.02,0.855,0,0,0,0.49,0,0,0.49,-0.404,0.085,0,0,0.001,0.086,0.941,0.204,0,0,0,0.204,0,0,0,0.043,0,0.043,-0.001,0.246,0,0,0,0,0,0,0,0,0.246,0,0,-17.644,0,18.064,0,0,0.42,0.273,0.694,0.446
56,2006,0.554,0,0.554,0.12,0,0,0,0.12,0,0,0,0,0.014,0.014,0.01,0.702,0,0,0.096,0.022,0,0.405,0.523,-0.471,0.052,0,0,-0.001,0.051,0.753,0.182,0,0,0,0.182,0,0,0,0.058,0,0.058,0,0.24,0,0,0,0,0,0,0,0,0.24,0,0,-20.43,0,20.552,0,0,0.122,0.392,0.514,0.162
56,2007,0.496,0,0.496,0.136,0,0,0,0.136,0,0,0,0,0.013,0.013,0.02,0.66,0,0,0,0.549,0,0,0.549,-0.517,0.033,0,0,0,0.033,0.693,0.258,0,0,0,0.258,0,0,0,0.094,0,0.094,0,0.352,0,0,0,0,0,0,0.399,0.399,0.751,0,0,-23.566,0.103,23.405,0,0,-0.058,0,-0.058,-0.084
