enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
57,1994,404.8,0,404.8,575.6,0,0,0,575.6,0,0,0,0,0,0,95.2,1075.6,0,0,0,0,0,614,614,-235.5,378.5,0,0,140.9,519.4,1595,95.8,0,0,0,95.8,6.9,0,6.9,0,0,0,579.4,682.1,82.8,0,82.8,0.121,0,38.9,50.6,172.3,854.4,0,0,488.6,0,0,0,252,740.6,0,740.6,0.464
57,1995,480.2,105.7,585.9,764.7,0,0,0,764.7,0,0,0,0,0,0,266.6,1617.2,0,0,0,0,0,858.4,858.4,-323.4,535,0,0,272.3,807.3,2424.5,124.8,0,0,402.9,527.7,9.6,0,9.6,0,0,0,517.8,1055.1,81.7,0,81.7,0.075,0,10.4,65.9,158,1213.1,0,0,854.1,0,0,0,357.3,1211.4,0,1211.4,0.5
57,1996,715.742,125.166,840.908,1084.858,0,0,0,1084.858,0,0,0,0,0,0,358.7,2284.465,0,83.413,344.071,696.346,0,4.764,1128.594,-442.84,685.754,0,0,387.024,1072.778,3357.243,169.895,0,0,563.603,733.498,5.623,0,5.623,0,0,0,715.843,1454.964,0.897,0,0.897,0.003,0,9.207,21.726,31.83,1486.794,476,0,1382.203,12.413,0,0,-0.167,1870.449,0,1870.449,0.557
57,1997,890.162,323.028,1213.19,1540.47,0,0,168.469,1708.939,0,0,0,0,0,0,348.97,3271.096,0,85.98,486.208,898.433,0,6.653,1477.274,-608.326,868.948,0,0,484.271,1353.219,4624.315,185.444,0,0,804.912,990.356,3.361,0,3.361,0,0,0,928.422,1922.139,300.836,0,300.836,0.128,0,7.402,24.226,332.464,2254.603,696,0,1686.17,-12.476,0,0,0.018,2369.712,0,2369.712,0.512
57,1998,1273.681,645.518,1919.199,1857.48,0,0,207.544,2065.024,0,0,0,0,0,0,338.83,4323.05,0,89.75,565.933,1068.662,0,8.983,1733.328,-798.978,934.35,276.088,0,285.523,1495.961,5819.011,239.698,0,0,1063.502,1303.2,2.924,0,2.924,0,0,0,1178.041,2484.165,304.337,0,304.337,0.104,0,15.856,57.095,377.288,2861.453,976,0,2023.056,-41.773,0,0,0.275,2957.558,0,2957.558,0.508
57,1999,1785.715,777.049,2562.764,2238.204,0,0,240.792,2478.996,0,0,0,0,0,0,405.51,5447.274,0,0,0,0,0,2023.482,2023.482,-1036,987.482,476.481,0,348.417,1812.38,7259.654,283.896,0,0,1345.266,1629.162,3.638,0,3.638,0,0,0,1413.623,3046.423,304.14,0,304.14,0.083,0,135.887,77.937,517.964,3564.387,1476,0,2266.9,-47.4,0,0,-0.233,3695.267,0,3695.267,0.509
57,2000,7429,333,7762,2534,0,0,256,2790,0,0,0,0,0,0,331,10883,0,0,0,0,0,2125,2125,-1191,934,827,0,433,2194,13077,287,0,0,1452,1739,3,0,3,0,0,0,4120,5862,301,0,301,0.047,0,266,187,754,6616,3112,0,3344,5,0,0,0,6461,0,6461,0.494
57,2001,4449,1438,5887,2432,0,0,282,2714,0,0,0,0,0,0,362,8963,0,107,753,1444,0,0,2304,-1329,975,716,0,376,2067,11030,270,0,0,1498,1768,3,0,3,0,0,0,2146,3917,301,0,301,0.048,0,328,206,835,4752,4821,0,1610,-154,0,0,1,6278,0,6278,0.569
57,2002,3095,2746,5841,2036,0,0,293,2329,0,0,0,0,0,0,558,8728,0,126,849,1362,0,0,2337,-1350,987,446,0,639,2072,10800,228,0,0,1245,1473,0,0,0,1241,0,1241,1246,3960,298,0,298,0.049,0,204,221,723,4683,5029,0,1210,-122,0,0,0,6117,0,6117,0.566
57,2003,4737,1782,6519,1920,0,0,301,2221,0,0,0,0,0,0,487,9227,0,153,999,1404,0,0,2556,-1494,1062,0,0,678,1740,10967,228,0,0,1477,1705,153,0,153,1409,0,1409,891,4158,175,0,175,0.052,0,89,225,489,4647,5101,0,1092,127,0,0,0,6320,0,6320,0.576
57,2004,4138,4449,8587,2012,0,0,322,2334,0,0,0,0,0,0,415,11336,0,162,1051,1440,0,0,2653,-1585,1068,80,0,279,1427,12763,191,0,0,1625,1816,9,0,9,1497,0,1497,950,4272,163,0,163,0.022,0,59,274,496,4768,5456,0,2383,156,0,0,0,7995,0,7995,0.626
