enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
59,1994,226.9,0,226.9,0,0,0,1883.4,1883.4,0,0,0,0,924.7,924.7,2129.1,5164.1,0,0,0,0,0,14250,14250,-5394.4,8855.6,7929.5,0,1756.6,18541.7,23705.8,1390,0,0,0,1390,2191.2,0,2191.2,0,0,0,2993.7,6574.9,7442.6,0,7442.6,1.52,0,2007.6,1342,10792.2,17367.1,0,0,6541.9,0,0,0,-203.2,6338.7,0,6338.7,0.267
59,1995,330.7,0,330.7,0,0,0,2050.9,2050.9,0,0,0,0,970,970,1720.6,5072.2,0,0,0,0,0,16130.1,16130.1,-6247.3,9882.8,7842.1,0,1994.9,19719.8,24792,1451.6,0,0,0,1451.6,678.5,0,678.5,0,0,0,3140.3,5270.4,8840.5,0,8840.5,1.388,0,1972.9,1852.1,12665.5,17935.9,0,0,7739.1,0,0,0,-883,6856.1,0,6856.1,0.277
59,1996,382,0,382,0,0,0,2407,2407,0,0,0,0,1051,1051,1706,5546,0,0,0,0,0,16751,16751,-6881,9870,7584,0,2432,19886,25432,1556,0,0,0,1556,706,0,706,0,0,0,2968,5230,8509,0,8509,1.26,0,1885,2495,12889,18119,0,0,8730,0,0,0,-1417,7313,0,7313,0.288
59,1997,307,0,307,0,0,0,2276,2276,0,0,0,0,853,853,514,3950,0,0,0,0,0,10908,10908,-4822,6086,6036,0,6088,18210,22160,3378,0,0,0,3378,0,0,0,0,0,0,413,3791,8174,0,8174,1.234,0,1575,1997,11746,15537,0,0,9184,0,0,0,-2561,6623,0,6623,0.299
59,1998,1928,0,1928,0,0,0,2150,2150,0,0,0,0,732,732,1441,6251,0,0,0,0,0,11294,11294,-5033,6261,5855,0,1734,13850,20101,3617,0,0,0,3617,0,0,0,0,0,0,640,4257,4946,0,4946,0.713,0,1697,2265,8908,13165,0,0,11567,0,0,0,-4631,6936,0,6936,0.345
59,1999,311,0,311,0,0,0,2453,2453,0,0,0,0,1016,1016,582,4362,0,0,0,0,0,13110,13110,-5792,7318,8996,0,1984,18298,22660,3870,0,0,0,3870,3921,0,3921,0,0,0,123,7914,4028,0,4028,1.242,0,2003,2314,8345,16259,0,0,12800,0,0,0,-6399,6401,0,6401,0.282
59,2000,964,92,1056,1704,0,0,0,1704,0,0,0,0,899,899,514,4173,0,0,0,0,0,11058,11058,-5792,5266,4735,0,3377,13378,17551,3399,0,0,0,3399,233,0,233,0,0,0,156,3788,2812,0,2812,0.443,0,1209,2861,6882,10670,29,0,14066,-989,1081,-7306,0,6881,0,6881,0.392
59,2001,1038,467,1505,2129,0,0,0,2129,503,160,0,529,0,1192,791,5617,0,0,0,0,0,11459,11459,-4901,6558,4714,0,3868,15140,20757,4529,0,0,0,4529,202,0,202,0,0,0,64,4795,3009,0,3009,0.422,0,1367,3982,8358,13153,34,0,16510,-1395,375,-7920,0,7604,0,7604,0.366
59,2002,683,966,1649,2142,0,0,0,2142,535,205,0,570,0,1310,752,5853,0,464,2846,8135,735,0,12180,-5304,6876,4841,0,4125,15842,21695,4461,0,0,0,4461,354,0,354,0,0,0,183,4998,2651,0,2651,0.347,0,1496,3902,8049,13047,30,0,11519,-1646,13,-1268,0,8648,0,8648,0.399
59,2003,1638,207,1845,2531,0,0,0,2531,525,214,0,603,0,1342,695,6413,0,504,3119,9005,767,0,13395,-6005,7390,5219,0,4452,17061,23474,4998,0,0,0,4998,562,0,562,0,0,0,492,6052,2187,0,2187,0.296,0,1718,4219,8124,14176,30,0,13464,-1672,0,-2524,0,9298,0,9298,0.396
