enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
60,1994,729.4,0,729.4,0,0,0,1468.7,1468.7,0,0,0,0,1093.5,1093.5,1441.6,4733.2,0,0,0,0,0,4300.7,4300.7,-1668.2,2632.5,231.1,0,1734.1,4597.7,9330.9,479.1,0,0,0,479.1,1178.8,0,1178.8,0,0,0,1785.7,3443.6,570.5,0,570.5,0.453,0,189.4,1222.6,1982.5,5426.1,0,0,5240.7,0,0,0,-1375.2,3865.5,39.3,3904.8,0.414
60,1995,1458.5,0,1458.5,0,0,0,1665,1665,0,0,0,0,1264.9,1264.9,1400,5788.4,0,0,0,0,0,4992.9,4992.9,-1919.7,3073.2,325.7,0,1911.2,5310.1,11098.5,524.9,0,0,0,524.9,2220,0,2220,0,0,0,2081,4825.9,604.2,0,604.2,0.653,0,211.7,1094,1909.9,6735.8,0,0,5944.5,0,0,0,-1620.6,4323.9,38.8,4362.7,0.39
60,1996,403.3,0,403.3,0,0,0,2024,2024,0,0,0,0,1384.1,1384.1,2341,6152.4,0,0,0,0,0,5463.4,5463.4,-1990.8,3472.6,1243,0,1861.3,6576.9,12729.3,715.3,0,0,0,715.3,2035.5,0,2035.5,0,0,0,2436.4,5187.2,833,0,833,0.521,0,166.1,989.8,1988.9,7176.1,0,0,6858.9,0,0,0,-1352.3,5506.6,46.6,5553.2,0.433
60,1997,1150,0,1150,0,0,0,2252,2252,0,0,0,0,1589,1589,1477,6468,0,0,0,0,0,6005,6005,-2155,3850,1424,0,2925,8199,14667,913,0,0,0,913,2235,0,2235,0,0,0,2492,5640,687,0,687,0.42,0,253,1083,2023,7663,0,0,8017,0,0,0,-1063,6954,50,7004,0.474
60,1998,877,0,877,0,0,0,2220,2220,0,0,0,0,1461,1461,2884,7442,0,0,0,0,0,5867,5867,-2074,3793,989,0,2767,7549,14991,660,0,0,0,660,2251,0,2251,0,0,0,2083,4994,725,0,725,0.375,0,127,1212,2064,7058,0,0,9349,0,0,0,-1416,7933,0,7933,0.529
60,1999,1552,0,1552,0,0,0,2914,2914,0,0,0,0,1828,1828,3637,9931,0,0,0,0,0,6844,6844,-2429,4415,813,0,3143,8371,18302,971,0,0,0,971,2729,0,2729,0,0,0,3492,7192,527,0,527,0.37,0,197,1576,2300,9492,0,0,11439,0,0,0,-2629,8810,0,8810,0.481
60,2000,2358,4028,6386,5368,0,0,0,5368,464,977,0,1147,0,2588,1969,16311,0,224,3329,7675,1963,0,13191,-4506,8685,1870,0,4506,15061,31372,1889,0,0,0,1889,5299,0,5299,0,0,0,4708,11896,1774,0,1774,0.507,0,485,3267,5526,17422,332,0,18459,-3933,5943,-6851,0,13950,0,13950,0.445
60,2001,1099,5764,6863,5489,0,0,0,5489,433,1074,0,1195,0,2702,2133,17187,0,200,3832,8236,1866,0,14134,-4709,9425,1791,0,5107,16323,33510,1719,0,0,982,2701,4289,0,4289,0,0,0,4991,11981,1123,0,1123,0.337,0,380,3950,5453,17434,337,0,19599,-4897,8895,-7858,0,16076,0,16076,0.48
60,2002,1036,7579,8615,4798,0,269,0,5067,412,1062,0,1011,0,2485,3045,19212,0,201,4490,7785,1896,0,14372,-4589,9783,1689,0,8469,19941,39153,1411,0,0,1026,2437,6263,0,6263,0,0,0,5029,13729,2609,0,2609,0.485,0,398,4124,7131,20860,340,0,24430,-4399,9300,-11378,0,18293,0,18293,0.467
60,2003,1878,10673,12551,5785,0,399,0,6184,403,1142,0,1133,0,2678,3368,24781,0,252,5407,9000,1484,0,16143,-5431,10712,1200,0,9663,21575,46356,1620,0,0,1084,2704,8669,0,8669,0,0,0,7182,18555,3140,0,3140,0.592,0,364,4347,7851,26406,341,0,30243,-3661,9368,-16341,0,19950,0,19950,0.43
60,2004,1520,10432,11952,8636,0,391,0,9027,1297,2204,0,2198,0,5699,3999,30677,0,521,9201,12870,2480,0,25072,-6916,18156,57856,0,10086,86098,116775,2587,0,0,3142,5729,8818,0,8818,0,0,0,9362,23909,5755,0,5755,0.223,0,13012,8722,27489,51398,435,219,29382,-1703,66396,-29352,0,65377,0,65377,0.56
60,2005,1808,18085,19893,9367,0,653,0,10020,1314,2703,0,2643,0,6660,2515,39088,0,688,9771,14065,2395,0,26919,-8534,18385,57007,0,8598,83990,123078,2672,0,0,1939,4611,11266,0,11266,0,0,0,10581,26458,7279,0,7279,0.272,0,12026,9037,28342,54800,438,193,35492,1049,67098,-35992,0,68278,0,68278,0.555
60,2006,2247,19979,22226,9103,0,510,0,9613,1357,2379,0,1742,0,5478,9518,46835,0,0,0,0,0,25760,25760,-9527,16233,47229,20985,6673,70135,116970,2073,0,0,1602,3675,11589,0,11589,0,0,0,13148,28412,6347,0,6347,0.273,0,9707,6740,22794,51206,439,169,37608,-444,67759,-39767,0,65764,0,65764,0.562
60,2007,1827,25886,27713,9392,0,514,0,9906,1262,3198,0,1651,0,6111,3928,47658,0,641,9947,14613,1862,0,27063,-10431,16632,45226,20876,6030,67888,115546,2019,0,0,1903,3922,2434,0,2434,0,0,0,15743,22099,5546,0,5546,0.112,0,8015,8454,22015,44114,441,141,49669,-1257,69104,-46740,0,71358,74,71432,0.618
60,2008,3406,22069,25475,9843,0,617,0,10460,885,2353,0,2064,0,5302,5612,46849,0,718,10319,15308,1758,0,28103,-12369,15734,41880,21382,10805,68419,115268,2270,0,0,1974,4244,5825,0,5825,0,0,0,11766,21835,7314,0,7314,0.202,0,7696,13299,28309,50144,442,93,49660,1749,69913,-56847,0,65010,114,65124,0.564
60,2009,2122,21609,23731,8958,0,824,0,9782,830,1527,0,2024,0,4381,5182,43076,11478,616,8775,13933,1804,0,25128,-11841,13287,39185,21464,4122,68072,111148,1751,656,2159,1667,6233,9320,0,9320,0,11456,11456,0,27009,7963,0,7963,0.3,5839,2959,9638,26399,53408,443,73,49142,-4569,70283,-57391,-425,57556,184,57740,0.518
60,2010,1978,23991,25969,14645,0,1195,0,15840,1378,5776,0,5249,0,12403,7458,61670,13122,937,14186,16835,1966,0,33924,-11144,22780,110391,42376,4986,151279,212949,4370,10107,1454,2242,18173,5469,0,5469,0,0,0,13583,37225,43193,0,43193,0.541,9635,17839,14611,85278,122503,443,61,40426,552,70497,-21632,-333,90014,432,90446,0.423
60,2011,1735,26277,28012,14612,0,467,0,15079,912,3733,0,3760,0,8405,8972,60468,9748,803,13405,17055,1035,0,32298,-13175,19123,101505,43947,4170,134546,195014,4026,946,1601,2108,8681,5623,0,5623,0,0,0,14305,28609,38410,0,38410,0.501,9236,18648,11846,78140,106749,444,52,42716,-3440,70760,-22712,-7,87813,452,88265,0.45
60,2012,3182,23270,26452,13058,0,0,9380,22438,785,3514,0,2311,0,6610,5317,60817,9814,737,12089,15117,1294,0,29237,-13316,15921,95753,44569,5697,127185,188002,3678,1009,1796,0,6483,4016,0,4016,0,0,0,18410,28909,34926,0,34926,0.474,9699,18861,12986,76472,105381,445,45,46210,-4129,71423,-31801,-3,82190,431,82621,0.437
60,2013,10081,22318,32399,10675,0,0,0,10675,448,3374,0,2254,0,6076,15681,64831,14149,566,10643,13799,957,0,25965,-12752,13213,88807,43661,4798,120967,185798,2921,979,1733,0,5633,6424,0,6424,0,0,0,17129,29186,31036,0,31036,0.461,11273,21193,11432,74934,104120,448,39,54240,-5953,72608,-40122,0,81260,418,81678,0.437
