enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
61,1994,2373,0,2373,3115,0,0,0,3115,0,0,0,0,2877,2877,1623,9988,0,0,0,0,0,15896,15896,-5872,10024,3754,0,1769,15547,25535,3264,0,0,0,3264,1375,0,1375,0,0,0,3401,8040,4980,0,4980,0.72,0,347,3336,8663,16703,0,1942,7496,0,0,0,-606,8832,0,8832,0.346
61,1995,2028,150,2178,3010,0,0,0,3010,1315,247,0,1891,0,3453,2201,10842,0,641,3364,13734,0,0,17739,-6713,11026,4572,0,1685,17283,28125,2891,0,0,4219,7110,970,0,970,0,0,0,568,8648,5161,0,5161,0.579,0,531,3196,8888,17536,687,1913,8965,-1669,693,0,0,10589,0,10589,0.376
61,1996,2074,446,2520,2841,0,0,0,2841,1254,210,0,1666,0,3130,2316,10807,0,569,3369,14174,0,0,18112,-6994,11118,4281,0,1524,16923,27730,2236,0,0,3981,6217,1116,0,1116,0,0,0,492,7825,4670,0,4670,0.494,0,638,2875,8183,16008,1371,1886,10265,-2094,294,0,0,11722,0,11722,0.423
61,1997,2350,760,3110,2738,0,0,0,2738,1131,228,0,1728,0,3087,1851,10786,0,570,3409,14646,0,0,18625,-7249,11376,3949,0,1433,16758,27544,2203,0,0,3802,6005,849,0,849,0,0,0,944,7798,4143,0,4143,0.414,0,559,2998,7700,15498,1351,1859,10730,-2453,559,0,0,12046,0,12046,0.437
61,1998,1549,857,2406,2781,0,0,0,2781,1225,343,0,1716,0,3284,2106,10577,0,539,3660,15953,0,0,20152,-7972,12180,7011,0,1198,20389,30966,2051,0,0,3942,5993,2281,0,2281,0,0,0,976,9250,5765,0,5765,0.658,0,428,3287,9480,18730,1337,1821,11144,-2973,907,0,0,12236,0,12236,0.395
61,1999,2294,506,2800,2940,0,0,0,2940,1176,375,0,1787,0,3338,2280,11358,0,562,3885,16953,0,0,21400,-8774,12626,6822,0,1307,20755,32113,2300,0,0,4083,6383,3150,0,3150,0,0,0,1228,10761,6231,0,6231,0.778,0,362,2701,9294,20055,1320,1781,10778,-3158,1337,0,0,12058,0,12058,0.375
61,2000,1415,185,1600,2910,0,0,0,2910,1254,394,0,1842,0,3490,2146,10146,0,596,4259,18366,0,0,23221,-9529,13692,8786,0,1742,24220,34366,2209,0,0,3766,5975,3241,0,3241,0,0,0,925,10141,9012,0,9012,0.997,0,625,2301,11938,22079,1306,1737,10710,-3260,1794,0,0,12287,0,12287,0.358
61,2001,2306,212,2518,2931,0,0,0,2931,1096,373,0,1915,0,3384,2056,10889,0,508,4148,18165,0,0,22821,-9726,13095,8300,0,2103,23498,34387,2075,0,0,4631,6706,2233,0,2233,0,0,0,907,9846,9792,0,9792,1.001,0,894,1845,12531,22377,1296,1701,10451,-3495,2057,0,0,12010,0,12010,0.349
61,2002,3427,196,3623,3090,0,0,0,3090,1031,323,0,2102,0,3456,1997,12166,0,575,4532,17963,0,0,23070,-9721,13349,13430,0,1831,28610,40776,2205,0,0,5330,7535,3731,0,3731,0,0,0,1438,12704,11201,0,11201,1.089,0,1077,2088,14366,27070,1301,1634,11980,-3699,2490,0,0,13706,0,13706,0.336
61,2003,5912,300,6212,3038,0,0,0,3038,1095,291,0,2254,0,3640,2330,15220,0,591,4729,18222,0,0,23542,-10438,13104,13507,0,1875,28486,43706,2795,0,0,5512,8307,2172,0,2172,0,0,0,1879,12358,11475,0,11475,0.843,0,1396,2291,15162,27520,2594,1580,13692,-3314,1634,0,0,16186,0,16186,0.37
