enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
62,2005,3161,0,3161,0,0,0,0,0,0,0,0,0,4274,4274,3618,11053,0,0,0,0,0,6338,6338,-2826,3512,2016,2016,1049,6577,17630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7139,7139,7139,0,0,0,0,0,0,10491,10491,0,10491,0.595
62,2006,1209,0,1209,1898,0,0,0,1898,697,0,0,2093,2630,5420,1498,10025,0,439,2381,4742,556,0,8118,-3515,4603,6970,5571,1537,13110,23135,669,0,0,4105,4774,768,0,768,0,196,196,596,6334,4141,0,4141,0.476,0,1024,1329,6494,12828,0,0,9042,0,1265,0,0,10307,0,10307,0.446
62,2007,1676,0,1676,2175,0,0,573,2748,4114,0,0,2961,0,7075,426,11925,0,500,2749,5540,673,0,9462,-4224,5238,7824,6197,1133,14195,26120,672,4119,0,539,5330,564,0,564,0,154,154,941,6989,2222,0,2222,0.195,678,1166,798,4864,11853,0,0,12526,476,1265,0,0,14267,0,14267,0.546
62,2008,1501,0,1501,3114,0,0,242,3356,5223,0,0,4148,0,9371,558,14786,0,590,3345,6952,798,0,11685,-5250,6435,9831,7925,725,16991,31777,819,4982,0,610,6411,491,0,491,0,174,174,1015,8091,5578,0,5578,0.389,566,1240,707,8091,16182,0,0,12642,1688,1265,0,0,15595,0,15595,0.491
62,2009,1531,0,1531,2848,0,0,0,2848,5061,0,0,4603,0,9664,896,14939,0,547,3351,7170,632,0,11700,-5352,6348,11099,8015,586,18033,32972,1013,4990,1090,1167,8260,584,0,584,0,178,178,1122,10144,11377,0,11377,1.595,1682,1401,464,14924,25068,0,0,13354,-2281,1581,-5154,0,7500,404,7904,0.227
62,2010,1540,0,1540,3131,0,0,-33,3098,5458,0,0,3749,0,9207,837,14682,0,579,3593,7591,495,0,12258,-5868,6390,12658,9112,822,19870,34552,670,5324,1101,1396,8491,1744,0,1744,0,191,191,752,11178,13672,0,13672,2.697,1260,1688,609,17229,28407,0,0,15358,-817,1403,-10228,0,5716,429,6145,0.165
62,2011,1703,0,1703,3065,0,0,-56,3009,5340,0,0,2977,0,8317,727,13756,0,703,3720,7857,479,0,12759,-6260,6499,14034,10161,761,21294,35050,835,5485,1162,1313,8795,3132,0,3132,0,138,138,739,12804,13370,0,13370,4.707,1261,2027,467,17125,29929,0,0,18133,-1140,1225,-14712,0,3506,1615,5121,0.1
62,2012,2550,0,2550,3201,0,0,0,3201,4648,0,0,3472,0,8120,988,14859,0,692,3738,7880,603,0,12913,-6663,6250,13625,9928,754,20629,35488,1031,6243,1341,1392,10007,3717,0,3717,0,176,176,894,14794,14828,0,14828,80.983,1665,1976,462,18931,33725,0,0,21757,-2863,1235,-19900,0,229,1534,1763,0.006
62,2013,2983,0,2983,3589,0,0,0,3589,5158,0,0,3791,0,8949,1069,16590,24,708,3948,8380,843,0,13879,-7234,6645,13519,9900,892,21080,37670,1103,6806,1418,1479,10806,5200,0,5200,0,114,114,896,17016,17639,0,17639,-6.57,2574,1875,419,22507,39523,0,0,25076,-3604,1334,-26282,0,-3476,1623,-1853,-0.092
62,2014,2154,0,2154,3853,0,0,0,3853,5305,0,0,4541,0,9846,999,16852,1536,671,4013,8409,864,0,13957,-7202,6755,12086,8893,939,21316,38168,1274,7684,1507,1885,12350,3655,0,3655,0,112,112,949,17066,24023,0,24023,-3.564,1313,1477,563,27376,44442,0,0,27843,-4190,723,-32142,0,-7766,1492,-6274,-0.203
62,2015,1682,0,1682,4004,0,0,0,4004,4831,0,0,3761,0,8592,1206,15484,1083,639,3620,7664,836,0,12759,-6688,6071,11373,8388,1176,19703,35187,1242,6568,1559,1924,11293,2526,0,2526,0,158,158,1135,15112,26929,0,26929,-2.332,2202,1549,598,31278,46390,0,0,29249,-6826,710,-35762,0,-12629,1426,-11203,-0.359
62,2016,3417,0,3417,2778,0,0,0,2778,4253,0,0,4220,0,8473,1136,15804,890,583,3361,6978,845,0,11767,-6046,5721,10038,7415,1503,18152,33956,1289,6091,1589,2078,11047,3230,0,3230,0,206,206,903,15386,25250,0,25250,-2.15,2566,1543,687,30046,45432,0,0,29842,-9402,1929,-35613,0,-13244,1768,-11476,-0.39
62,2017,4239,0,4239,3499,0,0,0,3499,4067,0,0,4950,0,9017,853,17608,1011,590,3474,7366,930,0,12360,-6296,6064,9794,7324,2374,19243,36851,1666,7036,1621,2128,12451,3216,0,3216,0,0,0,800,16467,25851,0,25851,-2.291,2800,1897,736,31284,47751,0,0,30397,-9559,1964,-35490,0,-12688,1788,-10900,-0.344
