enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
63,1994,45,0,45,0,0,0,62.9,62.9,0,0,0,0,15.6,15.6,97.1,220.6,0,0,0,0,0,155.3,155.3,-41.6,113.7,0,0,23.6,137.3,357.9,59,0,0,0,59,3.7,0,3.7,0,0,0,6.5,69.2,23.7,0,23.7,0.105,0,0,2.8,26.5,95.7,0,0,-25.3,0,0,0,287.5,262.2,0,262.2,0.733
63,1995,500.6,0,500.6,0,0,0,82.7,82.7,0,0,0,0,44,44,77.3,704.6,0,0,0,0,0,251.9,251.9,-66.4,185.5,0,0,50.6,236.1,940.7,95.8,0,0,0,95.8,1,0,1,0,0,0,8.2,105,33.5,0,33.5,0.043,0,0,2.6,36.1,141.1,0,0,4.8,0,0,0,794.8,799.6,0,799.6,0.85
63,1996,110.1,0,110.1,217.4,0,0,0,217.4,0,0,0,0,171.5,171.5,252.2,751.2,0,0,0,0,0,470,470,-117.3,352.7,0,0,81.4,434.1,1185.3,229.8,0,0,0,229.8,82.9,0,82.9,0,0,0,13.3,326,10.9,0,10.9,0.111,0,0,3.5,14.4,340.4,0,0,25.9,0,0,0,819,844.9,0,844.9,0.713
63,1997,248.837,448.235,697.072,445.382,0,0,111.501,556.883,118.516,55.088,0,51.552,0,225.156,70.48,1549.595,0,32.904,186.614,406.506,0,0,626.024,-200.934,425.09,0,0,299.995,725.085,2274.68,409.156,0,0,0,409.156,113.238,0,113.238,0,0,0,45.084,567.478,7.729,0,7.729,0.118,0,0,15.295,23.024,590.502,0,0,117.798,0,906.373,0,0.007,1024.178,660,1684.178,0.45
63,1998,175.8,0,175.8,668.4,0,0,0,668.4,0,0,0,0,386.5,386.5,306.5,1537.2,0,0,0,0,0,939.3,939.3,-329.6,609.7,21,0,398.8,1029.5,2566.7,660.4,0,0,0,660.4,154.1,0,154.1,0,0,0,67.1,881.6,3.9,0,3.9,0.165,0,0,25.1,29,910.6,0,0,0,0,0,0,957.6,957.6,698.5,1656.1,0.373
63,1999,660,954.4,1614.4,910,0,0,0,910,0,0,0,0,257.9,257.9,195.9,2978.2,0,0,0,0,0,890.8,890.8,-334.8,556,0,0,1000.7,1556.7,4534.9,705.2,0,0,0,705.2,115.1,0,115.1,0,0,0,56.1,876.4,0.8,0,0.8,0.04,0,0,74.7,75.5,951.9,0,0,200.9,82.9,2587.9,0,0.1,2871.8,711.2,3583,0.633
63,2000,716.871,1055.522,1772.393,606.979,0,0,128.515,735.494,47.952,8.37,0,29.044,0,85.366,136.73,2729.98,0,37.953,313.063,462.293,0,0,813.309,-381.604,431.705,821.834,0,2079.463,3333.002,6062.982,112.856,0,0,0,112.856,0,0,0,0,0,0,359.437,472.293,0,0,0,0,0,0,27.718,27.718,500.011,0,0,871.09,-8.655,4653.818,0,0.075,5516.328,46.643,5562.971,0.91
63,2001,1388.602,894.577,2283.179,517.557,0,0,10.345,527.902,18.251,3.346,0,74.266,0,95.863,147.81,3054.758,0,38.093,325.841,475.986,0,0,839.92,-408.524,431.396,585.046,0,1598.533,2614.975,5669.733,106.433,0,0,0,106.433,0,0,0,0,0,0,414.556,520.989,0,0,0,0,0,0,330.442,330.442,851.431,0,0,244.947,-224.167,4791.559,0,0.076,4812.415,5.887,4818.302,0.849
63,2002,1407,1388,2795,537,0,0,388,925,20,4,0,64,0,88,133,3941,0,42,348,820,0,-1,1209,-523,686,345,0,1538,2569,6510,209,0,0,0,209,0,0,0,0,0,0,466,675,94,0,94,0.017,0,0,304,398,1073,0,0,605,-131,4918,0,0,5392,45,5437,0.828
63,2003,2045,2516,4561,484,0,0,6,490,19,3,0,89,-1,110,788,5949,0,47,338,850,0,43,1278,-656,622,346,0,1905,2873,8822,195,0,0,0,195,103,0,103,174,0,174,336,808,123,0,123,0.03,0,0,292,415,1223,0,0,1297,-24,6325,0,1,7599,0,7599,0.861
