enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
64,1994,421,0,421,2981,0,0,0,2981,0,0,0,0,3153,3153,1151,7706,0,0,0,0,0,9796,9796,-5231,4565,544,0,2803,7912,15618,1815,0,0,0,1815,1020,0,1020,0,0,0,4085,6920,1939,0,1939,0.784,0,177,2439,4555,11475,0,176,2466,0,0,0,1132,3774,369,4143,0.242
64,1995,386,0,386,3745,0,0,0,3745,0,0,0,0,2955,2955,1142,8228,0,0,0,0,0,10193,10193,-5661,4532,0,0,2864,7396,15624,1924,0,0,0,1924,558,0,558,0,0,0,4071,6553,1885,0,1885,0.597,0,196,2499,4580,11133,0,339,2790,0,0,0,962,4091,400,4491,0.262
64,1996,900,0,900,3682,0,0,0,3682,0,0,0,0,2954,2954,1416,8952,0,0,0,0,0,10326,10326,-5906,4420,0,0,2586,7006,15958,2084,0,0,0,2084,392,0,392,0,0,0,4183,6659,1649,0,1649,0.462,0,130,2632,4411,11070,0,398,3252,0,0,0,769,4419,469,4888,0.277
64,1997,1127,0,1127,3717,0,0,0,3717,0,0,0,0,3342,3342,1425,9611,0,0,0,0,0,10661,10661,-6290,4371,0,0,2763,7134,16745,2186,0,0,0,2186,348,0,348,0,0,0,4856,7390,1437,0,1437,0.377,0,155,2545,4137,11527,0,434,3849,0,0,0,457,4740,478,5218,0.283
64,1998,655,0,655,3742,0,0,0,3742,0,0,0,0,3113,3113,1508,9018,0,0,0,0,0,10472,10472,-6345,4127,982,0,2313,7422,16440,1889,0,0,0,1889,312,0,312,0,0,0,4912,7113,1275,0,1275,0.351,0,133,3045,4453,11566,0,450,4558,0,0,0,-485,4523,351,4874,0.275
64,1999,550,0,550,3417,0,0,0,3417,0,0,0,0,3191,3191,2670,9828,0,0,0,0,0,9549,9549,-5994,3555,1417,0,2968,7940,17768,1860,0,0,0,1860,603,0,603,0,0,0,4719,7182,1570,0,1570,0.45,0,0,3761,5331,12513,2708,456,5411,-624,0,-3117,0,4834,421,5255,0.272
64,2000,957,0,957,4337,0,0,0,4337,0,0,0,0,3504,3504,1829,10627,0,0,0,0,0,10455,10455,-5995,4460,5641,0,3638,13739,24366,1957,0,0,0,1957,1235,0,1235,0,0,0,6023,9215,3086,0,3086,0.571,0,0,3972,7058,16273,4227,449,6463,-391,0,-3182,0,7566,527,8093,0.311
64,2001,748,0,748,4445,0,0,0,4445,738,3028,-2109,2099,0,3756,1713,10662,0,193,3403,6292,467,0,10355,-5868,4487,6771,6771,3444,14702,25364,2261,0,0,5748,8009,1335,0,1335,0,0,0,0,9344,3476,0,3476,0.628,1636,0,2749,7861,17205,4665,0,7743,-791,0,-3955,0,7662,497,8159,0.302
64,2002,1558,0,1558,4141,0,0,0,4141,738,3314,-2245,2159,0,3966,1639,11304,0,188,3373,6524,320,0,10405,-5856,4549,6802,6802,4355,15706,27010,2156,0,0,5534,7690,722,0,722,0,0,0,0,8412,4237,0,4237,0.593,2703,0,2739,9679,18091,5090,0,9149,-1466,0,-4404,0,8369,550,8919,0.31
64,2003,2080,0,2080,4277,0,0,0,4277,740,3203,-2469,2329,0,3803,1675,11835,0,196,3552,6904,217,0,10869,-6282,4587,6981,6981,5791,17359,29194,2095,0,0,5449,7544,241,0,241,0,0,0,0,7785,4632,0,4632,0.583,5088,0,2745,12465,20250,5447,0,10836,-2977,0,-4951,0,8355,589,8944,0.286
64,2004,1623,0,1623,5187,0,0,0,5187,743,3481,-2025,2221,0,4420,1760,12990,0,217,4026,7597,242,0,12082,-7002,5080,11224,9329,5980,22284,35274,2612,0,0,7265,9877,1044,0,1044,0,0,0,0,10921,4257,0,4257,0.453,4752,0,2928,11937,22858,6587,0,12527,-1799,0,-5335,-273,11707,709,12416,0.332
64,2005,2265,0,2265,6315,0,0,0,6315,844,3998,-2367,2603,0,5078,2012,15670,0,240,4143,7959,394,0,12736,-7505,5231,12127,10111,7413,24771,40441,3490,0,0,8245,11735,1360,0,1360,0,0,0,0,13095,4231,0,4231,0.392,4595,0,3344,12170,25265,8106,0,13880,-1152,0,-6312,-256,14266,910,15176,0.353
64,2006,2247,0,2247,7240,0,0,0,7240,1000,4723,-2704,2640,0,5659,2060,17206,0,356,4331,8060,581,0,13328,-7705,5623,16066,13007,7030,28719,45925,3820,0,0,9220,13040,2305,0,2305,0,0,0,0,15345,5935,0,5935,0.485,2813,0,4063,12811,28156,8793,0,16051,-194,0,-7418,-241,16991,778,17769,0.37
64,2007,2546,0,2546,7679,0,0,0,7679,1082,6012,-3393,2956,0,6657,1962,18844,0,344,4306,8561,527,0,13738,-8013,5725,17362,14146,5210,28297,47141,4263,0,0,10051,14314,894,0,894,0,0,0,0,15208,7037,0,7037,0.459,2926,0,3837,13800,29008,9622,0,18754,-1439,0,-9413,-227,17297,836,18133,0.367
64,2008,2904,0,2904,8844,0,0,0,8844,1281,7536,-4410,3694,0,8101,2222,22071,0,351,4561,9394,571,0,14877,-8581,6296,19877,16120,6331,32504,54575,5059,0,0,11277,16336,1133,0,1133,0,0,0,0,17469,8015,0,8015,0.428,2562,0,4262,14839,32308,10572,0,21751,584,0,-11338,-214,21355,912,22267,0.391
64,2009,4327,0,4327,9480,0,0,0,9480,1271,9408,-5973,3634,0,8340,2320,24467,0,334,4681,9486,605,0,15106,-8758,6348,18806,15363,7216,32370,56837,5594,0,0,12069,17663,2139,0,2139,0,0,0,0,19802,9337,0,9337,0.728,6574,0,4443,20354,40156,11179,0,25034,-5934,0,-14316,-200,15763,918,16681,0.277
64,2010,4449,0,4449,8469,0,0,0,8469,1281,9576,-6237,2889,0,7509,2767,23194,0,345,4898,9941,493,0,15677,-9313,6364,19836,16298,6368,32568,55762,4634,0,0,11792,16426,1487,0,1487,0,0,0,0,17913,8257,0,8257,0.486,4150,0,4054,16461,34374,11746,0,27396,-3487,0,-15408,-181,20066,1322,21388,0.36
64,2011,4083,0,4083,8925,0,0,0,8925,1221,9599,-6080,3026,0,7766,2736,23510,0,342,4908,10010,654,0,15914,-9634,6280,21781,17721,6922,34983,58493,5206,0,0,12247,17453,279,0,279,0,0,0,0,17732,10010,0,10010,0.481,3592,0,4510,18112,35844,12597,0,30191,-3769,0,-17468,-166,21385,1264,22649,0.366
64,2012,5960,0,5960,9546,0,0,1662,11208,1321,10074,-6676,3078,0,7797,793,25758,1035,335,4885,9994,0,766,15980,-9779,6201,21861,17943,6597,35694,61452,5570,744,0,6300,12614,759,0,759,5028,0,5028,215,18616,9501,0,9501,0.469,5007,0,5150,19658,38274,13445,0,33487,-5490,0,-19410,-152,21880,1298,23178,0.356
