enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
67,1994,8.4,0,8.4,5.4,0,0,0,5.4,0,0,0,0,56.1,56.1,14.7,84.6,0,0,0,0,0,170.8,170.8,-30,140.8,0,0,6,146.8,231.4,9.1,0,0,0,9.1,0,0,0,0,0,0,31.3,40.4,80.5,0,80.5,0.732,0,0.6,0,81.1,121.5,0,0,20,0,0,0,89.9,109.9,0,109.9,0.475
67,1995,20.9,0,20.9,10.2,0,0,0,10.2,0,0,0,0,123.7,123.7,50.9,205.7,0,0,0,0,0,296.9,296.9,-52.2,244.7,0,0,17.8,262.5,468.2,28.7,0,0,0,28.7,0,0,0,0,0,0,42.3,71,81.3,0,81.3,0.26,0,3.5,0.2,85,156,0,0,46.6,0,0,0,265.6,312.2,0,312.2,0.667
67,1996,126.2,0,126.2,17.6,0,0,0,17.6,0,0,0,0,83.4,83.4,112.3,339.5,0,0,0,0,0,457.5,457.5,-88,369.5,0,0,17.6,387.1,726.6,38,0,0,0,38,0,0,0,0,0,0,63.1,101.1,166.7,0,166.7,0.369,0,7.1,0,173.8,274.9,0,0,90.4,0,0,0,361.3,451.7,0,451.7,0.622
67,1997,70.1,0,70.1,31.2,0,0,0,31.2,0,0,0,0,119.8,119.8,96.5,317.6,0,0,0,0,0,632.1,632.1,-143.3,488.8,0,0,50.8,539.6,857.2,48,0,0,0,48,0,0,0,0,0,0,97.5,145.5,165,0,165,0.309,0,12.9,0.1,178,323.5,0,0,142.4,0,0,0,391.3,533.7,0,533.7,0.623
67,1998,101.7,21.9,123.6,51,0,0,0,51,0,0,0,0,143.1,143.1,19.6,337.3,0,0,0,0,0,819.3,819.3,-218.5,600.8,0.1,0,54.6,655.5,992.8,49.9,0,0,0,49.9,33.6,0,33.6,0,0,0,96,179.5,0,0,0,0.042,0,19,0,19,198.5,589,0,212.2,-7.2,0,0,0.3,794.3,0,794.3,0.8
67,1999,66.4,51.4,117.8,47.6,0,0,0,47.6,0,0,0,0,180.9,180.9,40.2,386.5,0,0,0,0,0,1081.3,1081.3,-321,760.3,14.2,0,91.5,866,1252.5,56.1,0,0,0,56.1,64.5,0,64.5,0,0,0,130.6,251.2,7,0,7,0.074,0,32.9,0,39.9,291.1,651,0,313.9,-3.9,0,0,0,961,0.4,961.4,0.767
67,2000,70.817,61.336,132.153,76.385,0,0,0,76.385,0,0,0,0,201.656,201.656,48.04,458.234,0,0,0,0,0,1377.162,1377.162,-446.403,930.759,21.311,0,81.242,1033.312,1491.546,73.653,0,0,0,73.653,57.017,0,57.017,0,0,0,180.996,311.666,6.483,0,6.483,0.055,0,21.41,0,27.893,339.559,751,0,408.503,-10.976,0,0,-0.128,1148.399,3.588,1151.987,0.77
67,2001,113.237,107.312,220.549,90.425,0,0,0,90.425,0,0,0,0,221.253,221.253,61.7,593.925,0,6.023,980.527,661.05,93.431,0,1741.031,-605.247,1135.784,21.845,0,94.965,1252.594,1846.519,127.905,0,0,227.756,355.661,62.684,0,62.684,26.919,0,26.919,0,445.264,5.786,0,5.786,0.05,0,19.133,0.409,25.328,470.592,792,0,589.713,-5.408,0,0,-0.378,1375.927,0,1375.927,0.745
67,2002,99.677,227.662,327.339,97.573,0,0,0,97.573,0,0,0,0,263.174,263.174,84.56,772.643,0,11.31,1162.343,798.197,108.333,0,2080.183,-814.427,1265.756,29.764,0,146.62,1442.14,2214.783,135.994,0,0,283.627,419.621,0.71,0,0.71,42.264,0,42.264,0,462.595,5.076,0,5.076,0.003,0,22.496,1.036,28.608,491.203,891,0,801.728,-8.581,39.393,0,0.04,1723.58,0,1723.58,0.778
67,2003,200.907,149.104,350.011,114.448,0,0,0,114.448,0,0,0,0,342.944,342.944,116.63,924.029,0,11.414,1375.451,989.679,58.168,0,2434.712,-1049.81,1384.902,88.286,0,332.529,1805.717,2729.746,168.984,0,0,365.521,534.505,0.722,0,0.722,73.476,0,73.476,0,608.703,4.354,0,4.354,0.002,0,33.217,1.045,38.616,647.319,959,0,1069.683,14.248,39.393,0,0.103,2082.427,0,2082.427,0.763
67,2004,145.053,507.956,653.009,140.226,0,0,0,140.226,0,0,0,0,422.663,422.663,135,1350.895,0,13.118,1672.375,1099.054,93.135,0,2877.682,-1326.266,1551.416,95.75,0,388.48,2035.646,3386.541,199.346,0,0,424.801,624.147,0.735,0,0.735,121.377,0,121.377,0,746.259,3.618,0,3.618,0.002,0,21.77,144.683,170.071,916.33,957,0,1444.892,29.241,39.393,0,-0.315,2470.211,0,2470.211,0.729
67,2005,173.809,133.227,307.036,190.762,0,0,0,190.762,61.229,0,0,0,485.07,546.299,165.24,1209.334,0,13.833,2016.143,1292.098,145.509,0,3467.583,-1625.564,1842.019,127.883,92.47,334.457,2304.359,3513.693,220.975,0,0,553.225,774.2,277.748,0,277.748,175.048,0,175.048,0,1226.996,2.87,0,2.87,0.134,0,0,193.565,196.435,1423.431,1,0,1938.987,20.914,129.594,0,-0.233,2090.262,0,2090.262,0.595
67,2006,312.606,141.038,453.644,224.271,0,0,0,224.271,81.627,0,0,0,554.595,636.222,215.65,1529.788,0,32.35,2545.632,1504.723,174.998,0,4257.703,-1969.804,2287.899,199.433,161.48,411.821,2899.153,4428.941,340.937,0,0,661.995,1002.932,700.762,0,700.762,231.926,0,231.926,0,1935.62,1.958,0,1.958,0.315,0,0,262.857,264.815,2200.435,1,0,2151.084,37.273,39.393,0,-0.244,2228.506,0,2228.506,0.503
67,2007,281.3,157.4,438.7,287.9,0,0,0,287.9,0,0,0,0,691.7,691.7,278.2,1696.5,0,56.238,3264.851,1770.182,215.271,0,5306.542,-2416.142,2890.4,257.7,215.6,499.3,3647.4,5343.9,390.8,0,0,756.8,1147.6,711.1,0,711.1,296.9,0,296.9,0,2155.6,550.1,0,550.1,0.552,0,0,336.8,886.9,3042.5,1,0,2189.4,54.6,39.4,0,-0.3,2284.1,17.3,2301.4,0.427
67,2008,269.8,52.5,322.3,329.5,0,0,0,329.5,572.2,0,0,120.6,0,692.8,403.4,1748,374,59.1,217.7,1783.8,293.6,3363.1,5717.3,-2760.9,2956.4,333.1,266.5,261.1,3924.6,5672.6,324.9,76.1,0,554.1,955.1,713.7,0,713.7,368.4,0,368.4,152.5,2189.7,549.6,0,549.6,0.507,0,0,442.4,992,3181.7,1,0,2402.4,48.4,39.4,0,-0.3,2490.9,0,2490.9,0.439
67,2009,599.8,66.3,666.1,271,0,0,0,271,548.9,0,0,116,0,664.9,433.8,2035.8,423.5,58.2,231.5,1943,119.2,3349,5700.9,-3164.5,2536.4,327.3,259.1,253.8,3541,5576.8,267.1,127.8,0,643.1,1038,0,0,0,388.7,0,388.7,154.3,1581,549.3,0,549.3,0.18,0,0,389.6,938.9,2519.9,1,0,2793.2,65.4,186.4,0,-0.3,3045.7,11.2,3056.9,0.546
