enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
69,1994,48,0,48,0,0,0,731.1,731.1,0,0,0,0,215.2,215.2,137.5,1131.8,0,0,0,0,0,4427.4,4427.4,-4082.1,345.3,1021,0,586.1,1952.4,3084.2,197.2,0,0,0,197.2,170.8,0,170.8,0,0,0,700.9,1068.9,757.6,0,757.6,1.128,0,119.5,315.2,1192.3,2261.2,0,0,834.3,0,0,0,-11.3,823,0,823,0.267
69,1995,8.1,0,8.1,0,0,0,781,781,0,0,0,0,213.3,213.3,121.7,1124.1,0,0,0,0,0,788.7,788.7,-442.9,345.8,972.9,0,565.7,1884.4,3008.5,176.3,0,0,0,176.3,105.3,0,105.3,0,0,0,726.4,1008,657.5,0,657.5,0.835,0,129.8,300.1,1087.4,2095.4,0,0,923.1,0,0,0,-10,913.1,0,913.1,0.304
69,1996,10.3,0,10.3,0,0,0,865,865,0,0,0,0,238,238,126.5,1239.8,0,0,0,0,0,827.3,827.3,-491.2,336.1,958.4,0,570.1,1864.6,3104.4,215.2,0,0,0,215.2,71.3,0,71.3,0,0,0,760,1046.5,557.4,0,557.4,0.607,0,140.5,324.9,1022.8,2069.3,0,0,1030.5,0,0,0,4.6,1035.1,0,1035.1,0.333
69,1997,3.4,0,3.4,0,0,0,882,882,0,0,0,0,273.2,273.2,191,1349.6,0,0,0,0,0,835.7,835.7,-524.2,311.5,1306.3,0,674.8,2292.6,3642.2,241.7,0,0,0,241.7,24.5,0,24.5,0,0,0,952.5,1218.7,556.9,0,556.9,0.427,0,150.3,355.2,1062.4,2281.1,0,0,1394.9,0,0,0,-33.8,1361.1,0,1361.1,0.374
69,1998,4.8,0,4.8,0,0,0,981.9,981.9,0,0,0,0,290.5,290.5,187.2,1464.4,0,0,0,0,0,838.2,838.2,-564.6,273.6,1308.3,0,666.8,2248.7,3713.1,285.9,0,0,0,285.9,77.4,0,77.4,0,0,0,842.9,1206.2,607,0,607,0.477,0,111,354.2,1072.2,2278.4,0,0,1542.9,0,0,0,-108.2,1434.7,0,1434.7,0.386
69,1999,10.5,0,10.5,0,0,0,954.9,954.9,0,0,0,0,284.7,284.7,178.7,1428.8,0,0,0,0,0,914.8,914.8,-550.8,364,1259.5,0,735.8,2359.3,3788.1,318.6,0,0,0,318.6,75.5,0,75.5,0,0,0,897.4,1291.5,452.1,0,452.1,0.34,0,129.3,363.4,944.8,2236.3,0,0,1670.1,0,0,0,-118.3,1551.8,0,1551.8,0.41
69,2000,6.5,0,6.5,1052.6,0,0,0,1052.6,0,0,0,0,295.3,295.3,199.3,1553.7,0,0,0,0,0,993.7,993.7,-563.3,430.4,1253.1,0,851.6,2535.1,4088.8,340.2,0,0,0,340.2,181.7,0,181.7,0,0,0,1003.6,1525.5,354.8,0,354.8,0.317,0,135.4,381.6,871.8,2397.3,206,0,1926.8,-101.8,24.3,-363.7,-0.1,1691.5,0,1691.5,0.414
69,2001,3.171,0,3.171,1095.118,0,0,0,1095.118,0,0,0,0,388.947,388.947,314.45,1801.69,0,0,0,0,0,1046.369,1046.369,-614.464,431.905,1697.448,0,1000.401,3129.754,4931.444,313.286,0,0,0,313.286,227.848,0,227.848,0,0,0,1239.651,1780.785,817.529,0,817.529,0.594,0,163.231,408.855,1389.615,3170.4,206,0.013,2105.145,-123.226,44.176,-470.903,-0.161,1761.044,0,1761.044,0.357
69,2002,53.535,0,53.535,1038.308,0,0,0,1038.308,0,30.595,0,340.488,31.564,402.647,318.46,1812.947,0,13.235,335.313,730.182,0,0,1078.73,-623.79,454.94,1818.446,0,1074.858,3348.244,5161.191,339.541,0,0,273.289,612.83,222.953,0,222.953,0,0,0,1040.61,1876.393,833.571,0,833.571,0.57,0,190.334,407.008,1430.913,3307.306,206,0.013,2292.342,-142.172,64.638,-566.775,-0.161,1853.885,0,1853.885,0.359
69,2003,58.186,0,58.186,991.806,0,0,0,991.806,0,18.128,0,314.42,28.209,360.757,263.56,1674.307,0,13.252,330.484,728.217,0,0,1071.953,-640.493,431.46,1805.652,0,1120.763,3357.875,5032.182,303.354,0,0,437.461,740.815,119.414,0,119.414,0,0,0,915.062,1775.291,458.923,0,458.923,0.267,0,200.114,432.032,1091.069,2866.36,206,0,2672.086,-122.028,79.41,-669.499,-0.147,2165.822,0,2165.822,0.43
