enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
70,2004,39.336,0,39.336,0,0,0,12.049,12.049,0,0,0,0,0,0,7.16,58.545,0,0,0,0,0,9.682,9.682,0,9.682,0,0,1.329,11.011,69.556,7.165,0.86,-0.001,0,8.024,0,0,0,0,0,0,4.392,12.416,0,0,0,0,0,0,0.12,0.12,12.536,0,0,0,0,1.844,0,55.176,57.02,0,57.02,0.82
70,2005,103.889,80.578,184.467,0,0,0,23.286,23.286,0,0,0,0,0,0,100.82,308.568,0,0,0,0,0,17.167,17.167,0,17.167,0,0,20.223,37.39,345.958,0.303,0.682,9.655,0,10.64,0.018,0,0.018,0,0,0,14.846,25.504,0,0,0,0,0,0,0,0,25.504,0,0,98.629,0,214.791,0,7.034,320.454,0,320.454,0.926
70,2006,195.164,47.537,242.701,27.584,0,0,0,27.584,0,0,0,0,0.328,0.328,59.23,329.841,0,0,13.506,44.191,0,0,57.697,-12.493,45.204,2.654,0.373,46.686,94.544,424.385,3.165,5.204,24.293,0,32.662,0,0,0,0,0,0,28.994,61.656,0,0,0,0,0,0,0.1,0.1,61.756,0,0,143.082,0,206.308,0,13.239,362.629,0,362.629,0.854
70,2007,235.789,54.995,290.785,51.054,0,0,0,51.054,0,0,0,0,0.315,0.315,135.28,477.433,0,0,21.697,75.988,1.849,0.001,99.535,-26.203,73.331,19.891,3.512,23.903,117.125,594.558,4.978,8.334,56.813,0,70.125,0,0,0,0,0,0,40.826,110.951,0,0,0,0,0,0,8.306,8.306,119.257,0,0,263.304,0,186.53,0,25.467,475.301,0,475.301,0.799
70,2008,400.2,91.954,492.154,72.681,0,0,0,72.681,0,0,0,0,0.231,0.231,91.15,656.216,0,0,38.134,122.374,15.232,0.001,175.741,-46.606,129.134,58.195,0,96.365,283.694,939.91,15.887,9.654,90.822,0,116.363,39.655,0,39.655,0,0,0,67.865,223.883,0,0,0,0.057,0,0,5.534,5.534,229.417,0,0,463.318,0,197.586,0,40.814,701.718,8.776,710.493,0.747
70,2009,447.618,58.091,505.709,143.489,0,0,0,143.489,0,0,0,0,0.8,0.8,297.76,947.761,0,5.259,42.054,211.895,127.795,0.001,387.004,-83.966,303.038,54.03,9.08,133.12,490.188,1437.949,35.695,22.066,147.878,0,205.639,0,0,0,0,0,0,99.53,305.169,0,0,0,0,0,0,94.053,94.053,399.222,0,0,866.504,0,168.548,-3.182,-7.501,1024.369,14.358,1038.727,0.712
70,2010,885.199,777.762,1662.961,180.071,0,0,0,180.071,0,0,0,0,0,0,84.02,1927.051,0,13.236,190.27,297.655,0,15.492,516.653,-132.475,384.178,44.527,0,208.252,636.957,2564.008,102.016,44.261,238.162,0,384.439,29.633,0,29.633,0,0,0,254.266,668.338,0,0,0,0.017,0,0,94.329,94.329,762.667,0,0,1540.894,0,182.267,-18.128,78.71,1783.743,17.597,1801.341,0.696
70,2011,1565.222,1763.349,3328.571,257.968,0,0,0,257.968,0,0,0,0,0,0,229.23,3815.772,0,19.596,205.793,499.169,58.19,-0.001,782.747,-229.373,553.374,120.738,0,898.346,1572.458,5388.23,207.598,85.16,450.819,0,743.577,0,0,0,0,0,0,1214.714,1958.291,0,0,0,0,0,0,145.451,145.451,2103.742,0,0,2676.094,0,165.466,-38.819,469.128,3271.869,12.619,3284.488,0.607
70,2012,1986.727,2160.619,4147.346,318.326,0,0,22.584,340.91,0,0,0,0,0,0,1104.43,5592.686,0,0,333.562,1012.344,105.397,0,1451.303,-418.879,1032.424,744.642,412.051,1578.354,3355.42,8948.106,353.504,139.917,102.128,0,595.549,1260.112,0,1260.112,0,0,0,1481.245,3336.906,588.093,0,588.093,0.412,0,0,440.966,1029.059,4365.965,0,0,4207.55,0,307.312,-95.598,64.501,4483.765,98.376,4582.14,0.501
70,2013,2147.189,2215.056,4362.245,377.679,0,0,56.636,434.315,0,0,0,0,91.131,91.131,969.87,5857.56,0,0,472.34,1391.509,124.824,0,1988.673,-676.101,1312.572,976.768,469.933,3927.288,6216.628,12074.188,675.78,154.024,108.298,0,938.102,172.796,0,172.796,0,0,0,2204.626,3315.524,1543.929,0,1543.929,0.259,0,0,452.445,1996.374,5311.898,0,0,6139.937,0,462.072,-107.015,130.921,6625.915,136.375,6762.29,0.549
