enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
73,2001,9.178,0,9.178,0,0,0,0,0,0,0,0,0,0,0,0,9.178,0,0,0,0,0,0.098,0.098,0,0.098,0,0,117.244,117.342,126.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.529,119.529,119.529,0,0,0,0,0,0,6.991,6.991,0,6.991,0.055
73,2002,42.668,0,42.668,0,0,0,0,0,0,0,0,0,0,0,0,42.668,0,0,0,0,0,169.459,169.459,0,169.459,0,0,111.881,281.34,324.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.485,375.485,375.485,0,0,0,0,0,0,-51.477,-51.477,0,-51.477,-0.159
73,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.799,352.799,0,352.799,0,0,201.906,554.705,554.705,0,0,0,0,0,0,0,0,0,0,0,0,0,51.649,0,51.649,0.744,0,0,433.659,485.308,485.308,0,0,0,0,0,0,69.397,69.397,0,69.397,0.125
73,2004,68.412,186.426,254.838,8.654,0,0,0,8.654,0,0,0,0,16.967,16.967,25.27,305.733,0,0,0,0,0,485.032,485.032,0,485.032,100.619,0,7.555,593.206,898.939,0,0,0,156.16,156.16,13.42,0,13.42,0,0,0,32.428,202.008,182.335,0,182.335,2.744,0,30.475,412.788,625.598,827.606,0,0,-2.774,-0.072,78.422,0,-4.243,71.333,0,71.333,0.079
73,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0
73,2006,112.709,390.472,503.181,16.028,0,0,0,16.028,0,0,0,0,39.431,39.431,53.46,612.102,0,0,922.532,21.177,98.078,0,1041.787,-210.297,831.49,681.299,0,34.09,1546.879,2158.981,29.43,0,0,144.79,174.22,2.69,0,2.69,56.56,0,56.56,2.147,235.617,902.864,0,902.864,2.461,0,146.053,505.282,1554.199,1789.816,0,0,216.702,1.605,149.584,0,0.015,367.906,1.259,369.165,0.17
73,2007,161.498,391.258,552.756,28.14,0,0,0,28.14,0,0,0,0,92.915,92.915,84.72,758.527,0,0,1351.707,37.175,193.856,0,1582.738,-326.576,1256.162,2072.885,0,65.548,3394.595,4153.122,90.084,0,0,235.597,325.681,16,0,16,90.501,0,90.501,3.447,435.629,2580,0,2580,6.282,0,177.197,543.022,3300.219,3735.848,0,0,245.69,1.224,166.315,0,0.016,413.245,4.029,417.274,0.1
73,2008,1470.208,0,1470.208,31.809,0,0,0,31.809,0,0,0,0,109.139,109.139,121.73,1732.884,0,0,1934.529,52.099,393.282,0,2379.91,-488.499,1891.411,2072.895,0,108.94,4073.246,5806.13,439.449,0,0,0,439.449,16,0,16,120.481,0,120.481,4.56,580.49,2986.177,0,2986.177,1.624,0,290.128,95.557,3371.862,3952.352,0,0,338.411,-14.469,1524.769,0,0.035,1848.746,5.032,1853.778,0.318
73,2009,697.948,0.003,697.951,34.666,0,0,0,34.666,0,0,0,0,155.955,155.955,155.31,1043.884,10.561,0,0,2596.638,898.454,47.784,3542.876,-695.125,2847.751,2423.074,0,96.878,5378.264,6422.148,326.394,53.915,104.752,83.371,568.432,17.009,0,17.009,151.779,0,151.779,5.136,742.356,3057.983,0,3057.983,1.512,0,445.934,135.262,3639.179,4381.535,0,0,487.849,-32.533,1578.972,0,0.035,2034.323,6.29,2040.613,0.317
73,2010,929.381,224.932,1154.313,51.536,0,0,0,51.536,0,0,0,0,147.401,147.401,138.14,1491.391,6.319,0,0,3929.466,283.365,55.631,4268.462,-1016.249,3252.213,2470.181,0,165.913,5894.626,7386.017,295.89,79.008,84.438,68.107,527.443,19.326,0,19.326,187.654,0,187.654,63.046,797.469,3625.949,0,3625.949,1.593,0,592.793,81.664,4300.406,5097.875,0,0,664.693,-11.34,1634.754,0,0.035,2288.142,0,2288.142,0.31
73,2011,796.531,374.862,1171.393,58.056,0,0,0,58.056,0,0,0,0,161.049,161.049,203.39,1593.885,16.7,0,0,4585.297,425.906,57.853,5069.056,-1409.611,3659.445,2522.241,0,126.309,6324.695,7918.58,337.148,74.422,0,65.36,476.93,23.722,0,23.722,224.471,0,224.471,77.297,802.42,3757.287,0,3757.287,1.488,0,744.469,72.828,4574.584,5377.004,0,0,858.108,-1.415,1686.761,-1.914,0.036,2541.576,0,2541.576,0.321
73,2012,1943.282,299.972,2243.254,78.023,0,0,0,78.023,0,0,0,0,239.648,239.648,182.67,2743.593,6.319,0,0,5534.172,354.068,60.635,5948.875,-1930.876,4017.999,2539.041,0,175.979,6739.338,9482.931,211.89,65.706,0,229.579,507.175,38.631,0,38.631,245.705,0,245.705,25.212,816.723,4711.021,0,4711.021,1.622,0,937.134,90.453,5738.608,6555.331,0,0,1159.418,-9.295,1784.273,-6.832,0.036,2927.6,0,2927.6,0.309
73,2013,394,0,394,2678,0,0,682,3360,0,0,0,0,457,457,1330,5541,0,0,1819,5078,1659,21995,30551,-17744,12807,14629,0,645,28081,33622,3475,0,1619,0,5094,0,0,0,290,0,290,208,5592,0,2461,2461,0.402,0,5502,13952,21915,27507,0,0,-23123,41,29197,0,0,6115,0,6115,0.182
73,2014,5891,0,5891,2148,0,0,1512,3660,0,0,0,0,586,586,2091,12228,0,0,1862,6424,1147,25565,34998,-19649,15349,21009,1683,1367,37725,49953,3026,534,306,900,4766,244,0,244,445,0,445,353,5808,14345,2496,16841,1.199,0,6758,6301,29900,35708,0,0,-23088,3,37330,0,0,14245,0,14245,0.285
73,2015,5315,0,5315,1865,0,0,3138,5003,0,0,0,0,1085,1085,2581,13984,0,0,1948,7593,1874,26621,38036,-21791,16245,24508,1683,1916,42669,56653,5322,605,373,1295,7595,87,0,87,459,0,459,635,8776,16273,0,16273,1.044,0,7204,8737,32214,40990,0,0,-22841,1,38503,0,0,15663,0,15663,0.276
73,2016,4582,2998,7580,1788,0,0,2414,4202,0,0,0,0,1295,1295,1813,14890,0,0,1900,8524,2466,30302,43192,-23192,20000,26232,1683,1291,47523,62413,6137,494,244,1344,8219,182,0,182,717,0,717,410,9528,20461,0,20461,1.247,0,6542,9325,36328,45856,0,0,-22108,-1,38666,0,0,16557,0,16557,0.265
