enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
71,1994,9208.226,0,9208.226,0,0,0,9731.598,9731.598,0,0,0,0,3890.777,3890.777,22952.25,45782.851,0,0,0,0,0,59547.806,59547.806,-33888.248,25659.558,0,0,22675.345,48334.903,94117.754,7435.615,0,0,0,7435.615,10492.317,0,10492.317,0,0,0,9578.744,27506.676,16330.451,0,16330.451,0.57,0,0,2939.469,19269.92,46776.596,0,0,41170.337,0,0,0,5897.662,47067.999,273.16,47341.158,0.5
71,1995,16337.864,0,16337.864,0,0,0,13687.921,13687.921,0,0,0,0,5306.854,5306.854,21206.89,56539.533,0,0,0,0,0,78583.418,78583.418,-44899.751,33683.666,0,0,26864.333,60547.999,117087.532,9620.946,0,0,0,9620.946,12449.664,0,12449.664,0,0,0,12567.926,34638.536,21400.942,0,21400.942,0.599,0,0,3768.315,25169.257,59807.793,0,0,49428.985,0,0,0,7120.475,56549.46,730.278,57279.738,0.483
71,1996,9755.267,0,9755.267,0,0,0,11837.32,11837.32,0,0,0,0,5010.473,5010.473,21072.15,47675.21,0,0,0,0,0,74861.689,74861.689,-41697.864,33163.825,0,0,27336.908,60500.733,108175.943,7891.378,0,0,0,7891.378,12598.566,0,12598.566,0,0,0,14412.311,34902.255,18566.509,0,18566.509,0.615,0,0,3313.795,21880.304,56782.559,0,0,44455.737,0,0,0,6253.942,50709.679,683.706,51393.384,0.469
71,1997,14145.978,0,14145.978,0,0,0,11446.215,11446.215,0,0,0,0,4566.347,4566.347,17323.83,47482.37,0,0,0,0,0,72072.31,72072.31,-38785.219,33287.091,0,0,22529.176,55816.267,103298.637,8472.928,0,0,0,8472.928,13859.044,0,13859.044,0,0,0,15718.974,38050.946,15271.938,0,15271.938,0.631,0,0,3215.255,18487.193,56538.139,0,0,39649.953,0,0,0,6506.33,46156.283,604.215,46760.498,0.447
71,1998,9497.086,0,9497.086,0,0,0,20106.364,20106.364,0,0,0,0,5633.131,5633.131,6801.62,42038.199,0,0,0,0,0,78582.872,78582.872,-42327.408,36255.463,0,0,36476.727,72732.19,114770.389,8140.124,0,0,0,8140.124,12443.925,0,12443.925,0,0,0,14805.643,35389.692,21698.096,0,21698.096,0.674,0,1996.006,4286.686,27980.788,63370.48,0,0,43038.934,0,0,0,7652.026,50690.96,708.949,51399.909,0.442
71,1999,11030.539,1895.905,12926.444,0,0,0,21772.008,21772.008,0,0,0,0,6327.658,6327.658,6099.39,47125.501,0,0,0,0,0,90072.436,90072.436,-49041.342,41031.094,0,0,42881.146,83912.24,131037.741,10237.09,0,0,0,10237.09,14751.577,0,14751.577,0,0,0,17369.161,42357.828,24787.314,0,24787.314,0.718,0,1812.174,5523.245,32122.733,74480.561,3282,0,48023.614,-282.093,4031.041,0,0.448,55055.01,1502.171,56557.18,0.42
71,2000,13925.409,6225.693,20151.102,0,0,0,25339.662,25339.662,0,0,0,0,7197.098,7197.098,4562.22,57250.084,0,0,0,0,0,97526.19,97526.19,-55085.928,42440.261,0,0,50016.256,92456.517,149706.601,11815.381,0,0,0,11815.381,19773.172,0,19773.172,0,0,0,15407.164,46995.717,26532.413,0,26532.413,0.736,0,5487.232,6019.812,38039.457,85035.174,3615,0,56058.3,-1141.522,4439.467,-31.897,-0.019,62939.329,1732.098,64671.427,0.42
71,2001,12656.126,4088.279,16744.405,10654.021,0,0,16674.865,27328.886,926.843,1056.58,0,5041.07,315.52,7340.013,6095.57,57508.878,0,7100.259,17383.75,64827.095,1191.507,0,90502.611,-53159.049,37343.562,0,0,47720.465,85064.027,142572.905,10806.592,0,0,6820.026,17626.618,18291.911,0,18291.911,0,0,0,10601.087,46519.616,25829.124,0,25829.124,0.744,0,4634.214,4752.534,35215.872,81735.488,3326,0,54274.789,-2366.407,4093.469,-41.516,0.462,59286.797,1550.619,60837.416,0.416
71,2002,12611.426,4723.707,17335.134,11088.239,0,0,19251.794,30340.033,1162.166,860.976,0,4977.234,319.444,7319.82,6443.63,61438.618,0,7857.296,18432.397,52961.703,1782.799,12056.71,93090.905,-54223.251,38867.653,0,0,46621.511,85489.164,146927.782,10811.388,0,0,7064.264,17875.652,22711.925,0,22711.925,0,0,0,10190.755,50778.332,28332.103,0,28332.103,0.923,0,3554.443,6759.018,38645.564,89423.896,3022,0,51787.368,-2034.297,3732.925,-1224.026,0.037,55284.007,2219.879,57503.885,0.376
71,2003,13165.334,5464.931,18630.264,12204.15,0,0,24965.926,37170.076,1120.221,1103.324,0,5883.398,375.727,8482.67,7017.54,71300.546,0,8799.751,20848.839,71867.117,1749.414,0.001,103265.122,-60231.527,43033.595,0,0,52319.404,95352.999,166653.545,12664.365,0,0,8794.781,21459.146,25789.94,0,25789.94,0,0,0,11082.935,58332.021,34214.958,0,34214.958,1.019,0,3067.438,9543.253,46825.649,105157.67,3283,0,60381.619,-4996.764,4083.291,-3864.614,0.133,58886.665,2609.211,61495.876,0.353
