enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
74,2008,17.211,0,17.211,0.059,0,0,0,0.059,2.008,0.1,0,0,0,2.108,2.93,22.308,0,0,0,13.403,0,1.793,15.196,-3.198,11.998,0,0,0.531,12.529,34.837,5.369,0,0,8.512,13.881,0,0.08,0.08,0,0,0,37.335,51.296,0,0.018,0.018,-0.001,0,0,101.369,101.387,152.683,0,0,-122.132,0,4.268,0,0.018,-117.846,0,-117.846,-3.383
74,2009,9.277,0,9.277,3.32,0,0,0,3.32,4.646,4.372,0,7.518,0.114,16.65,2.18,31.427,0,0,0,21.738,0,3.881,25.619,-6.826,18.793,0,0,1.479,20.272,51.699,14.184,0,0,11.145,25.329,0,0.341,0.341,4.073,0,14.246,48.019,87.935,54.528,0.888,55.416,-0.279,0,0,108.062,163.478,251.413,0,0,-204.914,0,5.193,0,0.007,-199.714,0,-199.714,-3.863
74,2010,69.627,0,69.627,3.488,0,0,0,3.488,10.001,3.403,0,7.038,2.78,23.222,4.22,100.559,0,0,0,28.321,2.619,5.325,36.265,-12.73,23.535,0,0,6.33,29.865,130.424,15.086,0.452,0,11.888,27.426,0,0.29,0.29,1.377,0,1.533,28.24,57.489,0,0.8,0.8,-0.004,0,2.387,323.271,326.458,383.947,0,0,-260.654,0,7.124,0,0.007,-253.523,0,-253.523,-1.944
74,2011,99.558,0,99.558,6.71,0,0,0,6.71,20.519,4.538,0,20.125,0,45.182,84.44,235.886,0,26.391,0,37.328,58.917,21.956,144.592,-21.993,122.599,0,0,27.597,150.196,386.082,28.951,2.686,0,11.743,43.38,0,0.279,0.279,4.635,0,4.635,37.271,85.565,71.828,0.496,72.324,0.351,0,5.702,15.443,93.469,179.034,0,0,-414.982,0,621.935,0,0.095,207.048,0,207.048,0.536
74,2012,255.266,25.061,280.327,9.539,0,0,0,9.539,12.095,3.665,0,26.12,8.202,50.082,32.89,372.838,0,26.391,0,44.056,227.461,44.485,342.393,-32.222,310.171,14.508,0,15.931,340.61,713.448,56.141,0.967,0,31.142,88.25,7.916,1.067,8.983,94.106,0,94.106,0,191.339,268.335,2.83,271.165,1.25,0,6.985,19.914,298.064,489.403,0,0,-669.392,-0.003,893.336,0,0.104,224.045,0,224.045,0.314
74,2013,201.89,0,201.89,26.842,0,0,0,26.842,163.637,24.535,0,62.559,17.773,268.504,27.53,524.768,0,26.391,50.574,255.941,75.129,211.808,619.843,-57.543,562.3,14.267,0,12.855,589.422,1114.19,303.382,9.71,0,30.088,343.18,50.841,4.365,55.206,140.722,0,140.722,0,539.108,401.495,9.965,411.46,3.742,0,9.465,29.457,450.382,989.49,0,0,-1065.606,0,1190.191,0,0.115,124.7,0,124.7,0.112
74,2014,845.889,0,845.889,49.109,0,0,0,49.109,184.665,42.5,0,69.324,43.866,340.355,30.59,1265.939,0,45.02,67.707,746.892,76.294,325.148,1261.061,-140.142,1120.919,0,0,30.072,1150.991,2416.93,303.969,38.067,0,68.053,410.089,0.182,7.722,7.904,255.035,0,255.035,2.132,675.16,586.119,12.855,598.974,0.91,0,181.18,294.496,1074.65,1749.81,0,0,-1139.62,0,1806.617,0,0.123,667.12,0,667.12,0.276
74,2015,1905.713,0,1905.713,226.604,0,0,0,226.604,392.292,56.114,0,397.318,107.951,953.675,94.08,3180.073,0,49.478,154.362,1586.46,572.125,526.176,2888.601,-292.59,2596.011,0,0,54.583,2650.594,5830.667,777.946,71.229,0,197.654,1046.829,611.099,0,611.099,449.238,0,449.238,0,2107.166,1876.981,0,1876.981,2.729,0,292.271,642.539,2811.791,4918.957,0,0,-1433.66,-0.022,2345.266,0,0.126,911.71,0,911.71,0.156
74,2016,1196.908,0,1196.908,168.965,0,0,0,168.965,528.935,163.83,0,476.512,108.561,1277.838,138.3,2782.006,0,521.537,0,3661.825,693.207,889.294,5765.863,-571.126,5194.737,12.816,0,78.38,5285.933,8067.939,916.148,101.206,0,321.592,1338.946,627.927,0,627.927,707.331,0,707.331,136.831,2811.035,2068.378,201.389,2269.767,2.674,0,463.447,1439.986,4173.2,6984.235,0,0,-2322.323,-3.556,3409.452,0,0.131,1083.704,0,1083.704,0.134
74,2017,3393.216,0,3393.216,499.142,0,0,0,499.142,680.339,233.746,0,1016.731,136.638,2067.454,299.98,6259.796,0,1079.452,0,5564.102,2608.245,6802.76,16054.559,-1017.642,15036.917,376.145,0,991.218,16404.28,22664.076,1860.341,152.897,0,920.608,2933.846,1150.147,52.031,1202.178,1426.985,0,1426.985,263.996,5827.005,5978.284,1407.653,7385.937,1.807,0,888.756,2657.253,10931.946,16758.951,0,0,-2997.237,-23.74,7773.727,0,0.161,4752.911,1152.214,5905.125,0.21
