enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
76,1994,4075.2,0,4075.2,0,0,0,3010.9,3010.9,0,0,0,0,1994.9,1994.9,1269.3,10350.3,0,0,0,0,0,15190.1,15190.1,-7719.1,7471,1551.4,0,3365.7,12388.1,22738.4,2253.9,0,0,0,2253.9,1912.1,0,1912.1,0,0,0,2459.4,6625.4,4094.2,0,4094.2,0.668,0,1036.1,1616,6746.3,13371.7,0,250.6,5237.1,0,0,0,3501.9,8989.6,377.1,9366.7,0.395
76,1995,4475.2,0,4475.2,0,0,0,3683.8,3683.8,0,0,0,0,2222.7,2222.7,1458.5,11840.2,0,0,0,0,0,17769.1,17769.1,-9060.6,8708.5,1609.1,0,3093,13410.6,25250.8,2767.4,0,0,0,2767.4,2303,0,2303,0,0,0,2676,7746.4,4271.8,0,4271.8,0.658,0,898.5,1891.3,7061.6,14808,0,250.4,6078.3,0,0,0,3660.6,9989.3,453.5,10442.8,0.396
76,1996,5824,0,5824,0,0,0,4406.7,4406.7,0,0,0,0,2386.4,2386.4,1470.1,14087.2,0,0,0,0,0,20570.2,20570.2,-10807.3,9762.9,1646.1,0,2837.9,14246.9,28334.1,3182.7,0,0,0,3182.7,2951.2,0,2951.2,0,0,0,2743.1,8877,5056.1,0,5056.1,0.73,0,828.4,2114.2,7998.7,16875.7,0,249.8,6698.1,0,0,0,4024.6,10972.5,485.9,11458.4,0.387
76,1997,6172.8,0,6172.8,0,0,0,4606.1,4606.1,0,0,0,0,2896.2,2896.2,1664.1,15339.2,0,0,0,0,0,22425.8,22425.8,-11949.8,10476,1808.4,0,2889.7,15174.1,30513.3,3453.3,0,0,0,3453.3,4387.5,0,4387.5,0,0,0,3098.6,10939.4,4093,0,4093,0.726,0,855.3,2513.8,7462.1,18401.5,0,252.5,7027.7,0,0,0,4403.2,11683.4,428.4,12111.8,0.383
76,1998,2100.2,0,2100.2,0,0,0,3879.6,3879.6,0,0,0,0,2415.3,2415.3,1755.1,10150.2,0,0,0,0,0,21169.2,21169.2,-10976.8,10192.4,1556.3,0,3285.1,15033.8,25184,3042.4,0,0,0,3042.4,1443.7,0,1443.7,0,0,0,2921.3,7407.4,3765,0,3765,0.461,0,868.2,1567.5,6200.7,13608.1,0,248.6,6887.2,0,0,0,4173.7,11309.5,266.4,11575.9,0.449
76,1999,1782.8,731.7,2514.5,0,0,0,3658.6,3658.6,0,0,0,0,2182.3,2182.3,1970.4,10325.8,0,0,0,0,0,23604.3,23604.3,-11926.9,11677.4,1712.1,0,3423.5,16813,27138.8,2751,0,0,0,2751,1382.2,0,1382.2,0,0,0,3416.2,7549.4,4447.9,0,4447.9,0.471,0,902.6,1585.4,6935.9,14485.3,2186,251.1,7887.7,-276,2323.1,0,-0.1,12371.8,281.7,12653.5,0.456
76,2000,3977,643,4620,13453,0,0,0,13453,0,0,0,0,7935,7935,3889,29897,0,0,0,0,0,87790,87790,-51664,36126,3141,0,12563,51830,81727,9486,0,0,0,9486,8539,0,8539,0,0,0,8412,26437,10266,0,10266,0.659,0,4718,10285,25269,51706,7288,602,9636,322,13711,-3034,1,28526,1495,30021,0.349
76,2001,4332,604,4936,13474,0,0,0,13474,2163,0,0,6249,441,8853,4667,31930,0,48225,5724,18224,6986,6522,85681,-50176,35505,2744,0,12476,50725,82655,9307,0,0,0,9307,3817,0,3817,0,0,0,10561,23685,10839,0,10839,0.48,0,5860,11045,27744,51429,6741,0,10421,628,14560,-1835,0,30515,711,31226,0.369
76,2002,3186,895,4081,12030,0,0,0,12030,1455,2443,-1070,2601,473,5902,6473,28486,0,1543,5206,18947,1622,61189,88507,-51719,36788,2849,0,10846,50483,78969,8943,0,0,11115,20058,3177,0,3177,0,0,0,0,23235,9951,0,9951,0.434,0,5812,8925,24688,47923,6292,0,0,1116,27224,-4388,2,30246,800,31046,0.383
76,2003,5216,1584,6800,13745,0,0,0,13745,2164,3213,-1934,2867,533,6843,5506,32894,0,61729,6120,22530,4257,7865,102501,-61968,40533,2890,0,13304,56727,89621,10751,0,0,316,11067,5352,0,5352,0,0,0,10030,26449,10668,0,10668,0.474,0,6711,11270,28649,55098,7218,0,32049,-872,0,-4632,0,33763,760,34523,0.377
