enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
77,1994,404,484,888,1218,0,0,0,1218,244,557,-229,250,0,822,386,3314,0,0,0,0,0,4620,4620,-2417,2203,0,0,476,2679,5993,1512,0,0,158,1670,211,0,211,0,0,0,120,2001,694,0,694,0.391,0,0,983,1677,3678,91,0,1307,-10,932,-5,0,2315,0,2315,0.386
77,1995,760,530,1290,1442,0,0,0,1442,237,553,-226,318,0,882,403,4017,0,0,0,0,0,4895,4895,-2327,2568,0,0,404,2972,6989,1877,0,0,254,2131,12,0,12,0,0,0,56,2199,808,0,808,0.27,0,0,943,1751,3950,93,0,1912,-1,1041,-6,0,3039,0,3039,0.435
77,1996,1364,189,1553,2079,0,0,0,2079,209,341,0,428,0,978,835,5445,0,0,0,0,0,4880,4880,-1986,2894,0,0,409,3303,8748,2313,0,0,369,2682,27,0,27,0,0,0,170,2879,804,0,804,0.203,0,0,970,1774,4653,190,0,2881,-45,1081,-12,0,4095,0,4095,0.468
77,1997,964,14,978,1799,0,0,0,1799,111,361,0,231,0,703,974,4454,0,0,0,0,0,6712,6712,-2550,4162,0,0,744,4906,9360,1940,0,0,69,2009,314,0,314,0,0,0,163,2486,1697,0,1697,0.491,0,0,1080,2777,5263,190,0,2814,-11,1116,-12,0,4097,0,4097,0.438
77,1998,1015,2005,3020,1705,0,0,0,1705,105,364,0,273,0,742,636,6103,0,0,0,0,0,7414,7414,-3234,4180,0,0,566,4746,10849,2082,0,0,189,2271,71,0,71,0,0,0,154,2496,1286,0,1286,0.229,0,288,865,2439,4935,390,0,4488,-53,1183,-94,0,5914,0,5914,0.545
77,1999,632,1709,2341,1373,0,0,0,1373,79,368,0,171,0,618,667,4999,0,0,0,0,0,6536,6536,-3085,3451,171,171,2869,6491,11490,1606,0,0,153,1759,267,0,267,0,0,0,197,2223,1027,0,1027,0.192,0,384,1120,2531,4754,400,0,4927,295,1248,-134,0,6736,0,6736,0.586
77,2000,781,2045,2826,1909,0,0,0,1909,167,501,0,226,0,894,724,6353,0,0,0,0,0,7338,7338,-3405,3933,502,0,4639,9074,15427,1722,0,0,374,2096,331,0,331,0,0,0,270,2697,1099,0,1099,0.149,0,998,1055,3152,5849,851,0,6406,1553,877,-109,0,9578,0,9578,0.621
77,2001,745,3258,4003,2204,0,0,0,2204,245,681,0,307,0,1233,675,8115,0,0,0,0,0,9099,9099,-3652,5447,961,0,3197,9605,17720,1921,0,0,421,2342,148,0,148,0,0,0,323,2813,1216,0,1216,0.108,0,469,634,2319,5132,1733,0,9323,440,1185,-93,0,12588,0,12588,0.71
77,2002,431,2513,2944,1198,0,0,0,1198,133,407,0,211,0,751,882,5775,0,0,0,0,0,9683,9683,-4094,5589,748,748,3667,10004,15779,1205,0,0,10,1215,38,0,38,0,0,0,327,1580,1211,0,1211,0.105,0,331,778,2320,3900,1740,0,8975,183,1216,-235,0,11879,0,11879,0.753
77,2003,949,2063,3012,1217,0,0,0,1217,121,478,0,191,0,790,1107,6126,0,93,2891,6532,0,0,9516,-4722,4794,823,0,2936,8553,14679,511,0,0,708,1219,422,0,422,0,0,0,293,1934,833,0,833,0.117,0,129,1049,2011,3945,1740,0,8484,-303,1042,-229,0,10734,0,10734,0.731
77,2004,1818,2511,4329,1451,0,0,0,1451,106,624,0,254,0,984,945,7709,0,100,2917,6532,0,0,9549,-5417,4132,862,0,2807,7801,15510,1496,0,0,17,1513,437,0,437,0,0,0,250,2200,395,0,395,0.07,0,59,992,1446,3646,1738,0,9535,-175,901,-135,0,11864,0,11864,0.765
77,2005,2668,3690,6358,1696,0,0,0,1696,117,756,0,383,0,1256,880,10190,0,88,2800,6685,0,0,9573,-5655,3918,1119,0,1072,6109,16299,552,0,0,1159,1711,11,0,11,0,0,0,203,1925,368,0,368,0.029,0,40,903,1311,3236,1738,0,11242,-187,750,-480,0,13063,0,13063,0.801
77,2006,1214,4116,5330,1648,0,0,0,1648,83,813,0,289,0,1185,1249,9412,0,79,2930,5365,0,0,8374,-4644,3730,980,677,941,5651,15063,702,0,0,461,1163,301,0,301,0,0,0,913,2377,329,0,329,0.053,0,23,397,749,3126,1739,0,13394,-82,742,-3856,0,11937,0,11937,0.792
77,2007,1183,2534,3717,1774,0,0,0,1774,105,930,0,402,0,1437,926,7854,0,82,2890,4779,0,0,7751,-3801,3950,1098,792,1028,6076,13930,560,0,0,530,1090,43,0,43,0,0,0,945,2078,0,0,0,0.004,0,23,469,492,2570,1739,0,17529,-363,885,-8430,0,11360,0,11360,0.816
77,2008,1328,1596,2924,1742,0,0,0,1742,105,876,0,437,0,1418,834,6918,0,82,2895,4591,0,0,7568,-3959,3609,1180,838,960,5749,12667,657,0,0,604,1261,0,0,0,0,0,0,764,2025,0,0,0,0,0,49,618,667,2692,1740,0,19788,-324,931,-12160,0,9975,0,9975,0.787
