enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
79,1994,838.522,802.125,1640.646,4345.193,0,0,1237.485,5582.678,2176.796,0,0,2651.352,0.001,4828.149,391.96,12443.436,0,0,0,0,0,10690.8,10690.8,0,10690.8,0,0,300.972,10991.772,23435.208,3821.642,702.734,2122.203,0,6646.579,1859.026,0,1859.026,0,0,0,1539.855,10045.46,2062.007,0,2062.007,0.607,0,0,4396.989,6458.996,16504.456,132,128.788,6006.838,0,130.188,0,56.982,6454.796,347.168,6801.964,0.275
79,1995,1299.126,704.086,2003.211,4519.342,0,0,1218.351,5737.693,2345.157,0,0,2695.181,0.001,5040.339,409.26,13190.502,0,0,0,0,0,10982.661,10982.661,0,10982.661,0,0,255.785,11238.446,24428.948,4021.231,274.634,2148.606,0,6444.471,1596.645,0,1596.645,0,0,0,1611.455,9652.571,2779.995,0,2779.995,0.636,0,0,4598.77,7378.765,17031.336,127,131.932,6603.328,0,146.74,0,-131.038,6877.962,387.718,7265.68,0.282
79,1996,1411.284,483.578,1894.862,4231.306,0,0,1382.015,5613.321,2466.247,0,0,2995.638,0,5461.885,398.32,13368.383,0,0,0,13190.224,0,5375.349,18565.573,-7480.187,11085.386,0,0,184.525,11269.911,24638.294,4014.969,296.51,2171.01,0,6482.489,1508,0,1508,0,0,0,1571.627,9562.116,2792.026,0,2792.026,0.613,0,0,4674.163,7466.189,17028.305,120,136.166,6778.999,0,145.073,0,-163.269,7016.969,456.854,7473.824,0.285
79,1997,1907.727,544.857,2452.584,4514.324,0,0,1715.937,6230.261,2408.996,0,0,3266.238,-0.001,5675.233,419.9,14777.981,0,0,0,14066.035,0,5495.066,19561.101,-8033.375,11527.727,0,0,193.242,11720.969,26498.95,4097.326,371.956,2316.007,0,6785.289,1791.491,0,1791.491,0,0,0,1758.072,10334.852,3120.942,0,3120.942,0.664,0,0,5017.045,8137.987,18472.839,137,130.766,7196.474,0,161.278,0,-228.536,7396.982,498.363,7895.344,0.279
79,1998,9254.095,0,9254.095,0,0,0,5456.748,5456.748,0,0,0,0,4917.533,4917.533,0,19628.376,0,0,0,0,0,17013.23,17013.23,-7358.733,9654.497,0,0,1817.604,11472.101,31100.477,8785.918,0,0,0,8785.918,1487.375,0,1487.375,0,0,0,0,10273.293,2732.166,0,2732.166,0.36,0,0,5882.686,8614.852,18888.145,0,125.564,4089.753,0,0,0,7504.648,11719.965,492.367,12212.333,0.377
79,1999,5722.996,5179.346,10902.343,0,0,0,7075.278,7075.278,0,0,0,0,4984.505,4984.505,0,22962.125,0,0,0,0,0,15500.044,15500.044,-6901.954,8598.09,298.296,0,154.325,9050.711,32012.836,3663.196,0,0,0,3663.196,2441.021,0,2441.021,0,0,0,12771.082,18875.299,2393.391,0,2393.391,0.97,0,0,5329.89,7723.281,26598.58,664,0,4851.069,0,164.41,0,-693.624,4985.855,428.401,5414.256,0.156
79,2000,4037.839,1492.245,5530.084,4258.913,0,0,3109.656,7368.569,2118.078,0,0,3059.265,-0.001,5177.342,396.63,18472.627,0,0,0,11960.717,0,4371.075,16331.792,-7417.335,8914.457,650.215,0,143.048,9707.72,28180.347,4096.359,643.714,2436.682,0,7176.755,2966.609,0,2966.609,0,0,0,2118.078,12261.442,1872.621,0,1872.621,0.628,0,0,5617.863,7490.484,19751.926,153,131.668,6611.068,0,1563.768,0,-747.946,7711.558,585.194,8296.752,0.274
79,2001,2347.709,592.992,2940.701,0,0,0,6517.52,6517.52,0,0,0,0,4870.62,4870.62,1496.86,15825.696,0,0,0,0,0,8840.072,8840.072,0,8840.072,23779.874,0,3342.318,35962.264,51787.96,10502.246,0,0,0,10502.246,14982.031,0,14982.031,0,0,0,0,25484.277,0,0,0,2.041,3970.35,0,14438.455,18408.805,43893.082,577,0,6420.485,0,1390.836,0,-1048.698,7339.623,555.256,7894.879,0.142
79,2002,1659.537,391.266,2050.802,0,0,0,6403.743,6403.743,0,0,0,0,4762.032,4762.032,0,13216.578,0,0,0,0,0,8235.294,8235.294,0,8235.294,22368.093,0,3380.57,33983.957,47200.535,10635.472,0,0,0,10635.472,10052.585,0,10052.585,0,0,0,0,20688.057,0,0,0,1.568,4101.604,0,15406.417,19508.021,40196.078,572,0,5899.287,0,1382.353,0,-1440.984,6412.656,591.8,7004.456,0.136
79,2003,2297.425,1251.198,3548.623,4195.593,0,0,1442.57,5638.163,1754.398,0,0,2836.567,-0.001,4590.964,2759.83,16537.575,0,3928.452,0,11680.439,0,-0.972,15607.919,-8021.073,7586.846,20685.569,0,692.628,28965.043,45502.618,4503.536,0,0,0,4503.536,9703.585,0,9703.585,0,0,0,6812.619,21019.74,11154.898,0,11154.898,3.484,0,0,6699.932,17854.83,38874.57,523,133.086,5894.62,0,1572.74,0,-2136.541,5986.905,641.142,6628.047,0.132
79,2004,2276.61,1830.273,4106.883,4310.03,0,0,1452.303,5762.333,1839.063,0,0,3287.46,0,5126.523,1459.14,16454.879,0,4157.67,0,12792.38,0,0,16950.05,-8778.28,8171.77,21749.39,16523.247,244.168,30165.328,46620.207,4551.267,0,0,0,4551.267,9127.926,0,9127.926,0,0,0,7284.957,20964.15,10394.663,0,10394.663,2.686,0,0,7451.967,17846.63,38810.78,629,159.197,7600.419,0,1879.107,0,-2998.393,7269.33,540.097,7809.427,0.156
79,2005,2129.977,1356.698,3486.676,5533.588,0,0,0,5533.588,1859.032,0,0,3172.221,0.002,5031.255,0,14051.519,0,2667.91,0,5610.718,0,9510.733,17789.361,-9509.744,8279.618,22781.062,16185.456,4258.963,35319.643,49371.162,10064.487,0,0,0,10064.487,6905.119,0,6905.119,0,0,0,2032.082,19001.688,9232.866,0,9232.866,1.659,0,0,10917.862,20150.728,39152.416,0,174.038,10243.468,0,2735.151,-3516.34,93.939,9730.256,488.491,10218.747,0.197
79,2006,1813.76,397.39,2211.151,0,0,0,5729.537,5729.537,0,0,0,0,4871.886,4871.886,404.51,13217.082,0,0,0,0,0,7701.068,7701.068,0,7701.068,21417.556,15377.224,4520.759,33639.383,46856.465,9760.38,657.177,-0.001,0,10417.556,7048.636,0,7048.636,0,0,0,794.781,18260.973,7659.549,0,7659.549,1.483,7849.348,0,2689.205,18198.102,36459.075,607,0,11880.19,0,192.171,0,-2761.212,9918.149,479.241,10397.39,0.212
