enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
82,1999,1240,389,1629,2713,0,0,0,2713,0,0,0,0,380,380,703,5425,0,0,0,0,0,19554,19554,-8170,11384,0,0,258,11642,17067,1322,0,247,1092,2661,410,0,410,0,0,0,646,3717,2191,0,2191,0.363,0,3017,969,6177,9894,11,0,7325,-63,325,-425,0,7173,0,7173,0.42
82,2000,4204,0,4204,3167,0,0,0,3167,0,0,0,0,0,0,2821,10192,0,0,0,0,0,20470,20470,-8891,11579,0,0,1257,12836,23028,1295,0,361,998,2654,512,0,512,0,0,0,1032,4198,1912,0,1912,0.194,0,3454,990,6356,10554,12,0,7536,-170,5096,0,0,12474,0,12474,0.542
82,2001,879,1073,1952,4140,0,0,0,4140,0,0,0,0,0,0,1032,7124,0,649,3618,4902,918,11907,21994,-9665,12329,0,0,2209,14538,21662,1674,0,0,0,1674,623,0,623,0,0,0,2204,4501,2981,0,2981,0.37,0,3396,1049,7426,11927,11,0,9684,0,267,0,-227,9735,0,9735,0.449
82,2002,858,758,1616,4786,0,0,0,4786,0,0,0,0,0,0,1195,7597,0,2739,1772,18786,761,0,24058,-10620,13438,0,0,3601,17039,24636,1899,0,0,0,1899,518,0,518,0,0,0,2369,4786,4648,0,4648,0.504,0,3824,1130,9602,14388,11,0,10162,0,414,-47,-292,10248,0,10248,0.416
82,2003,2211,803,3014,3756,0,0,868,4624,0,0,0,0,0,0,1100,8738,0,704,2049,22073,535,0,25361,-11749,13612,1180,0,2827,17619,26357,1908,0,0,0,1908,1107,0,1107,0,0,0,2540,5555,3495,0,3495,0.369,0,3601,1251,8347,13902,11,0,12495,0,387,-84,-354,12455,0,12455,0.473
82,2004,1064,2888,3952,4004,0,0,840,4844,0,0,0,0,0,0,1163,9959,0,721,4302,21212,680,-610,26305,-13007,13298,1883,0,4594,19775,29734,2003,0,282,1166,3451,674,0,674,0,0,0,1499,5624,3149,0,3149,0.257,0,4055,2054,9258,14882,11,0,14356,-177,662,-136,136,14852,0,14852,0.499
82,2005,739,4458,5197,5156,0,0,524,5680,0,0,0,0,0,0,1728,12605,0,760,4511,21668,539,0,27478,-13505,13973,1924,0,4524,20421,33026,2266,0,315,1197,3778,1187,0,1187,0,0,0,1518,6483,3261,0,3261,0.271,0,5382,1516,10159,16642,11,0,16192,-236,417,-169,169,16384,0,16384,0.496
82,2006,1369,1672,3041,5743,0,0,411,6154,0,0,0,0,0,0,1533,10728,0,0,0,0,0,15289,15289,0,15289,3233,2549,5697,24219,34947,1806,180,364,1283,3633,821,0,821,0,0,0,2064,6518,3159,0,3159,0.236,0,3425,4961,11545,18063,11,0,17037,-164,0,-161,161,16884,0,16884,0.483
82,2007,794,1189,1983,5794,0,426,65,6285,0,0,0,0,0,0,1109,9377,0,1026,2667,6903,715,20770,32081,-15302,16779,3221,2533,3833,23833,33210,1841,0,400,1303,3544,983,0,983,0,0,0,2192,6719,3133,0,3133,0.266,2748,2529,2599,11009,17728,11,0,17676,-2205,0,-147,147,15482,0,15482,0.466
82,2008,2027,577,2604,6084,0,468,1256,7808,0,0,0,0,0,0,1348,11760,0,1056,5441,7236,889,18989,33611,-15948,17663,3205,2577,6414,27282,39042,1819,0,440,1414,3673,3512,0,3512,0,0,0,2655,9840,7506,0,7506,0.904,4438,2620,2455,17019,26859,10,0,14186,-2013,0,-137,137,12183,0,12183,0.312
