enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
83,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0
83,2006,270.124,660.451,930.575,216.585,0,0,41.45,258.035,0,0,0,0,0,0,405.32,1593.931,701.643,0,0,603.281,20.375,88.358,712.014,-431.115,280.899,0,0,387.445,1369.987,2963.918,119.075,9.576,88.767,563.209,780.627,32.339,0,32.339,184.85,0,184.85,395.147,1392.963,41.28,0,41.28,0.126,0,3.32,943.541,988.141,2381.104,0,0,583.772,-0.958,0,0,0,582.814,0,582.814,0.197
83,2007,275,747,1022,245,0,0,10,255,0,0,0,0,0,0,1230,2507,968,30,89,619,45,0,783,-470,313,0,0,602,1883,4390,99,147,50,2436,2732,41,0,41,9,0,9,500,3282,0,0,0,-0.082,80,0,1491,1571,4853,0,0,-501,0,0,0,0,-501,38,-463,-0.114
83,2008,4979,355,5334,342,0,0,1131,1473,0,0,0,0,0,0,4367,11174,836,71,369,519,266,531,1756,-676,1080,21096,10213,795,23807,34981,159,122,1095,2967,4343,51,0,51,37,0,37,2734,7165,55,0,55,0.005,99,3811,1574,5539,12704,1136,0,186,-70,21060,-35,0,22277,0,22277,0.637
83,2009,4617,115,4732,444,0,0,605,1049,0,0,0,0,0,0,3460,9241,270,71,629,1286,43,0,2029,-825,1204,21091,10208,475,23040,32281,156,23,634,2086,2899,12,0,12,39,0,39,1492,4442,44,0,44,0.002,119,3807,676,4646,9088,0,0,2219,-188,21160,-2,0,23189,4,23193,0.718
83,2010,3867,184,4051,476,0,0,402,878,0,0,0,0,0,0,3805,8734,138,71,648,1595,75,0,2389,-1032,1357,22925,11447,254,24674,33408,137,40,406,789,1372,12,0,12,42,0,42,2072,3498,32,0,32,0.002,76,4181,607,4896,8394,0,0,4368,-151,20794,0,0,25011,3,25014,0.749
83,2011,2127,1271,3398,560,0,0,524,1084,0,0,0,0,0,0,4708,9190,811,71,719,1870,89,0,2749,-1208,1541,23104,11668,114,25570,34760,169,63,449,636,1317,0,0,0,63,0,63,2071,3451,0,0,0,0,106,4205,561,4872,8323,0,0,6706,-176,19907,0,0,26437,0,26437,0.761
83,2012,2074,743,2817,723,0,0,633,1356,0,0,0,0,0,0,7613,11786,3369,71,751,2190,69,0,3081,-1447,1634,23101,11681,123,28227,40013,152,58,719,4602,5531,0,0,0,59,0,59,2364,7954,0,0,0,0,93,4058,278,4429,12383,0,0,7809,-171,19992,0,0,27630,0,27630,0.691
83,2013,2186,2069,4255,761,0,0,941,1702,0,0,0,0,0,0,1865,7822,2790,71,766,2528,74,0,3439,-1707,1732,23032,11681,580,28134,35956,184,64,1225,214,1687,0,0,0,60,0,60,2588,4335,0,0,0,0,86,4149,516,4751,9086,0,0,7974,21,18875,0,0,26870,0,26870,0.747
83,2014,1971,1979,3950,822,0,0,877,1699,0,0,0,0,0,0,3913,9562,3050,71,787,2981,76,0,3915,-2023,1892,23164,11753,901,29007,38569,147,73,1332,1666,3218,0,0,0,82,0,82,2706,6006,0,0,0,0,92,4145,913,5150,11156,0,0,9131,-17,18299,0,0,27413,0,27413,0.711
