enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
86,1994,20,0,20,690,0,0,0,690,0,0,-469,0,11483,11014,390,12114,0,2741,6818,4241,0,2059,15859,-2683,13176,0,0,1151,14327,26441,4104,183,0,1473,5760,1595,51,1646,0,0,0,0,7406,6156,1804,7960,0.893,0,322,0,8282,15688,230,0,9987,0,536,0,0,10753,0,10753,0.407
86,1995,45,0,45,900,0,0,0,900,0,0,-351,0,14415,14064,329,15338,0,3036,8973,5081,0,2147,19237,-3363,15874,0,0,1607,17481,32819,5907,365,0,1819,8091,1818,64,1882,0,0,0,0,9973,7871,1838,9709,0.911,0,411,0,10120,20093,230,0,12213,-256,539,0,0,12726,0,12726,0.388
86,1996,83,0,83,853,0,0,0,853,0,0,-311,0,16300,15989,406,17331,0,3559,11290,6001,0,2476,23326,-4432,18894,0,0,1316,20210,37541,6442,123,0,2091,8656,2729,69,2798,0,0,0,0,11454,8508,2092,10600,0.908,0,400,331,11331,22785,229,0,14394,-412,545,0,0,14756,0,14756,0.393
86,1997,883,0,883,845,0,0,0,845,0,0,-296,0,16193,15897,368,17993,0,3689,12724,6769,0,2782,25964,-5640,20324,0,0,1287,21611,39604,7628,298,0,2413,10339,523,95,618,0,0,0,0,10957,7709,2307,10016,0.62,0,463,1025,11504,22461,228,0,16768,-400,547,0,0,17143,0,17143,0.433
86,1998,1447,0,1447,976,0,0,0,976,0,0,-348,0,16845,16497,432,19352,0,4691,14646,8039,0,3040,30416,-6810,23606,0,0,2426,26032,45384,9126,565,0,3628,13319,1039,102,1141,0,0,0,0,14460,7191,2483,9674,0.584,0,809,1938,12421,26881,224,0,18167,-473,585,0,0,18503,0,18503,0.408
86,1999,1879,0,1879,1118,0,0,0,1118,0,0,-473,0,17549,17076,1059,21132,0,5219,16061,9849,0,3335,34464,-8491,25973,2538,0,353,28864,49996,10257,501,0,4998,15756,900,106,1006,0,0,0,0,16762,6908,2699,9607,0.503,0,716,1799,12122,28884,445,0,20741,-509,435,0,0,21112,0,21112,0.422
86,2000,1856,0,1856,1341,0,0,0,1341,0,0,-378,0,20171,19793,1366,24356,0,8785,21169,11109,0,4285,45348,-9379,35969,9392,0,632,45993,70349,13105,1129,0,6161,20395,5287,121,5408,0,0,0,0,25803,13672,3002,16674,0.855,0,759,1279,18712,44515,446,0,25129,-455,714,0,0,25834,0,25834,0.367
86,2001,2054,0,2054,1768,0,0,0,1768,0,0,-202,0,21644,21442,1291,26555,0,9433,24537,13843,0,4620,52433,-11499,40934,9059,0,1582,51575,78130,15092,841,0,6355,22288,6520,141,6661,0,0,0,0,28949,12501,3154,15655,0.712,0,1043,1140,17838,46787,447,0,30169,-684,1411,0,0,31343,0,31343,0.401
86,2002,2161,0,2161,2000,0,0,0,2000,0,0,-135,0,22749,22614,1103,27878,0,10241,28527,15224,0,4626,58618,-12868,45750,8566,8566,1333,55649,83527,15617,1343,0,7174,24134,3000,148,3148,0,0,0,0,27282,15687,3045,18732,0.623,0,1204,1207,21143,48425,445,0,34441,-1268,1484,0,0,35102,0,35102,0.42
86,2003,2736,0,2736,1569,0,0,0,1569,0,0,0,0,24401,24401,2016,30722,0,11202,33345,16739,0,4814,66100,-14726,51374,9389,9389,3323,64086,94808,16829,748,0,8857,26434,5615,176,5791,0,0,0,294,32519,16597,3000,19597,0.643,0,1859,1372,22828,55347,440,0,37576,-509,1954,0,0,39461,0,39461,0.416
86,2004,5199,0,5199,1254,0,0,0,1254,0,0,0,0,26612,26612,1356,34421,0,12699,40192,19203,0,4286,76380,-17357,59023,9882,9882,2079,70984,105405,19425,1377,0,10671,31473,6171,196,6367,0,0,0,0,37840,17102,2997,20099,0.607,0,2359,1484,23942,61782,431,0,40206,851,2135,0,0,43623,0,43623,0.414
86,2005,5488,0,5488,1715,0,0,0,1715,0,0,0,0,29762,29762,1889,38854,0,14472,46574,22991,0,4556,88593,-20475,68118,10803,10803,2379,81300,120154,21987,1281,0,12120,35388,7571,223,7794,0,0,0,0,43182,20087,3171,23258,0.629,0,2978,1340,27576,70758,423,0,43854,2694,2425,0,0,49396,0,49396,0.411
86,2006,6193,0,6193,2575,0,0,0,2575,0,0,0,0,31910,31910,3147,43825,0,16174,55206,24157,0,5392,100929,-23064,77865,12097,12097,4400,94362,138187,25101,1340,0,13274,39715,8349,284,8633,0,0,0,477,48825,26429,3667,30096,0.728,0,4501,1594,36191,85016,417,0,49105,1053,2596,0,0,53171,0,53171,0.385
86,2007,7767,0,7767,2840,0,0,0,2840,0,0,0,0,33685,33685,2690,46982,0,18612,64052,27134,0,5392,115190,-26750,88440,13759,13759,2406,104605,151587,28484,706,0,14675,43865,7998,285,8283,0,0,0,0,52148,27222,3513,30735,0.634,0,4971,2160,37866,90014,413,0,55818,2508,2834,0,0,61573,0,61573,0.406
86,2008,5492,0,5492,3642,0,0,0,3642,0,0,0,0,35159,35159,3727,48020,0,19879,72141,30236,0,5736,127992,-31125,96867,15879,15879,2748,115494,163514,30344,1000,0,15725,47069,10953,316,11269,0,0,0,140,58478,29799,3603,33402,0.691,0,5087,1939,40428,98906,397,0,57319,3864,3028,0,0,64608,0,64608,0.395
86,2009,7275,0,7275,3905,0,0,0,3905,0,0,0,0,34511,34511,3258,48949,0,19852,73810,32158,0,5341,131161,-35508,95653,15260,15260,3567,114480,163429,28849,677,0,18112,47638,7354,315,7669,0,0,0,83,55390,31349,3200,34549,0.647,0,6014,0,40563,95953,393,0,63660,-2688,3920,0,0,65285,2191,67476,0.399
86,2010,7907,0,7907,4144,0,0,0,4144,0,0,0,0,32713,32713,3268,48032,0,22591,73657,36390,5210,5669,143517,-41210,102307,16126,16126,3942,122375,170407,30451,1347,0,18734,50532,4573,346,4919,0,0,0,92,55543,33231,3170,36401,0.586,0,5508,0,41909,97452,378,0,66357,-70,3803,0,0,70468,2487,72955,0.414
86,2011,7395,0,7395,5089,0,0,0,5089,0,0,0,0,36437,36437,3091,52012,0,24386,79051,40885,4262,5905,154489,-46611,107878,16763,16763,4129,128770,180782,33676,157,0,18701,52534,5686,336,6022,0,0,0,47,58603,40692,3150,43842,0.727,0,6682,0,50524,109127,352,0,63967,646,3577,0,0,68542,3113,71655,0.379
86,2012,6550,0,6550,5937,0,0,0,5937,0,0,0,0,40714,40714,1774,54975,0,23499,84275,41916,5312,5936,160938,-48614,112324,20651,20651,5456,138431,193406,36608,3487,0,15857,55952,6022,326,6348,0,0,0,0,62300,44070,3009,47079,0.749,0,7862,0,54941,117241,342,0,68691,-1410,3692,0,0,71315,4850,76165,0.369
86,2013,7781,0,7781,6768,0,0,0,6768,0,0,0,0,43803,43803,1588,59940,0,25612,90686,43699,5828,5899,171724,-55043,116681,20497,20497,5987,143165,203105,38080,5062,0,15957,59099,12392,327,12719,0,0,0,0,71818,38394,3023,41417,0.709,0,7613,0,49030,120848,332,0,72978,-587,3620,0,0,76343,5914,82257,0.376
86,2014,7281,0,7281,6677,0,0,0,6677,0,0,0,0,44858,44858,2369,61185,0,26184,95488,45756,5661,5589,178678,-60771,117907,19510,19510,6149,143566,204751,37415,3520,0,16239,57174,11773,309,12082,0,0,0,89,69345,41771,2788,44559,0.743,0,8017,0,52576,121921,323,0,76566,-2996,2362,0,0,76255,6575,82830,0.372
86,2015,9135,0,9135,6778,0,0,0,6778,0,0,0,0,45141,45141,2224,63278,0,26261,97496,47851,5787,5239,182634,-65979,116655,18102,18102,5455,140212,203490,38410,3613,0,16560,58583,6383,287,6670,0,0,0,0,65253,40889,2606,43495,0.616,0,8805,0,52300,117553,323,0,85777,-7168,2462,0,0,81394,4543,85937,0.4
86,2016,8705,0,8705,5624,0,0,0,5624,0,0,0,0,44469,44469,1441,60239,0,25624,96845,49950,4539,11096,188054,-71538,116516,16695,16695,6131,139342,199581,38487,3065,0,17063,58615,5453,551,6004,0,0,0,0,64619,38214,5816,44030,0.621,0,7321,0,51351,115970,317,0,90021,-11597,1805,0,0,80546,3065,83611,0.404
86,2017,6867,0,6867,5835,0,0,0,5835,0,0,0,0,43046,43046,1941,57689,0,24801,98547,51843,4301,11637,191129,-76951,114178,17037,17037,9921,141136,198825,41433,3737,0,15982,61152,3355,565,3920,1856,0,1856,0,66928,36015,6003,42018,0.59,0,9344,0,51362,118290,305,0,89354,-14232,2371,0,0,77798,2737,80535,0.391
86,2018,6756,0,6756,5614,0,0,0,5614,0,0,0,0,43783,43783,3511,59664,0,25298,101155,55082,3619,12703,197857,-83039,114818,18242,18242,11798,144858,204522,46092,3718,0,17032,66842,8995,667,9662,2017,0,2017,0,78521,30045,6780,36825,0.597,0,8354,0,45179,123700,295,0,85107,-10181,2648,0,0,77869,2953,80822,0.381
86,2019,7722,0,7722,6283,0,0,0,6283,0,0,0,0,44269,44269,3623,61897,0,24526,101006,56804,3474,7078,192888,-81493,111395,31181,31181,14822,157398,219295,47060,3407,0,17248,67715,7101,729,7830,1932,0,1932,0,77477,43520,6683,50203,0.8,0,11981,0,62184,139661,288,0,80785,-11542,2965,0,0,72496,7138,79634,0.331
86,2020,9465,0,9465,6284,0,0,0,6284,0,0,0,0,44435,44435,1622,61806,0,24619,105674,60984,3751,21841,216869,-89820,127049,31073,31073,16567,174689,236495,46973,3319,0,17267,67559,5937,2304,8241,1990,0,1990,0,77790,43714,20478,64192,0.97,0,12961,0,77153,154943,284,0,83943,-12805,3247,0,0,74669,6883,81552,0.316
86,2021,17741,0,17741,6516,0,0,0,6516,0,0,0,0,44949,44949,20861,90067,0,19308,97582,58940,4741,17647,198218,-88370,109848,28983,28983,23598,162429,252496,49141,3570,0,19594,72305,3339,1957,5296,2310,0,2310,12734,92645,41194,16756,57950,0.782,0,14370,0,72320,164965,282,0,88763,-11766,3646,0,0,80925,6606,87531,0.321
86,2022,14760,0,14760,8280,0,0,0,8280,0,0,0,0,56511,56511,1519,81070,0,19204,100376,62545,7199,18109,207433,-94809,112624,29014,29014,22152,163790,244860,55261,4098,0,20254,79613,3213,1994,5207,2559,0,2559,0,87379,34864,17252,52116,0.689,0,13474,0,65590,152969,276,0,86904,-8766,4839,0,0,83253,8638,91891,0.34
86,2023,8625,0,8625,7933,0,0,0,7933,0,0,0,0,56576,56576,2521,75655,0,19317,104554,67697,10802,18474,220844,-101610,119234,28174,28174,20134,167542,243197,53742,4152,0,25213,83107,4563,2040,6603,2488,0,2488,0,92198,34649,17671,52320,0.768,0,14688,0,67008,159206,269,0,83135,-11680,4969,0,0,76693,7298,83991,0.315
