enterprise_id,years,cash_and_cash_equivalents,marketable_securities,"cash,_cash_equivalents,_marketable_securities",accounts_receivable,notes_receivable,loans_receivable,other_current_receivables,total_receivables,"inventories,_raw_materials_&_components","inventories,_work_in_process","inventories,_inventories_adjustments","inventories,_finished_goods","inventories,_other",total_inventories,other_current_assets,total_current_assets,investments_and_advances,land_and_improvements,buildings_and_improvements,"machinery,_furniture,_equipment",construction_in_progress,other_gross_ppe,"gross_property,_plant_and_equipment",accumulated_depreciation,"property,_plant_and_equipment",intangible_assets,goodwill,other_long_term_assets,total_long-term_assets,total_assets,accounts_payable,total_tax_payable,other_current_payables,current_accrued_expense,accounts_payable_&_accrued_expense,short-term_debt,short-term_capital_lease_obligation,short-term_debt_&_capital_lease_obligation,current_deferred_revenue,current_deferred_taxes_liabilities,deferred_tax_and_revenue,other_current_liabilities,total_current_liabilities,long-term_debt,long-term_capital_lease_obligation,long-term_debt_&_capital_lease_obligation,debt-to-equity,pension_and_retirement_benefit,noncurrent_deferred_liabilities,other_long-term_liabilities,total_long-term_liabilities,total_liabilities,common_stock,preferred_stock,retained_earnings,accumulated_other_comprehensive_income_(loss),additional_paid-in_capital,treasury_stock,other_stockholders_equity,total_stockholders_equity,minority_interest,total_equity,equity-to-asset
87,1994,983,0,983,0,0,0,6860,6860,0,0,0,0,5472,5472,1544,14859,0,0,0,0,0,111135,111135,-49173,61962,0,0,7324,69286,84145,12122,0,0,0,12122,4109,0,4109,0,0,0,2359,18590,8506,0,8506,0.363,0,10939,8923,28368,46958,0,668,49365,0,0,0,-15241,34792,2395,37187,0.413
87,1995,1157,0,1157,0,0,0,8073,8073,0,0,0,0,5541,5541,1689,16460,0,0,0,0,0,116326,116326,-52901,63425,0,0,7977,71402,87862,13391,0,0,0,13391,3858,0,3858,0,0,0,2244,19493,8831,0,8831,0.339,0,11435,8520,28786,48279,0,554,50821,0,0,0,-13960,37415,2168,39583,0.426
87,1996,1508,0,1508,0,0,0,8925,8925,0,0,0,0,5681,5681,1204,17318,0,0,0,0,0,122337,122337,-56891,65446,0,0,8532,73978,91296,14113,0,0,0,14113,2247,0,2247,0,0,0,2376,18736,7778,0,7778,0.248,0,12431,9745,29954,48690,0,454,53539,0,0,0,-13557,40436,2170,42606,0.443
87,1997,2951,0,2951,0,0,0,10499,10499,0,0,0,0,5285,5285,1175,19910,0,0,0,0,0,126366,126366,-59759,66607,0,0,9010,75617,95527,14510,0,0,0,14510,2510,0,2510,0,0,0,2485,19505,7236,0,7236,0.224,0,13475,9855,30566,50071,0,303,57156,0,0,0,-13917,43542,1914,45456,0.456
87,1998,4047,0,4047,10702,0,0,0,10702,0,0,0,0,5487,5487,956,21192,0,0,0,0,0,127778,127778,-61364,66414,0,0,8458,74872,96064,14683,0,0,0,14683,2902,0,2902,0,0,0,2069,19654,7050,0,7050,0.228,0,13452,9877,30379,50033,0,190,52214,0,0,0,-8744,43660,2371,46031,0.454
87,1999,2386,50,2436,15829,0,0,0,15829,0,0,0,0,8692,8692,1637,28594,0,0,0,0,0,182467,182467,-89884,92583,0,0,18158,110741,139335,10915,0,0,0,10915,8484,0,8484,0,0,0,14382,33781,8532,0,8532,0.274,0,16749,14526,39807,73588,4870,746,75109,-2774,0,-15831,0,62120,3627,65747,0.446
87,2000,1688,73,1761,19155,0,0,0,19155,1122,0,0,0,7370,8492,1733,31141,0,0,0,0,0,189212,189212,-95169,94043,0,0,19337,113380,144521,13524,0,0,0,13524,10570,0,10570,0,0,0,14639,38733,8402,0,8402,0.299,0,16251,13981,38634,77367,0,0,75055,-2866,3403,-12126,0,63466,3688,67154,0.439
87,2001,7080,0,7080,22996,0,0,0,22996,1060,0,0,0,7244,8304,2019,40399,0,0,0,0,0,187746,187746,-97917,89829,0,0,18772,108601,149000,26755,0,0,0,26755,6161,0,6161,0,0,0,5275,38191,7280,0,7280,0.19,0,16442,13100,36822,75013,0,0,86652,-5424,3661,-14132,0,70757,3230,73987,0.475
87,2002,6547,0,6547,19549,0,0,0,19549,1161,0,0,0,6743,7904,1681,35681,0,0,0,0,0,187519,187519,-97917,89602,0,0,17891,107493,143174,22862,0,0,0,22862,3703,0,3703,0,0,0,3549,30114,7099,0,7099,0.148,0,16359,16441,39899,70013,0,0,95718,-6749,3789,-19597,0,73161,0,73161,0.511
87,2003,7229,0,7229,21163,0,0,0,21163,1241,0,0,0,6827,8068,1831,38291,0,0,0,0,0,204960,204960,-110020,94940,0,0,19413,114353,152644,13792,0,0,4628,18420,4093,0,4093,0,0,0,10662,33175,6655,0,6655,0.144,0,16484,18965,42104,75279,0,0,100961,-6504,4217,-24077,0,74597,2768,77365,0.489
87,2004,10626,0,10626,24309,0,0,0,24309,1292,0,0,0,7665,8957,2068,45960,0,0,0,0,0,229315,229315,-124350,104965,0,0,23353,128318,174278,28445,0,0,0,28445,4789,0,4789,0,0,0,5152,38386,4756,0,4756,0.106,0,20118,17721,42595,80981,0,0,115956,-1148,4468,-29361,0,89915,3382,93297,0.516
87,2005,18531,0,18531,25359,0,0,0,25359,1351,0,0,0,8136,9487,7000,60377,0,0,0,0,0,242422,242422,-133783,108639,0,0,26240,134879,195256,31763,0,0,0,31763,3280,0,3280,0,0,0,7938,42981,5013,0,5013,0.081,0,21092,20462,46567,89548,0,0,134390,513,5067,-38214,0,101756,3952,105708,0.521
87,2006,28671,0,28671,27484,0,0,0,27484,1469,0,0,7852,0,9321,7866,73342,0,0,0,0,0,240294,240294,-133284,107010,0,0,27983,134993,208335,36120,0,0,0,36120,1771,0,1771,0,0,0,8416,46307,6220,0,6220,0.072,0,20878,23744,50842,97149,0,0,163335,-1279,4477,-55347,0,111186,0,111186,0.534
87,2007,28244,0,28244,25076,0,0,3866,28942,1735,0,0,8979,0,10714,7877,75777,0,0,0,0,0,259284,259284,-145597,113687,0,0,29551,143238,219015,25084,0,0,6052,31136,1702,0,1702,0,0,0,15979,48817,6425,220,6645,0.073,0,20851,28858,56354,105171,0,0,195207,-2762,4786,-83387,0,113844,0,113844,0.52
87,2008,33981,519,34500,30775,0,0,5675,36450,2226,0,0,0,8863,11089,3924,85963,0,0,0,0,0,280340,280340,-159471,120869,0,0,35250,156119,242082,29239,17139,9551,0,55929,2383,0,2383,0,0,0,0,58312,7183,0,7183,0.079,0,22899,27644,57726,116038,0,0,228518,1989,4933,-113678,0,121762,4282,126044,0.503
87,2009,31437,570,32007,0,0,0,24702,24702,2315,0,0,9331,0,11646,3911,72266,28556,0,0,0,0,270845,270845,-149499,121346,5884,0,0,155786,228052,21190,15923,9587,0,46700,2400,0,2400,0,0,0,0,49100,7025,0,7025,0.083,20729,19726,13949,61429,110529,0,0,265680,-9931,5314,-148098,0,112965,4558,117523,0.495
87,2010,10693,169,10862,0,0,0,27645,27645,2835,0,0,8718,0,11553,5175,55235,31665,0,0,0,0,305906,305906,-166790,139116,0,0,7307,178088,233323,24236,14231,11118,0,49585,2476,0,2476,0,0,0,0,52061,7129,0,7129,0.087,17942,23148,17651,65870,117931,0,0,276937,-5461,5503,-166410,0,110569,4823,115392,0.474
87,2011,7825,0,7825,32284,0,0,0,32284,3124,0,0,9852,0,12976,5899,58984,35338,0,0,0,0,373938,373938,-174390,199548,0,0,8640,243526,302510,30780,16590,12476,0,59846,2255,0,2787,0,0,0,0,62633,12227,0,12227,0.102,19367,35150,20454,87198,149831,0,0,298899,-4823,9371,-156608,0,146839,5840,152679,0.485
87,2012,12664,0,12664,30044,0,0,8598,38642,3359,0,0,11665,0,15024,6633,72963,34333,0,0,0,0,393995,393995,-179331,214664,0,0,9092,258089,331052,33969,19850,15975,0,69794,7711,0,7711,0,0,0,0,77505,9062,260,9322,0.11,24994,36618,21869,92803,170308,9512,0,330939,-9123,0,-176932,0,154396,6348,160744,0.466
87,2013,9582,0,9582,28373,0,0,6614,34987,3706,0,0,10836,0,14542,5349,64460,34718,0,0,0,0,226949,226949,0,226949,0,0,7668,269335,333795,33789,13888,12809,0,60486,3653,0,3653,0,0,0,0,64139,7497,431,7928,0.07,25267,37570,27231,97996,162135,9653,0,365727,-12184,0,-197333,0,165863,5797,171660,0.497
87,2014,4644,0,4644,25993,0,0,7159,33152,4018,0,0,12117,0,16135,5377,59308,36328,0,0,0,0,243650,243650,0,243650,0,0,7522,287500,346808,30920,11714,13282,0,55916,15808,0,15808,0,0,0,0,71724,6516,375,6891,0.13,20646,40530,26522,94589,166313,10077,0,387432,-10725,0,-212781,0,174003,6492,180495,0.502
87,2015,4616,0,4616,18541,0,0,9468,28009,4294,0,0,12384,0,16678,3607,52910,35239,0,0,0,0,252668,252668,0,252668,0,0,8676,296583,349493,25286,8228,13651,0,47165,17468,0,17468,0,0,0,0,64633,11278,375,11653,0.167,25802,39230,27111,103796,168429,10792,0,408384,-18957,0,-225820,0,174399,6665,181064,0.499
87,2016,3705,0,3705,13243,0,0,6632,19875,4208,0,0,12037,0,16245,2798,42623,34245,0,0,0,0,251605,251605,0,251605,0,0,8285,294135,336758,18074,5739,11401,0,35214,18762,0,18762,0,0,0,0,53976,18687,1238,19925,0.226,22647,36818,26582,105972,159948,11612,0,412444,-23511,0,-229734,0,170811,5999,176810,0.507
87,2017,3657,0,3657,16033,0,0,5361,21394,4203,0,0,10877,0,15080,1285,41416,35102,0,0,0,0,244224,244224,0,244224,0,0,9572,288898,330314,17801,5268,10739,0,33808,13830,0,13830,0,0,0,0,47638,27707,1225,28932,0.256,20680,34041,25193,108846,156484,12157,0,407831,-22239,0,-230424,0,167325,6505,173830,0.507
87,2018,3177,0,3177,21274,0,0,4323,25597,4121,0,0,12871,0,16992,1368,47134,39160,0,0,0,0,252630,252630,0,252630,0,0,9767,301557,348691,21701,6356,11784,0,39841,17930,0,17930,0,0,0,0,57771,23079,1327,24406,0.226,21132,26893,23989,96420,154191,14656,0,414540,-16262,0,-225246,0,187688,6812,194500,0.538
87,2019,3042,0,3042,19638,0,0,5063,24701,4155,0,0,14803,0,18958,1272,47973,40790,0,0,0,0,247101,247101,0,247101,0,0,10332,298223,346196,21063,5892,12925,0,39880,17258,0,17258,0,0,0,0,57138,19235,1303,20538,0.197,20272,27244,22476,90530,147668,15258,0,421653,-19564,0,-225553,0,191794,6734,198528,0.554
87,2020,3089,0,3089,21100,0,0,5866,26966,4518,0,0,14010,0,18528,1469,50052,43164,0,0,0,0,253018,253018,0,253018,0,0,16363,312545,362597,24694,4881,13836,0,43411,20578,0,20578,0,0,0,0,63989,24672,1670,26342,0.245,22304,25620,25404,99670,163659,15637,0,421341,-19493,0,-225835,0,191650,7288,198938,0.529
87,2021,4364,0,4364,16339,0,0,4242,20581,4681,0,0,14169,0,18850,1098,44893,43515,0,0,0,0,227553,227553,0,227553,0,0,16789,287857,332750,17499,4092,14314,0,35905,20458,0,20458,0,0,0,0,56363,45502,1680,47182,0.43,22415,18165,24495,112257,168620,15688,0,383943,-16705,0,-225776,0,157150,6980,164130,0.472
87,2022,6802,0,6802,26883,0,0,5500,32383,4261,0,0,14519,0,18780,1189,59154,31363,0,0,0,0,216552,216552,0,216552,0,0,31854,279769,338923,26623,5497,20247,0,52367,4276,0,4276,0,0,0,0,56643,41566,1862,43428,0.283,18430,20165,24574,106597,163240,15746,0,392059,-13764,0,-225464,0,168577,7106,175683,0.497
87,2023,29640,0,29640,32844,0,0,8905,41749,4001,0,0,20434,0,24435,1807,97631,34800,0,0,0,0,204692,204692,0,204692,0,0,31944,271436,369067,33169,9183,26059,0,68411,634,0,634,0,0,0,0,69045,37260,3299,40559,0.211,10045,22874,24071,97549,166594,15752,0,432860,-13270,0,-240293,0,195049,7424,202473,0.528
