enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
2,2010,4636.515,697.492,-322.193,165.347,450.263,210.324,0,503.741,0,156.72,0,0,-627.132,5367.336,-312.565,0,-170,0,-4.213,0.006,0,0,0.417,-486.355,0,0,0,0,-34.766,-34.766,0,0,-4846.385,-4881.151,0.207,0,-0.17,0.037,-312.565,5054.771
2,2011,4178,1184,-60,-73,-38,-695,0,-866,0,167,0,0,313,4976,-448,0,-2621,0,-93,1,0,0,-1870,-5031,0,0,0,0,0,0,0,0,0,65,0,0,10,10,-448,4528
2,2012,3433,1272,-498,-87,-206,1497,0,706,0,163,0,0,673,6247,-356,0,-273,0,-1943,1255,0,0,1870,553,0,0,0,21.086,-21.086,0,0,0,0,-6783,10,0,17,27,-356,5891
2,2013,5275,1150,223,-203,90,-731,0,-621,0,187,0,0,354,6345,-333,0,-688,0,-2550,1153,0,0,0,-2418,0,0,0,15586,0,15586,0,0,-13655,1931,27,16,5874,5901,-333,6012
2,2014,4128,897,681,-56,459,-426,0,658,0,212,0,0,372,6267,-491,0,-405,0,-930,2705,0,0,0,879,0,-320,0,0,-601,-601,-2555,0,34,-3442,5901,-10,3694,9595,-491,5776
2,2015,1774,786,-172,-203,-220,-193,0,-788,0,241,0,0,1536,3549,-612,0,-622,0,-1169,1477,0,0,0,-926,0,-665,0,12,-17,-5,-2661,0,38,-3293,9595,-577,-1247,8348,-612,2937
2,2016,5144,836,-1076,-434,511,1503,0,504,0,282,0,0,769,7535,-532,0,-12452,0,-851,899,0,0,0,-12936,0,-7586,0,20660,-4037,16623,-3294,0,9,5752,8348,-300,51,8399,-532,7003
2,2017,5953,1189,-71,-38,-393,-1187,0,-1689,0,353,39,0,1196,7041,-479,0,-2757,0,-5315,2359,0,0,118,-6074,0,-6033,0,11627,-6033,5594,-3717,0,228,-3928,8399,-338,-3299,5100,-479,6562
2,2018,5309,1501,-391,93,-118,425,0,9,1242,365,354,0,1180,9960,-529,0,-308,0,-2230,2793,0,0,0,-274,0,-1410,0,23,-25,-2,-4107,0,7,-5512,5100,29,4203,9303,-529,9431
2,2019,5687,1765,-591,-226,-200,734,674,391,-1093,421,5070,0,1186,13427,-638,0,-736,0,-1792,2160,0,0,0,-1006,0,-12014,0,9264,-6035,3229,-5580,0,-31,-14396,9303,-39,-2014,7289,-638,12789
2,2020,7882,2017,-74,-231,-225,97,-1018,-1451,122,430,1030,0,3294,13324,-552,0,-1135,0,-583,2699,0,0,167,596,0,-629,0,31482,-5235,26247,-6366,0,-544,18708,7289,7,32635,39924,-552,12772
2,2021,4622,6471,-929,-40,134,1514,-573,106,-2325,753,0,0,7961,17588,-798,0,-39610,0,-61,1525,0,0,1387,-37557,0,-978,0,3000,-5683,-2683,-7716,0,-124,-11501,39924,-5,-31475,8449,-798,16790
2,2022,11549,8521,-1321,-142,-197,1628,-1290,-1322,-898,692,50,0,4185,22777,-787,0,-1902,0,-119,98,0,0,366,-2344,0,-934,0,1000,-9414,-8414,-9261,0,-430,-19039,8449,-97,1297,9746,-787,21990
2,2023,11845,8467,-1455,-686,-264,1605,542,-258,-1931,671,770,0,5379,24943,-695,0,-794,0,-1438,1530,0,0,774,-623,0,-1487,0,2000,-14433,-12433,-10043,0,-840,-24803,9746,-62,-545,9201,-695,24248
