enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
4,2001,1057.403,414.072,-186.304,0,0,138.057,1001.634,953.387,-299.647,0,0,0,155.399,2280.614,-377.93,22.778,0,0,-326.086,427.561,0,0,-157,-410.677,1791.444,0,0,15.365,0,15.365,0,0,-2973.775,-1166.966,1270.516,-93.404,609.567,1880.083,-377.93,1902.684
4,2002,244.895,285.361,207.24,0,0,152.416,-395.218,-35.562,-138.74,54.73,0,0,679.626,1090.31,-262.831,68.309,-69.743,0,0,16.233,0,0,0,-248.032,123.644,-560.718,0,373.028,-503.853,-130.825,0,0,-873.784,-1441.683,1880.083,36.298,-563.107,1316.976,-262.831,827.479
4,2003,498.238,237.205,23.444,0,0,26.672,129.842,179.958,53.781,51.62,0,0,523.543,1544.345,-211.565,18.768,-19.833,0,0,103.79,0,0,0,-108.84,256.084,-560.414,0,118.984,-141.402,-22.418,0,0,-196.118,-522.866,1316.976,102.546,1015.185,2332.161,-211.565,1332.78
4,2004,690.828,257.08,-182.998,0,0,-65.486,444.263,195.779,92.864,60.49,0,0,458.908,1755.949,-281.986,11.026,-31.662,0,-1046.66,421.003,0,0,31.662,-896.617,2741.474,-3459.934,0,97.65,-119.549,-21.899,0,0,52.674,-687.685,2332.161,49.15,220.797,2552.958,-281.986,1473.963
4,2005,940.474,282.073,-653.251,0,0,270.499,432.935,50.183,63.139,0,0,0,551.212,1887.081,-317.772,6.318,0,0,-1019.317,944.484,0,0,-188.469,-574.756,298.707,-1625.097,0,0,-12.615,-12.615,0,0,-38.453,-1377.458,2552.958,-3.835,-68.968,2483.99,-317.772,1569.309
4,2006,973.329,320.61,309.684,0,0,48.157,526.951,884.792,-223.637,0,0,0,712.895,2667.989,-306.174,13.951,0,0,-401.181,657.629,0,0,-216.725,-252.5,436.918,-2087.027,0,0,-18.702,-18.702,-267.973,0,2.317,-1934.467,2483.99,101.976,582.998,3066.988,-306.174,2361.815
4,2007,1243.148,444.499,-7.476,0,0,107.533,152.233,252.29,-107.673,0,0,0,798.301,2630.565,-364.371,14.549,0,0,-693.733,885.463,0,0,-192.356,-350.448,488.25,-2307.947,0,0,-25.869,-25.869,-293.059,0,10.919,-2127.706,3066.988,94.997,247.408,3314.396,-364.371,2266.194
4,2008,1691.751,491.421,-762.241,0,0,622.82,-32.552,-171.973,-89.952,377.37,0,0,504.631,2803.248,-320.368,10.839,-298.11,1.798,-27.694,309.541,0,0,0,-323.994,440.967,-2261.234,0,125.057,-143.042,-17.985,-333.685,0,10.42,-2161.517,3314.396,-29.373,288.364,3602.76,-320.368,2482.88
4,2009,1938.146,498.591,982.062,0,0,-568.884,-411.76,1.418,-62.979,452.82,0,0,332.206,3160.202,-243.455,4.665,-29.487,2.163,-1.782,22.722,0,0,0,-245.174,404.71,-1855.384,0,51.97,-58.939,-6.969,-378.446,0,-14.214,-1850.303,3602.76,-125.823,938.902,4541.662,-243.455,2916.747
4,2010,2060.459,474.688,-377.233,0,0,314.449,89.564,26.78,58.729,425.82,0,0,45.144,3091.62,-238.215,3.792,-41.075,0,-13.528,15.261,0,0,0,-273.765,437.025,-2070.875,0,0.687,0,0.687,-824.148,0,28.285,-2429.026,4541.662,-92.199,296.63,4838.292,-238.215,2853.405
4,2011,2553.24,513.256,-620.481,0,0,692.049,-32.714,38.854,-196.395,450.14,0,0,82.644,3441.739,-403.714,6.755,-306.187,0,-11.173,10.932,0,0,0,-703.387,557.366,-2171.877,0,0,-1.608,-1.608,-643.642,0,138.257,-2121.504,4838.292,245.938,862.786,5701.078,-403.714,3038.025
4,2012,2824.933,593.545,-128.459,0,0,421.113,43.294,335.948,56.981,538.09,0,0,-92.645,4256.852,-371.974,5.977,-174.383,0,-7.554,12.549,0,0,0,-535.385,454.387,-2098.841,0,0.131,-6.399,-6.268,-950.857,0,42.724,-2558.855,5701.078,-223.164,939.448,6640.526,-371.974,3884.878
4,2013,3554.519,593.028,-309.694,0,0,-177.773,-401.071,-888.538,-209.674,615.88,0,0,-362.087,3303.128,-369.593,17.366,-803.988,0,0,0,0,0,0,-1156.215,515.812,-2544.352,0,0.088,-0.034,0.054,-1121.738,0,84.595,-3065.629,6640.526,-89.925,-1008.641,5631.885,-369.593,2933.535
4,2014,3175.958,620.743,-704.532,0,0,42.768,-332.996,-994.76,-74.092,671.3,0,0,86.936,3486.085,-321.87,5.526,-740.067,0,0,0,0,0,0,-1056.411,558.497,-2559.434,0,0.543,0,0.543,-1254.916,0,89.894,-3165.416,5631.885,25.162,-710.58,4921.305,-321.87,3164.215
4,2015,3273.789,645.923,-427.125,0,0,889.159,-253.309,208.725,-459.109,680.33,0,0,-173.495,4176.163,-395.017,5.784,-791.704,10.553,0,10.553,0,0,-10.553,-1170.384,554.149,-2452.989,0,0.701,0,0.701,-1353.471,0,-34.712,-3286.322,4921.305,-279.996,-560.539,4360.766,-395.017,3781.146
4,2016,4349.603,729.052,-370.068,0,0,299.674,-262.448,-332.842,65.94,758.18,0,0,-902.533,4667.4,-496.566,4.22,-932.542,814.538,0,0,0,0,0,-610.35,591.357,-2604.989,0,0,-1.059,-1.059,-1438.138,0,-36.389,-3489.218,4360.766,-22.989,544.843,4905.609,-496.566,4170.834
4,2017,3634.932,801.789,-73.322,0,0,71.708,-442.453,-444.067,-364.133,795.24,0,0,549.278,4973.039,-515.919,10.263,-1728.223,0,0,0,0,0,0,-2233.879,676.045,-2649.051,0,0,-2.12,-2.12,-1567.578,0,-17.531,-3560.235,4905.609,42.326,-778.749,4126.86,-515.919,4457.12
