enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
7,1994,228.8,175.1,-59.3,0,0,69.8,0,10.5,-27,0,0,0,68.8,456.2,-323.7,4.6,0,0,-715.5,566.8,0,0,0.1,-467.7,42.4,0,0,0,-12.2,-12.2,-10.4,0,0.1,19.9,52,0,8.4,60.4,-323.7,132.5
7,1995,305.266,215.984,-114.566,0,0,52.589,40.838,-21.139,0,0,0,0,73.062,573.173,-548.742,2.058,0,0,-1245.167,1416.431,0,0,-139.175,-514.595,39.565,0,0,0,-26.873,-26.873,-10.35,0,0,2.342,60.423,0,60.92,121.343,-548.742,24.431
7,1996,216.326,264.675,19.548,0,0,124.058,-46.228,97.378,-0.925,0,0,0,-32.387,545.067,-625.9,4.834,0,0,-1465.9,1398.602,0,0,-18.019,-706.383,101.804,-3.536,0,103.408,0,103.408,-0.01,0,0,201.666,85.966,0,40.35,126.316,-625.9,-80.833
7,1997,-68.95,332.64,28.096,0,0,-42.863,-110.058,-124.825,17.134,0,0,0,-82.762,73.237,-485.018,2.489,0,0,-633.476,840.492,0,0,0,-275.513,47.043,0,0,195.111,0,195.111,0,0,0,242.154,126.316,0,39.878,166.194,-485.018,-411.781
7,1998,-21.09,394.465,-184.966,0,0,156.333,61.209,32.576,-18.566,0,0,0,11.43,398.815,-685.1,43.596,0,0,-537.147,545.478,0,0,-0.128,-633.301,40.474,0,0,203.691,0,203.691,0,0,64.785,308.95,166.194,0,74.464,240.658,-685.1,-286.285
7,1999,-104,467.5,-86.7,-6.6,0,9.4,-39.6,-123.5,-106.9,0,0,0,8.7,141.8,-975.1,107,0,0,-1591.8,1482.9,0,0,0,-977,44.1,0,0,709.4,0,709.4,0,0,196.7,950.2,240.7,6.2,121.2,361.9,-975.1,-833.3
7,2000,-88.9,515.5,-44.5,-23.1,0,-5,195.1,122.5,160.7,0,0,0,-449.9,259.9,-619.8,458.3,0,0,-1579.8,1598.9,0,0,0,-142.4,43.8,0,0,0,-231.7,-231.7,0,0,14.4,-173.5,361.9,-11.8,-67.8,294.1,-619.8,-359.9
7,2001,983.026,579.07,-132.325,-156.284,79.293,57.479,29.675,-122.162,-19.076,0,0,0,-215.306,1205.552,-805.474,387.899,0,0,-4179.993,3781.766,0,0,0,-815.802,122.994,0,0,0,-239.227,-239.227,0,0,15.382,-100.851,294.125,8.433,297.332,591.457,-805.474,400.078
7,2002,-60.581,622.867,-122.174,-36.975,28.56,0,-297.535,-428.124,-36.052,0,0,0,69.535,167.645,-678.865,1.737,0,0,-4130.769,4376.732,0,0,-122.356,-553.521,36.706,-77.22,0,234.716,0,234.716,0,0,37.51,231.712,591.457,-10.005,-164.169,427.288,-678.865,-511.22
7,2003,-1303.012,756.169,259.505,-51.975,-0.795,66.931,-110.825,162.841,35.427,0,0,0,259.665,-88.91,-705.147,8.618,0,0,-4465.252,4333.901,0,0,-26.509,-854.389,29.179,0,0,802.534,0,802.534,0,0,75.727,907.44,427.288,37.319,1.46,428.748,-705.147,-794.057
7,2004,-274.49,995.663,-155.363,-77.426,70.247,32.345,-175.567,-305.764,2.971,0,0,0,-122.794,295.586,-570.316,29.939,0,0,-1029.884,1512.093,0,0,141.351,83.183,35.436,0,0,0,-93.583,-93.583,0,0,325.549,267.402,289.839,32.173,678.344,968.183,-570.316,-274.73
7,2005,91.156,1224.252,-162.465,-179.981,35.062,5.775,179.895,-121.714,-39.24,0,0,0,-67.933,1086.521,-1440.137,34.183,0,0,-377.087,227.257,0,0,0,-1555.784,123.677,0,0,0,-122.132,-122.132,0,0,411.255,412.8,968.183,6.657,-49.806,918.377,-1440.137,-353.616
7,2006,165.483,1219.344,-103.359,-27.78,8.382,526.638,-184.604,219.277,-21.806,0,0,0,-99.443,1482.855,-1513.173,9.679,0,0,-1720.757,1096.869,0,0,-142.2,-2269.582,189.349,0,0,0,-69.383,-69.383,0,0,374.223,494.189,918.377,7.228,-285.31,633.067,-1513.173,-30.318
7,2007,-166,686,-55,6,96,301,-176,172,-2,0,0,0,597,1287,-1857,23,0,0,-2119,3066,0,0,-3416,-4303,726,0,0,2827,0,2827,0,0,210,3763,633,0,747,1380,-1857,-570
7,2008,-3379,1138,503,4,-134,-329,-25,19,-16,0,0,0,1928,-310,-1685,73,0,0,-545,307,0,0,175,-1675,686,0,0,1358,0,1358,0,0,-7,2037,1380,0,52,1432,-1685,-1995
7,2009,-3096,1223,101,152,64,-676,-41,-400,82,83,1764,0,-348,-692,-624,343,0,127,-295,416,0,0,6,-27,0,0,0,308,-166,142,0,0,78,220,1432,0,-499,933,-624,-1316
7,2010,293,1128,-960,89,-17,-133,-18,-1039,130,75,3,0,-117,473,-466,58,0,0,-1486,617,0,0,4,-1273,127,0,1091,2329,-1852,477,0,0,-171,1524,933,0,724,1657,-466,7
7,2011,471,383,-1138,-144,-97,-127,11,-1495,-5,87,0,0,147,-412,-148,1,-904,0,-1800,1709,0,0,19,-1123,15,0,0,1520,-1074,446,0,0,23,484,1657,0,-1051,606,-148,-560
7,2012,491,317,-347,157,115,-176,-1,-252,-6,90,209,0,-467,382,-250,16,0,0,-1586,1726,0,0,-19,-113,18,0,0,170,-209,-39,0,0,15,-6,606,0,263,869,-250,132
7,2013,-1183,260,290,-83,-32,45,0,220,-40,97,0,0,308,-338,-133,0,-281,0,-944,1348,0,0,-9,-19,14,0,0,491,-489,2,0,0,21,37,869,0,-320,549,-133,-471
7,2014,-83,236,-200,-322,-103,177,0,-448,1,91,0,0,55,-148,-84,238,0,0,-1043,1344,0,0,0,455,3,0,0,55,-55,0,0,0,10,13,549,0,320,869,-84,-232
7,2015,-403,203,7,199,-120,-377,0,-291,0,81,233,0,79,-98,-95,0,0,0,-790,873,0,0,0,-12,0,0,0,75,-1115,-1040,0,0,1086,46,869,0,-64,805,-95,-193
7,2016,-660,167,280,-11,-27,-129,0,113,0,63,0,0,91,-226,-96,8,0,0,-227,462,0,0,0,147,5,0,0,100,-44,56,0,0,-2,59,805,0,-20,785,-96,-322
7,2017,-498,133,178,-48,-162,204,0,172,11,86,0,0,177,81,-77,0,0,342,0,0,0,0,12,277,667,0,0,0,-1343,-1343,0,0,798,122,786,0,480,1266,-77,4
7,2018,-33,144,-103,-3,-173,35,0,-244,0,97,0,0,48,12,-113,0,0,1,-222,222,0,0,58,-54,0,0,0,70,-110,-40,0,0,7,-33,1266,0,-75,1191,-113,-101
7,2019,337,170,-834,-151,-70,328,0,-727,-4,137,45,0,76,34,-163,0,0,0,-123,45,0,0,71,-170,0,-6,0,0,-41,-41,0,0,75,28,1191,0,-108,1083,-163,-129
7,2020,341,258,-609,-137,-176,380,0,-542,-7,197,0,0,246,493,-217,0,0,0,-284,325,0,0,27,-149,0,-6,0,0,-473,-473,0,0,522,43,1083,0,387,1470,-217,276
