enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
9,1997,-6.246,0.296,0,-0.554,-0.463,3.354,1.603,3.94,0,0,0,0,0,-2.01,-1.335,0,0,0,-5.233,0,0,0,0,-6.568,8.443,0,0,0,0,0,0,0,0.195,8.638,0.804,0,0.06,0.864,-1.335,-3.345
9,1998,-31.02,3.442,0,-8.4,-3.055,38.302,0,26.847,0,1.35,0,0,0.068,0.687,-7.603,0,0,0,-122.385,4.311,0,0,0,-125.677,53.358,0,0,75,-0.047,74.953,0,0,-2.309,126.002,0.864,0,1.012,1.876,-7.603,-6.916
9,1999,-124.546,52.02,0,-20.513,-16.758,109.739,0,72.468,0,2.39,1.561,0,27.142,31.035,-28.333,0,-19.019,0,-504.435,227.789,0,0,0,-323.998,8.383,0,0,325.987,-78.108,247.879,0,0,-1.8,254.462,110.119,-0.035,-38.536,71.583,-28.333,2.702
9,2000,-719.968,251.5,0,-172.069,-54.927,450.883,6.225,230.112,0,30.62,0,0,116.861,-90.875,-287.055,0,-369.607,0,-2359.398,2064.101,0,0,0,-951.959,0,0,0,1263.639,-188.886,1074.753,0,0,29.318,1104.071,71.583,0.489,61.726,133.309,-287.055,-377.93
9,2001,-1411.273,406.232,-8.585,46.083,-8.585,150.665,106.403,285.981,0,24.8,188.832,0,374.986,-130.442,-134.758,0,-62.533,0,-184.455,545.724,0,0,0,163.978,0,0,0,681.499,-16.927,664.572,0,0,28.575,693.147,133.309,-37.557,689.126,822.435,-134.758,-265.2
9,2002,-567.277,265.742,20.732,30.628,20.732,5.248,94.006,171.346,0,4.64,43.588,0,-37.821,-119.782,-50.321,0,-6.198,0,-567.152,370.377,0,0,0,-253.294,99.831,0,0,10,-19.575,-9.575,0,0,16.625,106.881,822.435,-15.958,-282.153,540.282,-50.321,-170.103
9,2003,-149.132,82.274,-31.704,-51.303,0,163.369,95.404,175.766,-0.553,68.93,12.577,0,-15.571,174.291,-39.163,0,0,0,-635.81,553.289,0,0,0,-121.684,0,0,0,0,-14.795,-14.795,0,0,121.689,106.894,540.282,38.471,197.972,738.254,-39.163,135.128
9,2004,35,76,2,-77,0,142,102,169,1,88,0,0,24,393,-46,0,0,5,-536,813,0,0,0,236,0,0,0,0,-495,-495,0,0,163,-332,738,67,364,1102,-46,347
9,2005,588,76,-2,-169,0,272,110,211,-257,58,-4.465,0,-105.535,566,-89,0,-71,0,-1584,1427,0,0,0,-317,0,0,0,0,-157,-157,0,0,60,-97,1102,49,201,1303,-89,477
9,2006,359,121,-84,-104,0,341,156,309,70,87,0,0,-213,733,-204,0,-24,0,-1386,836,0,0,0,-778,0,0,0,11,-270,-259,0,0,66,-193,1303,-52,-290,1013,-204,529
9,2007,190,205,-103,-282,0,643,206,464,22,101,0,0,-280,702,-216,0,-32,0,-1930,1845,0,0,0,-333,0,-252,0,98,-383,-285,0,0,137,-400,1013,40,9,1022,-216,486
9,2008,476,246,-255,-303,0,1357,244,1043,-99,185,0,0,-446,1405,-224,0,-75,0,-930,1271,0,0,0,42,0,-248,0,115,-74,41,0,0,257,50,1022,20,1517,2539,-224,1181
9,2009,645,287,-218,-232,0,1059,449,1058,-5,275,0,0,-563,1697,-333,0,-494,0,-1677,1305,0,0,0,-1199,0,-100,0,98,-355,-257,0,0,159,-198,2539,-70,230,2769,-333,1364
9,2010,902,378,-481,-531,0,2159,1054,2201,81,341,0,0,-610,3293,-373,0,-40,0,-3890,1966,0,0,0,-2337,0,0,0,87,-472,-385,0,0,105,-280,2769,-1,675,3444,-373,2920
9,2011,1152,568,-295,-1019,0,3113,687,2486,4,424,0,0,-1139,3495,-979,0,-352,0,-6279,4250,0,0,0,-3360,0,0,0,143,-221,-78,0,0,259,181,3444,17,333,3777,-979,2516
9,2012,631,1083,-866,-1777,0,4064,1064,2485,136,557,0,0,-989,3903,-1811,0,-705,0,-6257,6843,0,0,0,-1930,0,-277,0,177,-444,-267,0,0,62,-482,3777,1,1492,5269,-1811,2092
9,2013,-39,2159,-861,-999,0,3108,1796,3044,-265,833,0,0,-1552,4180,-3785,0,-745,0,-3302,4237,0,0,0,-3595,0,-960,0,3378,-588,2790,0,0,429,2259,5269,-29,2815,8084,-3785,395
9,2014,274,3253,-846,-1410,0,2624,2691,3059,-156,1134,0,0,-2089,5475,-3444,0,-312,0,-2826,2306,0,0,0,-4276,0,0,0,394,-1011,-617,0,0,78,-539,8084,-86,574,8658,-3444,2031
9,2015,-241,4746,-1039,-1193,0,2465,4433,4666,-316,1497,0,0,-3510,6842,-4893,0,-979,0,-2542,3349,0,0,0,-5065,0,0,0,6359,-1933,4426,0,0,6,4432,8658,-310,5899,14557,-4893,1949
9,2016,596,6281,-1755,-2187,0,5207,1292,2557,81,2119,0,0,405,12039,-5387,798,-795,0,-4091,3025,0,0,0,-6450,0,0,0,353,-4235,-3882,0,0,0,-3882,14557,-374,1333,15890,-5387,6652
9,2017,2371,8116,-3436,-1426,0,6754,1955,3847,-246,2975,0,0,140,17203,-7804,1067,-116,0,-7240,4577,0,0,0,-9516,0,0,0,618,-4334,-3716,0,0,0,-3716,16175,-212,3759,19934,-7804,9399
9,2018,3033,11478,-4780,-3583,0,7383,738,-242,-29,4215,0,0,-90,18365,-11955,1897,-13972,0,-12731,9677,0,0,0,-27084,0,0,0,16228,-6300,9928,0,0,0,9928,19934,713,1922,21856,-11955,6410
9,2019,10073,15341,-4615,-1314,0,3735,1151,-1043,441,5418,0,0,493,30723,-13427,2104,-2186,0,-7100,8240,0,0,0,-12369,0,0,0,1068,-8754,-7686,0,0,0,-7686,21856,-351,10317,32173,-13427,17296
9,2020,11588,21789,-7681,-3278,0,6810,1711,-2438,796,6864,0,0,-85,38514,-16861,4172,-2461,0,-31812,22681,0,0,0,-24281,0,0,0,2273,-12339,-10066,0,0,0,-10066,32173,70,4237,36410,-16861,21653
9,2021,21331,25251,-8169,-2849,0,23234,1265,13481,-554,9208,0,0,-2653,66064,-40140,5096,-2325,0,-72479,50237,0,0,0,-59611,0,0,0,17321,-18425,-1104,0,0,0,-1104,36410,618,5967,42377,-40140,25924
9,2022,33364,34433,-18163,-9487,0,5725,2314,-19611,-310,12757,0,0,-14306,46327,-61053,5657,-1985,0,-60157,59384,0,0,0,-58154,0,0,0,26959,-20668,6291,0,0,0,6291,42377,-364,-5900,36477,-61053,-14726
9,2023,-2722,41921,-21897,-2592,0,1387,2216,-20886,-8148,19621,0,0,16966,46752,-63645,5324,-8316,0,-2565,31601,0,0,0,-37601,0,-6000,0,62719,-47001,15718,0,0,0,9718,36477,-1093,17776,54253,-63645,-16893
