enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
11,2008,-159,176,-31,28,0,29,-29,-3,0,12,158,0,-38,146,-37,0,0,0,-27,0,0,0,69,5,0,-2,0,0,-108,-108,0,0,-4,-114,272,0,37,309,-37,109
11,2009,83,159,38,-45,0,-29,2,-34,0,15,0,0,-15,208,-65,5,0,0,-78,0,-6,0,50,-94,0,-7,0,0,-202,-202,0,0,-1,-210,309,0,-96,213,-71,137
11,2010,-44,160,0,27,0,-16,-17,-6,0,12,2,0,15,139,-57,0,0,0,-7,0,-1,0,2,-63,304,-6,0,0,-115,-115,0,0,0,183,213,0,259,472,-58,81
11,2011,415,159,-96,-26,0,23,0,-99,0,25,0,0,10,510,-79,2,0,0,-9,0,0,0,0,-86,28,0,0,0,-366,-366,0,0,3,-335,472,0,89,561,-79,431
11,2012,552,157,-42,-5,0,25,-13,-35,14,38,0,0,0,726,-112,0,-8,0,-1,0,0,0,-1,-122,70,-93,0,0,-233,-233,-86,0,6,-336,561,0,268,829,-112,614
11,2013,563,155,-13,0,0,-2,-73,-88,14,53,2,0,-6,693,-241,1,-4,0,0,0,0,0,0,-244,44,-110,0,0,-2,-2,-137,0,11,-194,829,0,255,1084,-241,452
11,2014,552,187,-26,-55,0,22,-10,-69,3,77,0,0,-28,722,-236,0,-414,0,-15,13,0,0,0,-652,101,-95,0,0,0,0,-198,0,23,-169,1084,0,-99,985,-236,486
11,2015,263,625,-70,193,0,13,115,251,-92,163,0,0,-35,1175,-409,0,-5961,450,0,35,0,0,0,-5885,124,-12,0,5600,-12,5588,-284,0,-87,5329,985,0,619,1604,-409,766
11,2016,1364,962,-187,62,0,29,114,18,-220,232,0,0,-38,2318,-593,110,-394,650,-14,0,0,0,0,-241,241,0,0,0,-1817,-1817,-408,0,125,-1859,1604,0,218,1822,-593,1725
11,2017,-1861,3042,-491,996,0,33,-22,516,365,679,0,0,670,3411,-723,5,-10055,898,-58,104,0,0,-11,-9840,295,0,0,39020,-30827,8193,-750,0,-34,7704,1822,0,1275,3097,-723,2688
11,2018,1784,4737,-267,-39,0,-97,-222,-625,-173,921,0,0,-93,6551,-1069,441,-40,10,-207,200,0,0,-9,-674,257,0,0,17426,-13668,3758,-1745,0,-40,2230,3097,0,8107,11204,-1069,5482
11,2019,12610,4081,-652,417,0,-325,-266,-826,-8270,1227,106,0,-48,8880,-635,239,-4800,773,-249,54,0,0,-56,-4674,212,-7314,0,0,-973,-973,-2998,0,-45,-11118,11204,0,-6912,4292,-635,8245
11,2020,2724,5808,486,250,0,-42,-878,-184,-934,2185,0,0,98,9697,-432,88,-16033,957,-5,0,0,0,3,-15422,253,-6407,3679,30034,-16800,13234,-4235,0,-36,6488,4292,0,763,5055,-432,9265
11,2021,2960,6905,981,-31,0,-3,146,1093,-1142,1976,0,0,269,12061,-463,12,-10872,218,0,0,0,0,-4,-11109,276,-765,0,27802,-20099,7703,-5534,0,-69,1611,5055,0,2563,7618,-463,11598
11,2022,6736,6041,210,-294,0,243,-286,-127,-809,1704,0,0,219,13764,-443,4,-8,45,0,169,0,0,-12,-245,170,-1299,0,9904,-11495,-1591,-6212,0,-42,-8974,7618,0,4545,12163,-443,13321
11,2023,11495,4984,-870,-627,0,-79,-78,-1654,-34,1533,0,0,412,16736,-424,0,-246,0,-200,200,0,0,3,-667,114,-8455,0,1935,-2361,-426,-7032,0,-17,-15816,12163,0,253,12416,-424,16312
