enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
15,2006,37.253,6.909,-0.428,0,4.535,-12.411,56.405,48.101,0,14.562,0,0,-13.412,93.413,-12.361,0.035,0,0,0,0,0,0,-89.231,-101.557,0,0,0,0,0,0,-25.136,0,0,-25.136,89.281,-0.029,-33.309,55.972,-12.361,81.052
15,2007,156.001,8.043,0.878,0,-3.824,-5.537,86.678,78.195,0,20.64,0,0,-71.622,191.257,-18.975,0.046,0,0,0,0,-18.975,0,24.068,-13.836,398.344,-15.234,0,0,0,0,-26.588,0,-0.001,356.521,59.418,-6.898,527.044,586.462,-18.975,172.282
15,2008,199.13,12.908,2.467,0,0,29.932,37.067,69.466,0,28.896,0,0,-78.406,231.994,-40.222,0.314,0,0,-433.475,0,-40.222,0,59.714,-453.891,0,-11.508,0,0,0,0,0,0,0,-11.508,630.469,-4.74,-238.145,392.324,-40.222,191.772
15,2009,172.306,18.54,-0.96,0,0,35.549,101.035,135.624,0,29.35,0,0,-27.704,328.116,-60.16,0.401,-60.755,0,-779.661,695.349,0,0,25.808,-179.018,0.008,-10.224,0,0,0,0,-130.1,0,0,-140.316,393.842,-0.033,8.749,402.591,-60.16,267.956
15,2010,256.622,34.035,-0.242,0,1.606,46.629,107.088,155.081,0,51.276,0,0,-39.942,457.072,-43.324,0.08,-39.273,0,-1222.369,873.021,-0.961,0,19.728,-413.098,1.553,-7.927,0,28.165,-14.082,14.082,0,0,0.001,7.709,413.356,-0.933,50.75,464.106,-44.285,412.787
15,2011,336.589,39.805,-1.201,0,-25.333,51.398,-23.617,1.247,0,52.95,0.44,0,-87.313,343.718,-25.232,0.421,0.36,1.066,-1501.08,1250.295,-1.873,0,26.292,-249.751,8.718,-65.798,0,224.637,-44.015,180.623,-149.291,0,-12.732,-38.48,486.148,-0.844,54.643,540.791,-27.105,316.613
15,2012,739.01,137.822,-35.802,0,-38.02,262.337,94.733,283.248,23.762,198.653,21.386,0,65.426,1469.307,-224.792,0.158,-153.98,11.723,-80.475,928.475,0,0,-500.911,-19.802,97.901,-0.317,0,167.287,-148.119,19.168,0,0,-41.504,75.248,1154.217,-8.554,1516.199,2670.416,-343.446,1125.861
15,2013,1391.544,150.433,-454.999,0,-56.955,726.743,289.764,504.553,16.733,202.561,28.156,0,35.074,2329.054,-234.418,48.428,-81.089,115.52,-11.584,420.729,0,0,-169.901,87.685,2701.676,-6453.487,-738.81,5811.854,-1478.746,4333.108,-16.572,0,-52.127,-226.212,2712.134,-12.228,2178.299,4890.433,-402.709,1926.345
15,2014,3791.249,267.945,-1486.335,0,-2064.184,1027.718,1794.942,-727.859,237.49,460.723,26.406,0,217.402,4273.356,-241.54,0,-2793.825,14.418,-1850.508,60.263,0,0,-534.27,-5345.462,265.353,-25.434,-831.214,13612.565,-11540.767,2071.798,-33.696,0,70.146,1516.953,4924.105,-15.714,429.133,5353.238,-773.704,3499.652
15,2015,3898.311,721.155,-1871.253,0,-2266.214,2042.285,2345.078,249.896,265.925,2088.289,95.214,0,-712.019,6606.771,-470.458,0,-5603.18,15.869,-2072.58,150.515,0,0,-588.435,-8568.269,9891.322,-43.279,0,29266.983,-25092.328,4174.655,-16.67,0,19.074,14025.102,5296.862,-17.953,12045.651,17342.513,-1235.053,5371.718
15,2016,10962.985,1083.857,0,0,-692.635,1383.118,378.765,1069.248,16.301,2473.127,356.621,0,-7221.77,8740.369,-831.501,0,-6015.963,2293.048,-2362.557,1046.488,0,0,-716.164,-6586.649,106.571,-3044.12,0,4455.534,-4074.461,381.072,0,0,119.643,-2436.834,16638.166,71.663,-211.451,16426.715,-1667.769,7072.6
15,2017,5979.983,2073.107,0,0,-1194.807,1818.683,795.764,1419.64,-157.818,2320.133,457.644,0,-74.412,12018.277,-1596.461,0,-10571.076,752.974,-678.416,1535.103,-948.651,0,-36.699,-11543.226,2118.799,-1912.097,0,23929.939,-19675.08,4254.859,0,0,312.735,4774.296,15689.586,295.619,5544.966,21234.552,-2545.112,9473.165
15,2018,9721.088,3485.611,0,0,-2337.196,4813.847,1120.557,3597.208,154.494,3177.731,492.449,0,-714.534,19914.047,-3106.974,0,-8592.776,979.042,-1879.254,1027.796,-1615.855,0,-71.231,-13259.252,63.159,0,0,16222.655,-10900.054,5322.601,0,0,-2163.073,3222.687,23172.665,-960.047,8917.435,32090.1,-4722.829,15191.218
15,2019,11953.992,5524.516,0,0,-1517.454,4858.833,1463.52,4804.899,-327.329,5585.751,2042.641,0,-7090.839,22493.631,-5286.432,0,-7047.781,42.015,-10797.539,2694.468,-2109.835,0,-1.191,-22506.295,52.742,-1619.81,0,1805.152,-2435.525,-630.373,0,0,1096.114,-1101.327,30203.965,483.47,-630.521,29573.444,-7396.266,15097.365
15,2020,19991.454,6043.302,0,0,-6179.902,7693.469,1537.213,3050.78,-490.421,4521.33,2472.758,0,-9863.542,25725.661,-4636.422,0,-5573.82,11.11,-7812.976,2677.587,-26.779,0,-32.475,-15393.775,13034.114,0,0,2239.014,-4521.188,-2282.174,0,0,-659.639,10092.301,28273.484,584.004,21008.191,49281.675,-6464.782,19260.879
15,2021,22006.789,7358.276,0,0,-6698.152,12068.992,2386.613,7757.453,497.013,7697.861,1408.254,0,-11125.959,35599.687,-6366.247,0,-5824.694,1507.933,-26592.791,1118.125,-209.802,0,-1137.938,-37505.414,26.878,-118.724,0,5899.338,-1084.489,4814.849,0,0,-102.751,4620.252,53138.89,-1103.841,1610.684,54749.574,-6632.724,28966.963
15,2022,7420.326,7575.734,0,0,-5121.836,1544.778,716.358,-2860.7,-215.774,3778.174,5486.24,0,1316.867,22500.867,-8402.263,0,-2124.799,2439.713,-23139.363,2292.185,-2.364,0,-2364.058,-31300.949,17.18,-9649.939,0,1485.83,-2634.209,-1148.378,0,0,623.05,-10158.087,56184.629,-1392.365,-20350.534,35834.095,-8404.628,14096.239
15,2023,9515.883,6811.592,0,0,1248.748,282.256,425.489,1956.493,-249.169,4474.162,2900.202,0,3578.632,28987.795,-4981.933,93.457,-836.03,3299.859,-17370.445,186.042,-3.193,0,-52.242,-19664.485,1.596,-10847.059,0,3307.26,-1661.321,1645.939,0,0,-323.035,-9522.559,32993.223,512.27,313.021,33306.244,-4985.125,24002.67
