enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
16,1994,1301,352,0,0,0,0,0,52,223,0,0,0,209,2137,-4671,0,0,0,-26708,37236,0,0,-16457,-10600,0,197,0,6083,-405,5678,-433,0,2899,8341,122,0,-122,0,-4671,-2534
16,1995,1690,406,0,0,0,0,0,69,235,0,0,0,6718,9118,-327,0,0,0,-30823,34121,0,0,-11973,-9002,0,87,-94,1689,-3579,-1890,-527,0,4241,1817,-1933,0,1933,0,-327,8791
16,1996,1950,399,0,0,0,0,0,26,159,0,0,0,-7467,-4933,-307,0,0,0,-28139,41782,0,0,-19518,-6182,0,-283,0,14302,-3305,10997,-575,0,-158,9981,1134,0,-1134,0,-307,-5240
16,1997,5813,1527,0,0,0,0,0,89,965,0,0,0,-4514,3880,-1183,0,0,0,-26874,44207,0,0,-12613,3537,0,-2620,0,11199,-14789,-3590,-1888,0,3169,-4929,-2510,22,2510,0,-1183,2697
16,1998,6542,1963,0,0,0,0,0,-363,971,0,0,0,-7688,1425,-888,0,0,0,-60926,46166,0,0,-7835,-23483,0,-6648,0,33063,-6740,26323,-2175,0,4351,21851,28571,102,-105,28466,-888,537
16,1999,5165,1998,0,0,0,0,0,990,216,0,0,0,5148,13517,-437,0,0,0,-100413,84028,0,0,-33047,-49869,0,-384,0,31975,-8809,23166,-2604,0,15953,36131,28466,32,-189,28277,-437,13080
16,2000,7882,1917,0,0,0,0,0,281,2098,0,0,0,-113,12065,-465,0,0,0,-59699,50790,0,0,-21947,-31321,0,-3700,0,40862,-7763,33099,-3199,0,-8287,17913,28277,55,-1288,26989,-465,11600
16,2001,7517,1784,0,0,0,0,0,-8904,648,0,0,0,4220,5265,-642,0,0,0,-19817,51304,0,0,-27955,2890,0,-2962,0,23451,-41604,-18153,-3388,0,16937,-7566,26989,-65,524,27513,-642,4623
16,2002,6792,1732,0,0,0,0,0,-24075,-563,0,0,0,3288,-12826,-835,0,0,0,-127074,137691,0,0,27770,37552,0,-3595,0,14853,-42284,-27431,-3632,0,9313,-25345,27513,-57,-676,26837,-835,-13661
16,2003,9249,1104,0,0,0,0,0,-30582,-377,0,0,0,8599,-12007,-939,0,0,0,-162780,164522,0,0,-10884,-10081,0,-4834,0,31219,-15364,15855,-3709,0,12897,20209,26837,15,-1864,24973,-939,-12946
16,2004,10810,1107,0,0,0,0,0,10600,-263,0,0,0,2059,24313,-209,0,0,0,-228720,199443,0,0,-43939,-73425,0,-5796,0,42824,-9282,33542,-4281,0,27583,51048,24973,175,2111,27084,-209,24104
16,2005,13947,1636,0,0,0,4594,-25872,-21278,-519,0,0,0,2692,-3522,-863,0,0,0,-243573,144798,0,0,-27916,-127554,3712,-6286,0,58726,-16904,41822,-6468,0,100084,132864,27084,64,1852,28936,-863,-4385
16,2006,16465,1768,0,0,0,-8205,-19015,-27220,1695,0,0,0,-4931,-12223,-1228,0,0,0,-204476,174292,0,0,-119033,-150445,2846,-5765,0,59629,-15107,44522,-7683,0,136897,170817,28936,-86,8063,36999,-1228,-13451
16,2007,21133,2869,0,0,0,4517,-20940,-16423,1850,0,0,0,5080,14509,-748,0,0,0,-40905,75870,0,0,-102521,-68304,3117,-14359,2580,73173,-17768,55405,-9661,0,16051,53133,36999,92,-570,36429,-748,13761
16,2008,14982,2844,0,0,0,4190,-23963,-19773,-753,0,0,0,13736,11036,-2143,0,0,0,-28330,47970,0,0,-125977,-108480,1118,-3790,1558,100210,-28942,71268,-10878,0,44136,103412,36429,134,6102,42531,-2143,8893
16,2009,4008,3319,0,0,0,-8885,-23364,-32249,-5801,0,0,0,34757,4034,-2098,0,0,0,-185072,147781,0,0,36459,-2930,10127,0,34742,43782,-68105,-24323,-11528,0,-19713,-10695,42531,-83,-9674,32857,-2098,1936
16,2010,6276,4314,0,0,0,-16601,88375,71774,370,0,0,0,46997,129731,-2240,0,0,0,-189059,226875,0,0,122349,157925,13488,0,4244,67744,-227633,-159889,-4883,0,-52528,-199568,32857,394,88482,121339,-2240,127491
16,2011,-2238,3912,0,0,0,14069,25988,40057,608,0,12400,0,27802,82541,-987,0,0,0,-199259,181782,0,0,-11883,-30347,0,0,0,52215,-142617,-90402,-1762,0,26830,-65334,121339,228,-12912,108427,-987,81554
16,2012,1446,3485,0,0,0,-18124,46766,28642,-1949,0,3184,0,29640,64448,-1307,0,0,0,-135088,192299,0,0,-3475,52429,0,0,5000,26001,-126078,-100077,-1738,0,-7839,-104654,108427,-548,11675,120102,-1307,63141
16,2013,4188,3038,0,0,0,24061,-59030,-34969,-2735,0,0,0,14422,-16056,0,0,0,0,-185482,154234,0,0,-3731,-34979,0,0,667,22200,-129406,-107206,-1909,0,150864,42416,120102,-731,-9350,110752,0,-16056
16,2014,11431,2683,0,0,0,-12919,69024,56105,3262,0,0,0,19336,92817,-521,0,0,0,-175132,202587,0,0,-1876,25058,0,-3220,-5453,61667,-65602,-3935,-1677,0,-81157,-95442,110752,-1863,20570,131322,-521,92296
16,2015,5520,2522,0,0,0,9702,11760,21462,1147,78,0,0,66,30795,-1160,0,0,0,-261176,215569,0,0,38507,-8260,0,-1675,5957,51573,-68576,-17003,-2306,0,2826,-12201,131322,-3067,7267,138589,-1160,29635
16,2016,15910,2389,0,0,0,730,5195,5925,2967,-89,0,0,1295,28397,0,0,0,0,-255987,242939,0,0,-42523,-55571,0,-2374,2964,43670,-43439,231,-3574,0,51288,48535,138589,-597,20764,159353,0,28397
16,2017,17822,2241,0,0,0,-35,-16738,-16773,5793,1367,0,0,6827,17277,0,0,0,0,-228960,198816,0,0,-32141,-62285,0,-5112,2947,35537,-55637,-20100,-4194,0,59612,33153,159353,240,-11615,147738,0,17277
16,2018,18232,2103,0,0,0,4673,-34753,-30080,8175,1649,0,0,9785,9864,0,0,0,0,-192063,183880,0,0,-43358,-51541,0,-12814,0,62024,-49480,12544,-5700,0,55238,49268,147738,2105,9696,157434,0,9864
16,2019,28147,2063,0,0,0,13010,-11753,1257,3041,1729,0,0,3283,39520,0,0,0,0,-112620,102419,0,0,-61267,-71468,0,-20094,3,64278,-65524,-1246,-6895,0,81350,53118,157434,-1200,19970,177404,0,39520
16,2020,27430,1729,0,0,0,16363,-3193,13170,2435,1974,0,0,15039,61777,0,0,0,0,-189897,165890,0,0,-56623,-80630,0,-28144,1075,56424,-50794,5630,-5934,0,30750,3377,177404,-368,-15844,161560,0,61777
16,2021,17894,1843,0,0,0,-4385,4059,-326,-1737,2031,0,0,18288,37993,0,0,0,0,-452412,262443,0,0,12304,-177665,0,-7025,1109,57013,-52841,4172,-7727,0,365290,355819,161560,2756,218903,380463,0,37993
16,2022,31978,1898,0,0,0,16639,-56559,-39920,-838,2768,0,0,-3079,-7193,0,0,0,0,-601134,291389,0,0,-3546,-313291,0,-25126,198,81107,-46826,34281,-8055,0,290352,291650,380463,-3408,-32242,348221,0,-7193
16,2023,27528,1978,0,0,0,23029,-74973,-51944,739,2862,0,0,12510,-6327,0,0,0,0,-159058,243161,0,0,-86632,-2529,0,-5073,3772,69089,-34055,35034,-8576,0,-131196,-106039,348221,-3123,-118018,230203,0,-6327
