enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
14,1994,1244,1025,-187,-733,0,606,-601,-915,-536,0,0,0,536,1354,-1317,0,0,0,0,137,0,0,-1063,-2243,23,0,0,837,0,837,-340,0,0,520,2711,0,-369,2342,-1317,37
14,1995,856,1142,-49,-1545,0,413,260,-921,0,0,0,0,0,1077,-795,0,0,0,0,0,0,0,-205,-1000,26,0,0,0,-21,-21,-340,0,0,-335,2342,0,-258,2084,-795,282
14,1996,-36,1306,145,-1400,0,-210,-108,-1573,0,0,0,0,2438,2135,-747,0,0,0,0,0,0,0,1104,357,147,-337,0,154,0,154,-434,0,0,-470,2505,0,2022,4527,-747,1388
14,1997,1818,1266,182,306,0,514,-608,394,0,0,0,0,133,3611,-971,0,0,0,0,0,0,0,285,-686,215,-718,0,0,-109,-109,-480,0,-891,-1983,4527,0,942,5469,-971,2640
14,1998,-178,1458,-240,-96,0,1908,-712,860,0,0,0,0,-35,2105,-1391,0,0,0,0,0,0,0,-864,-2255,434,-141,0,0,-635,-635,-557,0,0,-899,5469,0,-1049,4420,-1391,714
14,1999,1120,1622,-167,652,0,-840,-173,-528,0,0,0,0,201,2415,-1665,37,0,0,0,0,0,0,-1246,-2874,65,-1397,0,118,0,118,-564,0,0,-1778,4420,0,-2237,2183,-1665,750
14,2000,2309,1645,-225,2030,0,217,54,2076,0,0,0,0,194,6224,-1236,359,0,0,0,0,0,0,-556,-1433,93,-2937,0,0,-239,-239,-537,0,0,-3620,2183,0,1171,3354,-1236,4988
14,2001,2128,1479,-1359,1039,-374,1028,1049,1383,0,316,0,0,636,5942,-932,169,-5727,0,0,0,0,0,-1138,-7628,136,-2357,0,2687,-620,2067,-504,0,0,-658,3354,0,-2344,1010,-932,5010
14,2002,2826,1743,342,-27,-19,-235,-780,-719,0,378,438,0,-772,3894,-1189,0,-22,0,-96,142,0,0,-3624,-4789,0,-2417,0,4567,-1129,3438,-582,0,79,518,1010,0,-377,633,-1189,2705
14,2003,2319,1497,-155,1371,-340,-756,-731,-611,0,447,2767,0,-2183,4236,-1001,0,-22,0,-505,140,0,0,-1894,-3282,0,0,0,2814,-1564,1250,-571,0,67,746,633,0,1700,2333,-1001,3235
