enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
19,1994,-98.9,341.5,-16.1,0,0,21.1,6.5,11.5,0.5,0,0,0,91.3,345.9,-158.4,0,0,0,-384.9,0,0,0,-292.8,-836.1,6.7,0,0,461,0,461,-20.7,0,-9.8,437.2,53,0,-53,0,-158.4,187.5
19,1995,-75.3,336.5,-40.9,0,0,57.5,-1.6,15,4.3,0,0,0,88.5,369,-269.9,0,0,0,-125,389.3,0,0,-1303.7,-1309.3,212.3,0,0,692.1,0,692.1,-22.7,0,233.5,1115.2,-174.9,0,174.9,0,-269.9,99.1
19,1996,-37.8,689,-62.4,-57.5,0,114.3,-11.4,-17,-15.7,0,0,0,-97.8,520.7,-623,0,0,0,-240.8,0,0,0,-1488.8,-2352.6,6.6,-7.1,0,2108.6,0,2108.6,-22.4,0,-50,2035.7,-203.8,0,203.8,0,-623,-102.3
19,1997,-52.5,581.1,-38.2,-5.8,0,114.9,19.7,90.6,15,0,0,0,10.3,644.5,-579.2,0,0,0,-475.4,210.2,0,0,94.9,-749.5,0,-175.9,0,98.3,0,98.3,-26.8,0,16.4,-88,193,0,-193,0,-579.2,65.3
19,1998,-208.5,826.5,-35.2,-65.6,0,109.5,19.5,28.2,-40.6,0,0,0,249.7,855.3,-965.6,0,0,0,-268.7,45.6,0,0,132.2,-1056.5,970.2,0,0,0,-635.5,-635.5,-34,0,-16.8,283.9,326.4,0,82.7,409.1,-965.6,-110.3
19,1999,976.3,939.6,0,0,0,0,0,0,418.2,0,0,0,-1254.4,1079.7,-1349,0,0,0,-202.1,169.5,0,0,-45.7,-1427.3,28.9,0,0,824.6,0,824.6,-36,0,-8.3,809.2,409.1,0,461.6,870.7,-1349,-269.3
19,2000,1116.7,1216,0,0,0,0,0,569.2,-31.9,0,0,0,-1620.6,1249.4,-1649,361.1,0,0,-3047.7,2059.8,0,0,-263.5,-2539.3,0,-13.6,0,1418.4,0,1418.4,-9.4,0,-54,1341.4,870.7,0,51.5,922.2,-1649,-399.6
19,2001,2045.1,2631.3,0,0,0,0,0,-328.1,1102.3,0,0,0,-4231.3,1219.3,-1636.8,0,0,0,-1010.7,2025.4,0,0,-596.5,-1218.6,30.5,-324.9,0,78.8,0,78.8,0,0,-55.8,-271.4,922.2,0,-270.7,651.5,-1636.8,-417.5
19,2002,609,3448,-16,-16,0,0,-121,-153,-241,0,0,0,-2433,1230,-2188,0,0,0,-317,1173,0,0,-1675,-3007,27,-27,0,1498,0,1498,0,0,-22,1476,651,0,-301,350,-2188,-958
19,2003,-469,1915,80,-25,0,220,75,350,-95,0,0,-2,722,2421,-1852,0,0,0,-88,1263,0,0,-448,-1125,19,0,0,0,-749,-749,0,0,-275,-1005,214,0,291,505,-1852,569
19,2004,-218,4438,-45,0,0,35,-370,-380,820,0,0,0,-1806,2854,-4161,1875,0,0,-234,7971,0,0,-212,5239,67,-14,0,0,-7067,-7067,0,0,-34,-7048,505,0,1045,1550,-4161,-1307
19,2005,970,4623,-54,0,0,-163,12,-205,531,0,0,0,163,6082,-3660,0,0,0,-169,228,0,0,-911,-4512,113,-1361,0,0,-1293,-1293,0,0,25,-2516,1739,0,-946,793,-3660,2422
19,2006,928,4804,-97,0,0,-152,-912,-1161,183,0,0,0,81,4835,-3621,0,0,0,-392,861,0,0,-596,-3748,93,-2313,0,1272,0,1272,0,0,15,-933,793,0,154,947,-3621,1214
19,2007,2533,4962,-357,0,0,560,-497,-294,674,0,0,-736,-521,6618,-4701,0,0,0,-2812,2753,0,0,-5112,-9872,410,-2347,0,5458,0,5458,0,0,25,3546,947,0,292,1239,-4701,1917
19,2008,2587,6208,-100,0,0,175,-352,-277,247,0,0,0,27,8792,-6564,0,0,0,-2089,1158,0,0,-1257,-8752,412,-3102,0,2312,0,2312,0,0,62,-316,1239,0,-276,963,-6564,2228
19,2009,2525,6400,39,0,0,-38,-17,-16,495,258,0,0,569,10231,-6277,0,-738,0,-1167,737,-527,0,495,-7477,53,-2800,0,3535,-2610,925,-547,0,-153,-2522,963,0,232,1195,-6277,3954
19,2010,3628,6500,-84,0,0,-136,-739,-959,832,257,0,0,23,10281,-5639,0,-88,0,-346,102,-522,0,596,-5897,1,-765,0,1564,-4738,-3174,-761,0,-209,-4908,1195,0,-524,671,-5639,4642
19,2011,3668,6803,-131,0,0,37,-62,-156,549,300,0,0,15,11179,-5497,0,-183,99,-260,99,-536,0,567,-5711,34,-1200,0,3420,-1153,2267,-1064,0,-192,-155,671,0,5313,5984,-5497,5682
19,2012,5157,14423,-427,0,0,-20,-6705,-7152,1058,344,0,0,515,14345,-6261,0,-6407,277,-135,0,-954,0,972,-12508,283,-2141,0,544,-3216,-2672,-1187,0,-484,-6201,5984,0,-4364,1620,-6261,8084
19,2013,7865,7798,-823,0,0,366,771,314,139,371,0,0,-1633,14854,-6637,0,-90,3102,-297,0,-923,0,3359,-1486,233,-3000,0,4544,-3425,1119,-1608,0,-781,-4037,1620,0,9331,10951,-6637,8217
19,2014,7135,7871,-721,0,0,-667,-97,-1485,16,419,0,0,204,14160,-7605,0,-99,1083,-1223,0,-1009,0,-661,-9514,40,-2000,0,4278,-2444,1834,-1964,0,-11789,-13879,10951,0,-9233,1718,-7605,6555
19,2015,8592,8019,-33,0,0,153,-1655,-1535,1165,513,0,0,191,16945,-8542,0,-477,666,-191,0,-1122,0,933,-8733,35,-4251,0,4182,-3679,503,-2254,0,-53,-6020,1718,0,2192,3910,-8542,8403
19,2016,8413,8680,-708,0,0,384,811,487,958,567,0,0,380,19485,-9869,0,-1786,433,-784,0,-1370,0,1412,-11964,36,-7175,0,5621,-4378,1243,-2437,0,-803,-9136,3910,0,-1615,2295,-9869,9616
19,2017,9028,9426,-649,0,0,378,-815,-1086,1434,640,0,0,249,19691,-10687,0,-3951,218,-1697,0,-1552,0,-596,-18265,23,-5352,0,11021,-3052,7969,-2601,0,-473,-434,2423,0,992,3415,-10687,9004
19,2018,22922,9688,-869,0,0,173,-836,-1532,-10646,751,0,0,78,21261,-11155,0,-603,150,-2292,0,-1605,0,1972,-13533,0,-5435,0,11466,-8269,3197,-2883,0,-2451,-7572,3415,0,156,3571,-11155,10106
19,2019,11862,10676,-802,0,0,-394,899,-297,290,826,0,0,940,24297,-11709,0,-38679,141,-1257,0,-1935,0,2585,-50854,0,-5320,0,45160,-8798,36362,-3352,0,-550,27140,3571,-245,338,3909,-11709,12588
19,2020,13323,12953,-57,0,0,-347,-2156,-2560,563,1021,0,0,397,25697,-12428,0,-1486,886,-1899,0,-2475,0,2561,-14841,0,-504,0,10654,-15642,-4988,-3735,0,46,-9181,3909,5,1680,5589,-12428,13269
19,2021,10701,13100,-20,0,0,-266,852,566,-550,1193,0,0,-273,24737,-11634,0,-1731,2339,-812,0,-2455,0,2246,-12047,0,-534,0,18644,-18777,-133,-4140,0,-1706,-6513,5589,2,6179,11768,-11634,13103
19,2022,13833,13804,-1335,0,0,765,-298,-868,1892,1315,0,0,-830,29146,-12057,0,-2350,684,-174,0,-2883,0,3334,-13446,0,-4672,0,2628,-11498,-8870,-4532,0,-544,-18618,11767,-71,-2989,8778,-12057,17089
19,2023,4925,13821,-1327,0,0,497,-2074,-2904,-834,1336,8583,0,1486,26413,-13767,0,-342,1985,-2274,0,-3141,0,3399,-14140,0,-13328,0,3405,-2307,1098,-4741,0,787,-16184,8779,-86,-3997,4782,-13767,12646
