enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
20,1994,243,841,-20,80,-11,28,-34,43,-48,0,0,0,229,1308,-1216,468,0,0,-10,336,0,0,17,-405,19,-4,0,0,-596,-596,-292,0,-42,-915,131,0,-12,119,-1216,92
20,1995,484,794,-82,-10,22,15,-27,-82,-40,0,0,0,47,1203,-1154,266,0,0,-20,0,0,0,0,-908,12,-1,0,0,-112,-112,-293,0,173,-221,119,0,74,193,-1154,49
20,1996,469,871,-45,25,12,130,136,258,9,0,0,0,-11,1596,-1456,142,0,0,0,0,0,0,-39,-1353,9,0,0,0,-9,-9,-313,0,-56,-369,193,0,-126,67,-1456,140
20,1997,1303,941,-465,31,-26,295,-315,-480,163,0,0,0,158,2085,-1544,101,0,0,0,0,0,0,-98,-1541,25,0,0,286,0,286,-329,0,22,4,67,0,548,615,-1544,541
20,1998,959,795,245,-33,15,-224,-127,-124,283,0,0,0,332,2245,-2043,21,0,0,0,0,0,0,-34,-2056,20,-395,0,249,0,249,-353,0,-162,-641,615,0,-452,163,-2043,202
20,1999,237,899,454,-36,-9,-225,-93,91,84,0,0,0,319,1630,-2052,86,0,0,0,0,0,0,-18,-1984,13,-523,0,1243,0,1243,-353,0,-92,288,163,0,-66,97,-2052,-422
20,2000,609,902,-545,16,88,343,289,191,160,0,0,0,79,1941,-1690,225,0,0,0,0,0,0,-17,-1482,24,-13,0,1,0,1,-344,0,-86,-418,97,0,41,138,-1690,251
20,2001,1848,1169,-393,-12,84,417,439,535,412,0,0,0,50,4014,-2017,850,0,0,0,0,0,-10,-4590,-5767,31,0,0,2192,0,2192,-346,0,-118,1759,143,0,6,149,-2017,1997
20,2002,1601,1344,1183,-289,50,-1004,-142,-202,513,0,0,0,303,3559,-3016,262,0,0,0,0,0,-136,52,-2838,51,0,0,0,-379,-379,-403,0,-68,-799,217,3,-75,142,-3016,543
20,2003,698,2223,-423,200,-37,788,454,982,142,0,0,0,933,4978,-4388,815,0,0,0,0,0,-198,1088,-2683,44,-300,0,0,-1090,-1090,-684,0,-190,-2220,241,-9,66,307,-4388,590
