enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
23,1994,314.9,30.8,-113,-19,-5.882,7,114.382,-16.5,-30.7,0,0,0,19,317.5,-59.6,0,0,0,-769.5,519,0,0,-5.2,-315.3,23.4,0,0,0,0,0,0,0,0.6,24,27.4,0,26.2,53.6,-59.6,257.9
23,1995,456.489,74.961,-181.083,-104.484,-16.725,158.187,0,-144.105,-15.508,0,0,0,70.996,442.833,-151.828,0,-17.92,0,-631.147,523.914,0,0,-54.651,-331.632,175.896,-69.881,0,0,0,0,0,0,6.007,112.022,61.165,0,223.223,284.388,-151.828,291.005
23,1996,913.324,132.594,-219.628,-272.408,-67.154,380.249,0,-178.941,124.176,0,0,0,71.573,1062.726,-282.84,0,0,0,-1595.295,861.152,0,0,-40.858,-1057.841,116.554,-115.621,0,0,0,0,0,0,-10.511,-9.578,284.388,0,-4.693,279.695,-282.84,779.886
23,1997,1051,214,-559,-74,6,324,0,-303,88,0,0,0,398,1448,-332,0,-19,0,-3213,2328,0,0,-171,-1407,308,-323,0,0,0,0,0,0,-5,-20,285,0,21,306,-332,1116
23,1998,1331,329,-166,-267,21,352,279,219,346,0,0,0,640,2865,-429,0,0,0,-5172,2858,0,0,-360,-3103,555,0,0,0,0,0,0,0,-7,548,309,0,310,619,-429,2436
23,1999,2023,489,45,-443,-101,502,670,673,590,0,0,0,550,4325,-602,0,-19,0,-7001,3654,-95,0,-922,-4985,947,0,0,0,0,0,0,0,7,954,619,0,294,913,-697,3628
23,2000,2668,863,-1043,-887,-249,290,1238,-651,1713,0,0,0,1548,6141,-1086,0,0,24,-17381,15721,-444,0,-1211,-4377,1564,0,0,0,0,0,0,0,-7,1557,913,0,3321,4234,-1530,4611
23,2001,-1014,2236,569,-1644,-25,430,1759,1089,473,0,0,0,3608,6392,-2271,0,-378,0,-24061,19949,-4,0,-238,-7003,1262,0,0,0,0,0,0,0,-12,1250,4234,0,639,4873,-2271,4121
23,2002,1893,1957,270,673,-28,-53,985,1847,-512,0,0,0,1402,6587,-2641,0,-99,16,-21291,21185,0,0,2023,-807,655,-1854,0,0,0,0,0,0,30,-1169,4873,0,4611,9484,-2641,3946
23,2003,3578,1463,-46,-17,-61,-399,20,-503,118,128,0,0,535,5319,-717,0,-26,0,-27682,22816,0,0,94,-5515,578,-5984,0,0,0,0,0,0,43,-5363,9484,0,-5559,3925,-717,4602
23,2004,4401,1199,-647,-538,-42,314,303,-610,1089,0,0,0,883,6962,-613,0,-175,0,-33067,34327,0,0,153,625,1257,-9080,0,0,0,0,0,0,33,-7790,3925,0,-203,3722,-613,6349
23,2005,5741,1020,-536,-84,-58,1009,301,632,90,0,0,0,85,7568,-692,0,-945,0,-20485,24630,0,0,106,2614,1087,-10235,0,0,0,0,0,0,-14,-9162,3722,0,1020,4742,-692,6876
23,2006,5580,1293,-1084,121,-300,-43,1948,642,-343,1050,0,0,-323,7899,-772,0,-5424,0,-21918,18480,0,0,-10,-9644,1682,-8295,0,6481,0,6481,0,0,432,300,4742,0,-1445,3297,-772,7127
23,2007,7333,1413,-753,61,-452,-107,3307,2056,-622,931,0,0,-1007,10104,-1251,0,-3684,0,-20624,17368,0,0,-151,-8342,5306,-7681,0,0,0,0,0,0,1044,-1331,3297,0,431,3728,-1251,8853
23,2008,8052,1744,-317,104,0,240,2405,2432,-772,1112,0,0,-479,12089,-1268,0,-398,0,-22500,19990,0,0,-17,-4193,3117,-10441,0,0,0,0,0,0,891,-6433,3728,0,1463,5191,-1268,10821
23,2009,6134,1768,388,187,0,560,28,1163,-574,1231,0,0,175,9897,-1005,0,-426,0,-41314,32825,0,0,-39,-9959,863,-3611,0,3991,-500,3491,0,0,-154,589,5191,0,527,5718,-1005,8892
23,2010,7767,2030,-2524,-158,0,139,2201,-342,-477,1517,0,0,-322,10173,-1008,0,-5279,0,-48827,43055,0,0,128,-11931,3278,-7864,0,4985,0,4985,0,0,222,621,5718,0,-1137,4581,-1008,9165
23,2011,6490,2486,-1318,-147,0,-28,1328,-165,-157,1620,0,0,-195,10079,-1174,0,-266,0,-37334,35818,0,0,22,-2934,1831,-6896,0,4621,-3113,1508,-658,0,151,-4064,4581,0,3081,7662,-1174,8905
