enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
32,1994,411,547,91,123,0,20,-57,177,110,0,0,0,-65,1180,-718,37,0,0,-40,0,0,0,-98,-819,143,-229,0,0,-152,-152,-162,0,0,-400,931,0,-39,892,-718,462
32,1995,759,560,-195,134,0,113,-318,-266,180,0,0,0,-190,1043,-639,54,0,0,0,90,0,0,-377,-872,43,-110,0,0,-308,-308,-180,0,0,-555,892,0,-384,508,-639,404
32,1996,875,612,134,-141,0,16,-458,-449,198,0,0,0,-20,1216,-746,118,0,0,0,0,0,0,-476,-1104,104,-239,0,272,0,272,-217,0,0,-80,508,0,32,540,-746,470
32,1997,1020,602,-163,-87,0,117,-440,-573,213,0,0,0,-66,1196,-755,1435,0,0,-301,0,0,0,-106,273,147,-409,0,0,-20,-20,-262,0,0,-544,540,0,925,1465,-755,441
32,1998,1641,888,-165,-159,0,264,-68,-128,116,0,0,0,-583,1934,-1015,945,0,0,-129,0,0,0,-1797,-1996,195,-940,0,437,0,437,-434,0,-43,-785,1592,0,-847,745,-1015,919
32,1999,1903,897,-154,-96,0,35,-386,-601,221,0,0,0,-446,1974,-1037,485,0,0,0,431,0,0,-1472,-1593,216,-1089,0,1246,0,1246,-481,0,0,-108,745,0,273,1018,-1037,937
32,2000,1541,881,-54,90,0,121,-657,-500,-11,0,0,0,463,2374,-986,851,0,0,0,11,0,0,-167,-291,419,-1058,0,56,0,56,-527,0,0,-1110,1018,0,973,1991,-986,1388
32,2001,1659,995,-560,-45,0,186,-705,-1124,414,0,0,0,45,1989,-853,594,0,0,-17,0,0,0,-2438,-2714,296,-166,0,399,0,399,-599,0,0,-70,1991,0,-795,1196,-853,1136
32,2002,-99,926,651,168,0,-400,-770,-351,-456,0,0,0,1976,1996,-876,90,0,0,0,2,0,0,-122,-906,79,-30,0,0,-324,-324,-609,0,0,-884,1196,-9,197,1393,-876,1120
32,2003,-220,671,181,333,0,63,-367,210,-793,0,0,0,2512,2380,-671,224,0,0,6,91,0,0,-520,-870,41,0,0,0,-320,-320,-614,0,-39,-932,1393,50,628,2021,-671,1709
32,2004,1324,661,-236,118,0,240,260,382,344,0,0,0,-512,2199,-655,174,0,0,0,0,0,0,-199,-680,54,-37,0,0,-267,-267,-645,0,0,-895,2021,305,929,2950,-655,1544
32,2005,1246,614,-470,-84,0,408,403,257,201,0,0,0,-65,2253,-629,38,0,0,-115,80,0,0,42,-584,74,-724,0,70,0,70,-643,0,0,-1223,2950,190,636,3586,-629,1624
32,2006,1638,653,-94,37,0,181,254,378,42,0,0,0,-269,2442,-684,71,0,0,0,285,0,0,-1682,-2010,167,-1133,0,0,-1050,-1050,-700,0,0,-2716,3586,-68,-2352,1234,-684,1758
32,2007,2083,794,-573,-128,0,516,-27,-212,450,0,0,0,96,3211,-733,87,0,0,0,0,0,0,32,-614,396,-1896,0,0,-436,-436,-744,0,31,-2649,1234,42,-10,1224,-733,2478
32,2008,2444,837,-467,-183,0,397,350,97,332,0,0,0,201,3911,-767,98,0,0,-20,6,0,0,-1099,-1782,603,-3986,0,2490,0,2490,-767,0,86,-1574,1224,50,605,1829,-767,3144
32,2009,2792,903,392,-161,25,-293,0,-37,115,128,0,0,-110,3791,-884,53,-2181,909,-6,18,0,0,68,-2023,146,-1459,0,1487,-754,733,-811,0,21,-1370,1829,-162,236,2065,-884,2907
32,2010,1548,957,344,479,0,-342,-31,450,47,118,0,0,826,3946,-609,31,-468,1,-24,1,0,0,-65,-1133,37,0,0,1488,-2760,-1272,-918,0,1,-2152,2065,75,736,2801,-609,3337
32,2011,2022,987,-688,-300,0,1140,-26,126,878,164,0,0,26,4203,-651,14,-1303,7,-453,112,0,0,5,-2269,195,0,0,21,-1332,-1311,-944,0,13,-2047,2801,-38,-151,2650,-651,3552
32,2012,2067,957,-316,-310,0,473,25,-128,-331,168,0,0,100,2833,-798,6,-973,1156,-380,354,0,0,24,-611,304,-1085,0,1690,-974,716,-1091,0,42,-1114,2650,-60,1048,3698,-798,2035
32,2013,2926,926,-119,25,0,-286,-78,-458,84,170,0,0,-131,3517,-884,5,-438,21,-702,559,0,0,11,-1428,342,-317,0,102,-178,-76,-1211,0,56,-1206,3698,53,936,4634,-884,2633
32,2014,3924,989,-365,41,0,151,-421,-594,262,170,0,0,-416,4335,-947,15,-1133,3,-1220,1122,0,0,201,-1959,447,-1073,0,1993,-607,1386,-1353,0,160,-433,4634,-155,1788,6422,-947,3388
32,2015,4239,924,-172,-200,0,488,120,236,132,187,0,0,-638,5080,-1094,18,-4,160,-4074,3288,0,0,-170,-1876,265,-924,0,406,-609,-203,-1510,0,44,-2328,6422,-339,537,6959,-1094,3986
32,2016,4768,883,201,230,0,-684,90,-163,315,175,0,0,-459,5519,-1073,15,-5228,1,-6714,6587,0,0,-102,-6514,186,-1884,0,13052,-9607,3445,-1726,0,16,37,6959,-546,-1504,5455,-1073,4446
32,2017,4812,1030,-547,-18,0,487,-106,-184,78,184,0,0,-422,5498,-1095,21,-2573,296,-3954,3681,0,0,282,-3342,409,-2079,0,28242,-24300,3942,-1915,0,-11,346,5455,-114,2388,7843,-1095,4403
