enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
37,1994,-176.3,38.5,21,2,0,-4,-23.1,-4.1,-5.1,0,0,0,156.3,9.3,-17.9,0,0,0,-72.5,86.1,0,0,6,1.7,1.5,0,0,0,-0.6,-0.6,0,0,-0.1,0.8,-11.8,0,11.8,0,-17.9,-8.6
37,1995,-45.4,64,-23.4,-3.1,0,4.8,43.3,21.6,-16.3,0,0,0,52.6,76.5,-32.9,0,0,0,-144.7,87.5,0,0,-26.8,-116.9,87,0,0,3.7,0,3.7,0,0,0,90.7,-50.3,0,50.3,0,-32.9,43.6
37,1996,-20.7,68.4,-10.5,2.1,0,21.5,-7.4,5.7,0,0,0,0,8.1,61.5,-69.3,0,0,0,-197,165,0,0,-1.6,-102.9,12.9,0,0,0,-3.2,-3.2,0,0,0,9.7,31.7,0,-31.7,0,-69.3,-7.8
37,1997,68.3,58.7,7.5,1.4,0,0,29.7,38.6,-14.5,0,0,0,-70,81.1,-27.6,0,0,0,-258.9,244.8,0,0,-76.3,-118,9.4,0,0,29.6,0,29.6,0,0,0,39,44.7,0,2.1,46.8,-27.6,53.5
37,1998,-12.2,53.2,-17.1,-1,0,8.2,25.7,15.8,-39.2,0,0,0,50.7,68.3,-383.9,9,0,0,-310.3,213.2,0,0,-1.2,-473.2,501.1,0,0,0,-4.8,-4.8,0,0,0,496.3,46.7,0,91.4,138.1,-383.9,-315.6
37,1999,376.5,141.3,-3,-1.2,0,18.1,145.9,159.8,-25.1,0,0,0,-579.3,73.2,-544.2,0,0,0,-78.5,810,0,0,-6.9,180.4,126.6,0,0,0,0,0,0,0,0,126.6,138.1,0,380.2,518.3,-544.2,-471
37,2000,305.661,213.204,-3.643,0,0,12.655,4.993,14.005,-140.368,0,0,0,-386.438,6.064,-94.944,0,0,0,-41.987,2028.381,0,0,-2094.13,-202.68,0,0,0,59.501,0,59.501,0,0,-0.162,59.339,554.23,0,-137.277,416.953,-94.944,-88.88
37,2001,-82.793,325.624,39.875,0,-63.415,-23.02,-46.008,-92.568,-76.682,0,0,0,159.632,233.213,-77.102,0,0,0,-3172.509,3134.666,0,0,-168.369,-283.314,96.8,-8.365,0,0,-7.774,-7.774,0,0,0,80.661,416.953,2.591,33.151,450.104,-77.102,156.111
37,2002,53.615,77.862,-13.707,0,-11.144,8.522,-32.847,-49.176,-21.575,0,0,225.21,290.897,576.833,-43.496,0,0,0,-2849.548,3168.079,0,0,-313.421,-38.386,133.565,-318.35,0,0,-11.333,-11.333,0,0,0,-196.118,66.91,-0.291,342.038,408.948,-43.496,533.337
37,2003,343.034,98.097,-28.155,0,83.284,-16.908,68.213,106.434,22.376,0,0,10.343,-17.894,562.39,-41.21,0,0,0,-2302.536,2109.448,0,174.289,-86.184,-146.193,155.861,-814.327,0,0,-3.272,-3.272,0,0,0,-661.738,408.848,4.031,-241.51,167.338,-41.21,521.18
