enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
39,1994,1569,333,0,0,0,0,0,-10511,0,0,0,0,123,-8486,0,0,0,0,-8868,5120,0,0,4178,430,0,591,-610,6798,-2299,4499,-480,0,2038,6038,1994,24,-1994,0,0,-8486
39,1995,1294,377,0,0,0,0,0,-945,0,0,0,0,1624,2350,0,0,0,0,-29132,24870,0,0,-2848,-7110,0,-133,-416,11033,-2042,8991,-521,0,-1147,6774,-1980,-34,1980,0,0,2350
39,1996,2970,866,0,0,0,0,0,-4219,0,0,0,0,27,-356,0,0,0,0,-70363,66206,0,0,-7655,-11812,0,-724,0,9362,-2076,7286,-978,0,7840,13424,-1249,-7,1249,0,0,-356
39,1997,2461,869,0,0,0,0,0,-6079,0,0,0,0,1766,-983,0,0,0,0,-73586,53764,0,0,-6288,-26110,0,-529,550,19721,-1453,18268,-1188,0,9793,26894,189,10,-189,0,0,-983
39,1998,3708,951,0,0,0,0,0,164,0,0,0,0,638,5461,-5153,0,0,0,-115652,106254,0,0,-4109,-18660,0,-2528,0,7788,-2134,5654,-1212,0,12367,14281,14605,17,1099,15704,-5153,308
39,1999,3782,1170,0,0,0,0,0,-2770,0,0,0,0,1410,3592,-981,0,0,0,-201713,199913,0,0,-11779,-14560,0,-771,0,5182,-9206,-4024,-1278,0,18397,12324,15704,8,1364,17068,-981,2611
39,2000,7501,1945,0,0,0,0,0,-11621,0,0,0,0,2225,50,0,0,0,0,-124937,136158,0,0,-31719,-20498,0,-3838,0,18840,-11565,7275,-2133,0,19517,20821,18271,48,421,18692,0,50
39,2001,5727,2545,0,0,0,0,0,-22116,0,0,0,0,168,-13676,0,0,0,0,-119658,114130,0,0,4542,-986,0,-772,0,45683,-14442,31241,-2282,0,-8135,20052,18692,-110,5280,23972,0,-13676
39,2002,1694,2891,0,0,0,0,0,-14764,0,0,0,0,7072,-3107,0,0,0,0,-182922,200274,0,0,-5034,12318,0,47,0,8986,-31213,-22227,-2697,0,14194,-10683,23972,100,-1372,22600,0,-3107
39,2003,1663,3426,0,0,0,0,0,-36896,1636,0,0,0,5037,-25134,0,0,0,0,-246669,224564,0,0,-1239,-23344,0,175,0,48334,-12185,36149,-2784,0,11103,44643,22600,453,-3382,19218,0,-25134
39,2004,6719,3101,0,0,0,0,0,3173,1428,0,0,0,180,14601,0,0,0,0,-312913,326286,0,0,-955,12418,0,1213,0,17195,-63778,-46583,-2865,0,21984,-26251,19218,282,1050,20268,0,14601
39,2005,4466,3835,-2391,0,0,13277,-41343,-30457,-827,1296,0,0,6540,-15147,0,0,0,0,-173745,179797,0,0,-35786,-29734,848,-738,-670,25344,-20382,4962,-3927,0,59121,59596,20268,185,14900,35168,0,-15147
39,2006,8483,4318,-1934,0,0,5532,-42361,-38763,-1791,1563,0,0,-4046,-30236,0,0,0,0,-81749,113988,0,0,-45183,-12944,682,-3412,-200,46339,-26883,19456,-4878,0,33421,45069,35168,-387,1502,36670,0,-30236
39,2007,14444,3577,-1170,0,0,7815,-72462,-65817,-1810,2368,0,0,-2341,-49579,0,0,0,0,-201530,148678,0,0,-46775,-99627,1659,-3938,-139,69378,-34267,35111,-4846,0,124902,152749,36670,199,3742,40412,0,-49579
39,2008,15365,3821,-1932,0,0,4284,-140683,-138331,1307,2025,0,0,5253,-110560,0,0,0,0,-122507,129607,0,0,-81288,-74188,0,-8178,0,136553,-49410,87143,-5051,0,110142,184056,40412,424,-268,40144,0,-110560
39,2009,5605,4528,10221,0,0,1012,-6237,4996,-2637,2637,0,0,8801,23930,0,0,0,0,-248599,141230,0,0,-176302,-283671,11500,0,32746,81626,-65344,16282,-5911,0,192382,246999,40144,-507,-13249,26895,0,23930
39,2010,11728,4358,-6312,0,0,-26450,91183,58421,-3622,3355,0,0,48557,122797,0,0,0,0,-346372,201762,0,0,173965,29355,5756,0,-25000,51324,-135639,-84315,-3422,0,-46098,-153079,26895,238,-689,26206,0,122797
39,2011,17370,4965,443,0,0,17325,-69116,-51348,-968,3251,0,0,22978,-3752,0,0,0,0,-179487,211347,0,0,22142,54002,0,-2999,-352,55181,-105912,-50731,-1486,0,6351,-49217,26206,328,1361,27567,0,-3752
39,2012,18976,5105,8655,0,0,35203,9956,53814,1693,2675,0,0,13669,95932,0,0,0,0,-202309,155487,0,0,-123930,-170752,0,-8863,0,62074,-82078,-20004,-3895,0,140468,107706,27567,-851,32035,59602,0,95932
39,2013,21284,5147,1732,0,0,-13069,9472,-1865,1130,2545,0,0,-3162,25079,0,0,0,0,-189630,194594,0,0,-124789,-119825,0,-1653,1234,95586,-96473,-887,-5194,0,94207,87707,59602,1160,-5879,53723,0,25079
39,2014,17886,5306,-2340,0,0,-5750,87426,79336,8139,2219,0,0,-4933,107953,0,0,0,0,-154480,163132,0,0,-159153,-150501,0,-4789,2073,86330,-60497,25833,-6056,0,11263,28324,53723,272,-13952,39771,0,107953
