enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
40,1994,2188,360,-151,-41,0,-44,290,54,-62,0,0,0,-32,2508,-800,0,0,0,-816,29,0,0,702,-885,145,-680,0,0,-122,-122,-883,0,0,-1540,-42,-41,42,0,-800,1708
40,1995,2554,411,-169,43,0,197,58,129,58,0,0,0,31,3183,-878,109,0,0,-758,856,0,0,-366,-1037,69,-1192,0,337,0,337,-1006,0,0,-1792,998,34,388,1386,-878,2305
40,1996,2986,562,-255,-80,0,214,-178,-299,157,0,0,0,-78,3328,-937,44,0,0,-403,580,0,0,-510,-1226,86,-1796,0,542,0,542,-1110,0,0,-2278,1386,-43,-219,1167,-937,2391
40,1997,3492,633,-230,-33,0,361,-216,-118,-145,0,0,0,-399,3463,-990,81,0,0,-623,1302,0,0,-820,-1050,124,-1521,0,542,0,542,-1247,0,0,-2102,1167,-45,266,1433,-990,2473
40,1998,4129,626,-164,-43,0,299,-139,-47,380,0,0,0,-1055,4033,-1093,71,0,0,-459,1999,0,0,-1018,-500,150,-1262,0,0,-596,-596,-1387,0,0,-3095,1433,-134,304,1737,-1093,2940
40,1999,3533,645,-237,-12,0,-70,-231,-550,-38,0,0,0,-157,3433,-863,54,0,0,-610,1036,0,0,-1778,-2161,302,-1563,0,1408,0,1408,-1480,0,0,-1333,1737,-28,-89,1648,-863,2570
40,2000,2431,792,-96,-163,0,281,-579,-557,97,0,0,0,1120,3883,-1069,45,0,0,-518,176,0,0,-2055,-3421,168,-15,0,956,0,956,-1580,0,0,-471,1648,-28,-37,1611,-1069,2814
40,2001,2177,773,-39,-2,0,-84,-727,-852,3,0,0,0,1484,3585,-733,45,0,0,-508,290,0,0,-259,-1165,331,-133,0,0,-585,-585,-1685,0,0,-2072,1611,-140,208,1819,-733,2852
40,2002,3969,803,-73,-17,-349,-179,156,-462,56,0,0,0,-256,4110,-769,91,0,0,-456,455,0,0,-509,-1188,164,-277,0,0,-926,-926,-1791,0,0,-2830,1819,-45,47,1866,-769,3341
40,2003,3050,806,-83,-49,74,-442,93,-407,40,0,0,0,1253,4742,-851,69,0,0,-141,243,0,0,-385,-1065,107,-691,0,0,-756,-756,-1987,0,0,-3327,1866,44,394,2260,-851,3891
40,2004,4347,850,80,111,-276,-164,81,-168,-188,0,0,0,615,5456,-812,87,0,0,-177,147,0,0,-181,-936,98,-1440,0,0,-93,-93,-2166,0,0,-3601,2260,183,1102,3362,-812,4644
