enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
41,1994,143,262,30,10,0,10,-53,-3,-4,0,0,0,17,415,-240,0,0,0,-110,0,0,0,65,-285,48,0,0,0,-5,-5,-32,0,-105,-94,-10,-26,10,0,-240,175
41,1995,203,273,-66,-11,0,63,15,1,27,0,0,0,44,548,-326,23,0,0,-59,0,0,0,0,-362,71,-8,0,0,-153,-153,-37,0,-22,-149,34,-8,29,63,-326,222
41,1996,262,279,-48,-52,0,118,-30,-12,42,0,0,0,40,611,-600,82,0,0,-202,0,0,0,0,-720,111,-45,0,50,0,50,-45,0,-10,61,63,0,-48,15,-600,11
41,1997,282,420,-121,-4,0,9,-110,-226,48,0,0,0,82,606,-893,264,0,0,-1705,0,0,0,0,-2334,611,-7,0,1227,0,1227,-58,0,4,1777,15,-1,48,63,-893,-287
41,1998,416,444,-54,-14,-10,-41,-67,-186,67,0,0,0,11,752,-902,300,0,0,0,0,0,0,-101,-703,110,-137,0,59,0,59,-69,0,-31,-68,63,-1,-20,43,-902,-150
41,1999,425,467,17,18,-2,-6,-24,3,11,0,0,0,38,944,-781,206,0,0,0,0,0,0,-241,-816,109,-97,0,0,-36,-36,-79,0,-31,-134,43,-3,-9,34,-781,163
41,2000,441,445,93,12,20,-10,-94,21,53,0,0,0,9,969,-653,103,0,0,0,0,0,0,-136,-686,89,-73,0,0,-247,-247,-89,0,78,-242,34,1,42,76,-653,316
41,2001,363,471,-36,-13,0,31,-120,-138,35,0,0,0,168,899,-704,106,0,0,0,0,0,0,-290,-888,124,-144,0,127,0,127,-98,0,-64,-55,76,-1,-45,31,-704,195
41,2002,430,499,46,20,11,-22,-47,8,36,0,0,0,47,1020,-595,45,0,0,0,0,0,0,-213,-763,142,-76,0,0,-189,-189,-110,0,-14,-247,31,-2,8,39,-595,425
41,2003,409,483,6,4,4,-41,-43,-70,37,0,0,0,142,1001,-498,24,0,0,0,0,0,0,-113,-587,206,-276,0,0,-245,-245,-123,0,27,-411,39,-3,0,39,-498,503
41,2004,585,517,-96,-22,-19,78,40,-19,33,0,0,0,21,1137,-983,64,0,0,0,0,0,0,-73,-992,246,-271,0,43,0,43,-149,0,-5,-136,39,2,11,50,-983,154
41,2005,697,578,-203,-24,6,153,-64,-132,89,0,0,0,11,1243,-668,0,0,0,0,0,0,0,-884,-1552,212,-394,0,666,0,666,-195,0,-8,281,50,3,-25,25,-668,575
41,2006,726,665,-165,-41,-23,192,-86,-123,200,0,0,0,7,1475,-877,34,0,0,0,0,0,0,-44,-887,242,-396,0,0,-3,-3,-233,0,-48,-438,25,-2,148,173,-877,598
41,2007,988,696,-90,-15,1,207,-161,-58,90,0,0,0,36,1752,-1100,0,0,0,0,0,0,0,112,-988,267,-487,0,0,-378,-378,-323,0,16,-905,173,4,-137,36,-1100,652
41,2008,1177,774,-223,-71,-1,116,147,-32,37,0,0,0,2,1958,-1376,0,0,0,0,0,0,0,-437,-1813,323,-959,0,795,0,795,-381,0,52,-170,36,6,-19,17,-1376,582
41,2009,1211,850,119,21,-4,-73,-240,-177,-23,0,0,0,177,2038,-1611,0,0,0,0,0,0,0,-76,-1687,185,-1077,0,987,0,987,-468,0,40,-333,17,-3,15,32,-1611,427
41,2010,1297,846,39,58,23,-178,0,-58,-221,39,0,0,265,2168,-1352,0,-131,0,0,31,0,0,0,-1452,95,-236,0,2246,-2308,-62,-491,0,-17,-711,32,8,13,45,-1352,816
41,2011,1234,925,-114,-26,-7,163,0,16,133,47,0,0,-450,1905,-1388,0,-148,52,0,52,0,0,-52,-1484,183,-587,0,2005,-1515,490,-551,0,46,-419,45,-8,-6,39,-1388,517
41,2012,1722,1003,-108,-31,8,44,0,-87,-3,62,0,0,-242,2455,-1797,0,-294,86,0,0,0,0,0,-2005,195,-937,0,1541,-627,914,-602,0,50,-380,39,-19,51,90,-1797,658
41,2013,1744,1001,-36,-18,-17,-34,0,-105,258,70,0,0,-216,2752,-2180,0,-280,82,0,0,0,0,0,-2378,164,-623,0,2329,-1522,807,-655,0,4,-303,90,-4,67,157,-2180,572
41,2014,1836,1109,-84,-54,-69,107,0,-100,101,70,0,0,-99,2917,-2020,0,-1323,106,0,0,0,0,0,-3237,154,-590,0,2808,-1347,1461,-708,0,11,328,157,-27,-19,138,-2020,897
41,2015,1746,1170,-80,-42,-20,13,0,-129,55,51,0,0,-6,2887,-1689,0,-206,92,0,0,0,0,0,-1803,103,-862,0,1546,-957,589,-759,0,-98,-1027,138,-69,-12,126,-1689,1198
41,2016,1591,1106,1,-23,-22,-40,0,-84,99,30,0,0,-47,2695,-1541,0,-82,320,0,0,0,0,0,-1303,88,-725,0,1497,-1329,168,-819,0,-22,-1310,126,-61,21,147,-1541,1154
41,2017,1538,1122,-33,-13,6,92,0,52,-13,39,0,0,51,2789,-1465,0,-363,58,0,0,0,0,0,-1770,139,-228,0,1127,-770,357,-856,0,-71,-659,147,17,377,524,-1465,1324
41,2018,1308,1184,-92,-22,-66,22,0,-158,530,59,0,0,118,3041,-1311,0,-33,30,0,0,0,0,0,-1314,120,-12,0,11,-782,-771,-901,0,-92,-1656,524,22,93,617,-1311,1730
41,2019,4381,1830,-124,-4,43,287,0,202,-248,62,0,48,-2573,3702,-1883,0,-25,7271,0,0,0,-23,0,5340,77,-599,0,216,-3124,-2908,-1166,0,-400,-4996,480,-60,3986,4466,-1883,1819
41,2020,2285,4675,80,-81,-72,-174,87,-160,-303,95,0,69,-473,6188,-3682,0,-225,5096,0,0,0,-60,0,1129,72,-2658,0,323,-1583,-1260,-1891,0,-3255,-8992,4452,-77,-1752,2700,-3682,2506
41,2021,2501,4626,19,18,128,109,90,364,-369,133,0,0,174,7429,-3400,0,-68,482,0,0,0,0,0,-2986,47,-2457,0,3994,-2681,1313,-2028,0,-220,-3345,2700,-44,1054,3754,-3400,4029
41,2022,3826,4635,-553,-129,76,447,1307,1148,-254,128,0,0,242,9725,-3086,0,-88,167,0,0,0,0,0,-3007,50,-4612,0,2283,-2797,-514,-2189,0,-323,-7588,3754,-61,-931,2823,-3086,6639
41,2023,4147,4204,-423,-347,-157,307,310,-310,-383,107,0,0,1099,8864,-3173,0,-110,195,0,0,0,0,0,-3088,36,-5168,0,6260,-1785,4475,-2344,0,-88,-3089,2823,-74,2613,5436,-3173,5691
