enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
43,2000,24.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2001,118.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2002,142.061,69.973,-32.97,0,-13.311,74.514,-55.668,-27.435,-2.725,0,0,0,14.622,196.496,-57.861,0,0,0,-251.205,115.439,0,0,-25.473,-219.1,0,0,0,5.443,0,5.443,0,0,0,5.443,193.304,0,-17.161,176.143,-107.562,88.934
43,2003,116.429,90.505,16.414,0,-4.086,98.949,-21.419,89.858,4.429,0,0,0,8.651,309.872,-54.237,0,31.243,0,-226.841,185.98,-47.128,0,-4.972,-115.955,0,0,0,0,-34.893,-34.893,0,0,0,-34.893,176.143,1.307,160.331,336.474,-101.365,208.507
43,2004,-385.793,119.551,-48.799,0,-21.604,733.77,28.236,691.603,-240.666,0,0,0,5.75,190.445,-76.253,0,0,0,-249.057,232.578,0,0,-68.951,-161.683,0,0,0,0,0,0,0,0,0,0,336.474,8.933,37.695,374.169,-143.47,46.975
43,2005,238.06,123.317,-22.446,0,-24.261,-20.275,-3.412,-70.394,40.845,0,0,0,11.967,343.795,-78.155,0,0,0,-2194.931,2032.275,0,0,-33.703,-274.514,0,0,0,0,0,0,0,0,0,0,248.119,11.596,80.877,328.996,-78.155,265.64
43,2006,266.719,109.936,-64.189,0,-52.17,4.111,50.295,-61.953,-54.036,0,0,0,12.182,272.848,-82.003,0,0,0,-2834.321,2883.709,0,0,-1.04,-33.655,0,0,0,0,0,0,0,0,0,0,328.996,-22.916,216.277,545.273,-82.003,190.845
43,2007,50.19,99.782,-93.428,0,42.623,89.382,5.633,44.21,32.267,0,0,0,423.712,650.161,-94.468,0,0,0,-3815.115,3233.725,0,0,-0.368,-676.226,2449.91,-1799.937,0,0,0,0,-12.373,0,0,637.6,545.273,28.272,639.807,1185.08,-94.468,555.693
43,2008,1085.886,97.642,-417.289,0,-19.859,-30.65,357.256,-110.542,-5.492,0,0,0,-297.633,769.861,-156.422,0,0,0,-3578.357,4042.011,0,0,7.909,315.141,1.597,-600.532,0,0,0,0,-74.002,0,15.43,-657.507,1185.08,46.72,474.215,1659.295,-156.422,613.439
43,2009,-253.915,112.006,-130.987,0,-100.853,1261.578,44.836,1074.574,-483.952,60.97,12.515,0,-108.97,413.228,-75.626,0,-81.731,0,-519.514,976.743,-94.647,0,-3.574,201.651,0,-649.468,0,0,-80,-80,-79.259,0,57.349,-751.378,1659.295,-17.636,-154.135,1505.16,-170.273,242.955
