enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
44,1994,1082.5,568.4,-48.3,-9.6,0,45.4,-11,-23.5,52.4,0,0,0,0,1679.8,-1316.9,175.8,0,0,0,0,0,0,-76.9,-1218,0,-620.1,0,46.2,0,46.2,-201.2,0,62.6,-712.5,250.7,0,-250.7,0,-1316.9,362.9
44,1995,1224.4,628.6,-51.6,-15,0,105.4,69.7,108.5,-5.6,0,0,0,-29.7,1926.2,-1538.6,217.5,0,0,0,0,0,0,-184.8,-1505.9,0,-495.6,0,245.7,0,245.7,-215.7,0,39.4,-426.2,5.9,0,-5.9,0,-1538.6,387.6
44,1996,1427.3,709,-49.5,-20.4,0,52.6,171.3,154,-4.2,0,0,0,10.1,2296.2,-2063.7,217.8,0,0,0,0,0,0,-263.1,-2109,0,-314.5,0,445.1,0,445.1,-226.5,0,63.6,-32.3,-154.9,0,154.9,0,-2063.7,232.5
44,1997,1572.6,742.9,-77.5,-18.7,0,44.5,121.4,69.7,32.9,0,0,0,42.9,2461,-2513,234.3,0,0,0,0,0,0,-291.6,-2570.3,0,-599.9,0,779.3,0,779.3,-232,0,157,104.4,4.9,0,-4.9,0,-2513,-52
44,1998,1642.5,793.8,-57.6,-34.5,0,52.8,112.3,73,-1.1,0,0,0,-65.9,2442.3,-2224.8,176.4,0,0,0,0,0,0,-168.8,-2217.2,0,-1113.1,0,1001.5,0,1001.5,-247.7,0,145.7,-213.6,329.9,0,11.5,341.4,-2224.8,217.5
44,1999,1550.1,881.1,-29.9,-18.1,0,-12.7,337.5,276.8,35.4,0,0,0,22.9,2766.3,-1997.7,191.5,0,0,0,0,0,0,-142,-1948.2,0,-1089.8,0,262.4,0,262.4,-240.5,0,207.6,-860.3,341.4,0,-42.2,299.2,-1997.7,768.6
44,2000,1947.9,956.3,-81.9,-47.7,0,-23.9,270.4,116.9,52.9,0,0,0,-65.1,3008.9,-2208.5,262.4,0,0,0,0,0,0,-315.7,-2261.8,0,-891.5,0,336.4,0,336.4,-264.7,0,193,-626.8,299.2,0,120.3,419.5,-2208.5,800.4
44,2001,1977.3,1010.7,-67.2,-29.6,0,89.7,-45.8,-52.9,60.5,0,0,0,-244.1,2751.5,-2370.6,302.8,0,0,0,0,0,0,-144.8,-2212.6,0,-2023.4,0,1678.5,0,1678.5,-280.7,0,88.9,-536.7,419.5,0,2.2,421.7,-2370.6,380.9
44,2002,1636.6,1086.3,-104.7,-62.9,0,10.2,160,2.6,-87.6,0,0,0,50.4,2688.3,-2237.8,375.9,0,0,0,0,0,0,-206.3,-2068.2,0,-1068.1,0,527.3,0,527.3,-287.7,0,204.8,-623.7,421.7,0,-3.6,418.1,-2237.8,450.5
44,2003,893.5,1050.8,1.6,-38.1,0,-11.2,448,400.3,-44.6,0,0,0,590.1,2890.1,-2552.2,369.5,0,0,0,0,0,0,-283.9,-2466.6,0,-670.2,0,145.5,0,145.5,-297.4,0,310.9,-511.2,418.1,0,-87.7,330.4,-2552.2,337.9
44,2004,1471.4,1148.2,64,-30.2,0,-77.6,-147.2,-191,181.4,0,0,0,658.8,3268.8,-1683.2,390.6,0,0,0,0,0,0,-77,-1369.6,171.2,-391,0,0,-891.6,-891.6,-503.5,0,-121.9,-1736.8,330.4,0,162.4,492.8,-1683.2,1585.6
44,2005,2278.5,1201,-35.9,-14.9,0,86.7,154.4,190.3,-171.9,0,0,0,405.7,3903.6,-1419.3,306.3,0,0,0,0,0,0,-270.1,-1383.1,580.5,-621,0,0,-815.5,-815.5,-695,0,-82.5,-1633.5,492.8,0,887,1379.8,-1419.3,2484.3
44,2006,2602.2,1249.5,-56.5,-29.4,0,35.8,462.4,412.3,-31.6,0,0,0,104.4,4336.8,-1606.8,259.1,0,0,0,0,0,0,-470.1,-1817.8,768.1,-1202,0,1612.3,0,1612.3,-842,0,105.4,441.8,1372.4,-80.2,2880.6,4253,-1606.8,2730
44,2007,3544.2,1249.9,-90.8,-1.6,0,82.8,-153.6,-163.2,33.4,0,0,-653,330.2,4341.5,-1741.9,315.7,0,0,0,0,0,281,-128.9,-1274.1,975.7,-2959.4,0,0,-2264.7,-2264.7,-1216.5,0,5,-5459.9,4253,267.6,-2124.9,2128.1,-1741.9,2599.6
44,2008,2395.1,1214.1,-100.2,-29.6,0,35.1,58.5,-36.2,-39.1,142.4,1670.3,-68.6,-401.7,4876.3,-1946.6,364.7,-228.8,1012.2,0,0,0,194.1,-545.7,-1150.1,1137.6,-3943,0,2218.1,-1645.5,572.6,-1765.6,0,2.1,-3996.3,2128.1,123.3,-146.8,1981.3,-1946.6,2929.7
44,2009,4313.2,1207.8,16.1,-11,0,155.6,85.1,245.8,101.5,112.5,6,0,-69.6,5917.2,-2135.7,0,-147,478.8,0,229.4,0,0,-50.2,-1624.7,0,-3919.3,0,3744.2,-2698.5,1045.7,-1823.4,0,582.5,-4114.5,1981.3,-95.9,82.1,2063.4,-2135.7,3781.5
44,2010,4551,1216.2,-42,1,0,209.9,2.1,171,203,112.9,-61.1,0,-442,5751,-1952.1,0,-145.7,406,0,144.9,0,0,-108.4,-1655.3,0,-2797.4,0,1169.3,-950,219.3,-2235.5,0,392.6,-4421,2063.4,57.9,-267.4,1796,-1952.1,3798.9
44,2011,4946.3,1276.2,-50.1,-50.8,0,-28.1,0,-129,-75.7,83.1,29.1,0,211.6,6341.6,-2135.5,0,-183.4,377.9,0,0,0,0,-115,-2056,0,-2698.5,0,1934.9,-1147.5,787.4,-2408.1,0,590.5,-3728.7,1796,34.1,591,2387,-2135.5,4206.1
44,2012,5503.1,1415,-160.8,-52.2,0,253,0,40,188.4,86.2,-3.9,0,-78.7,7150.1,-2729.8,0,-186.4,511.4,0,0,0,0,-166.1,-2570.9,0,-3363.1,0,1627.9,-624,1003.9,-2609.7,0,435.9,-4533,2387,-97.5,-51.3,2335.7,-2729.8,4420.3
44,2013,5464.8,1488.5,-29.4,-27.2,0,-66.5,0,-123.1,134.5,93.4,8,0,-100,6966.1,-3049.2,0,-158.5,394.7,0,0,0,0,-354.3,-3167.3,0,-2615.1,0,2284.9,-1080.3,1204.6,-2896.6,0,457.3,-3849.8,2335.7,51.4,0.4,2336.1,-3049.2,3916.9
44,2014,5585.9,1585.1,56.2,-44.4,0,-203.2,0,-191.4,25.2,89.1,0,0,26.8,7120.7,-2824.7,0,-181,440.1,0,0,0,0,-108.2,-2673.8,0,-1777.8,0,1417.2,-881.9,535.3,-3114.6,0,314.1,-4043,2336.1,58.7,462.6,2798.7,-2824.7,4296
44,2015,4757.8,1644.5,27,-4.9,0,-85.7,0,-63.6,-90.7,112.8,0,0,369.5,6730.3,-2583.4,86.8,-170.5,403.1,0,0,0,0,-40.9,-2304.9,0,-3198.6,0,2051,-548.1,1502.9,-3216.1,0,293.5,-4618.3,2798.7,-527.9,-720.8,2077.9,-2583.4,4146.9
44,2016,4529.3,1555.7,-180.6,44.9,0,303.6,0,167.9,-1.4,110,0,0,177.6,6539.1,-1813.9,213.1,-140.6,341.1,0,0,0,0,-19.7,-1420,0,-6099.2,0,10809.7,-1054.5,9755.2,-3230.3,0,309.6,735.3,2077.9,-246.8,5607.6,7685.5,-1813.9,4725.2
