enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
45,2011,606,139,-209,0,-38,107,47,-93,23,20,3,0,0,698,-293,0,-22,0,0,0,0,0,-9,-324,500,0,0,250,-90,160,0,0,121,781,633,-3,1152,1785,-293,405
45,2012,1000,323,-174,0,-24,139,94,35,-30,217,4,0,0,1549,-606,0,-24,0,-3028,629,0,0,6,-3023,998,0,0,170,-431,-261,0,0,461,1198,1785,3,-273,1512,-606,943
45,2013,53,649,-170,0,-465,151,-15,-499,-186,1572,15,0,8,1612,-1235,0,-911,0,-10307,5433,0,0,-4,-7024,6760,0,0,1701,-366,1335,0,0,-1812,6283,1512,1,872,2384,-1235,377
45,2014,1500,1011,-378,0,355,0,699,676,-37,906,56,0,110,4222,-1362,0,-368,0,-7433,6551,0,0,-12,-2624,1478,0,0,0,-1891,-1891,0,0,-254,-667,2384,8,939,3323,-1362,2860
45,2015,2940,1243,-610,0,-123,331,140,-262,-210,1786,0,0,1829,7326,-1831,0,-4975,0,-9104,10347,0,0,-350,-5913,0,0,0,0,-243,-243,0,0,-55,-298,3323,-123,992,4315,-1831,5495
45,2016,3688,1945,-973,0,-144,548,1353,784,-795,2960,0,0,1738,10320,-2523,0,-313,0,-15938,9238,0,0,102,-9434,0,0,0,0,-119,-119,0,0,-20,-139,4315,-155,592,4907,-2523,7797
45,2017,10217,2342,-1489,0,-159,1095,1311,758,-457,3218,0,0,30,16108,-4491,0,-123,0,-22341,15155,0,0,8,-11792,0,0,0,0,-312,-312,0,0,2,-310,5166,-63,3943,9109,-4491,11617
45,2018,15934,3025,-1609,0,-192,447,3241,1887,-377,3723,0,0,24,24216,-6733,0,-122,0,-25682,12432,0,0,-13,-20118,0,-1976,0,0,0,0,0,0,-3259,-5235,9109,232,-905,8204,-6733,17483
45,2019,22112,4315,-1892,0,-690,1795,-740,-1527,286,4152,0,0,-64,29274,-13915,0,-162,0,-14656,17130,0,0,0,-11603,0,-12879,0,500,0,500,0,0,-3193,-15572,8204,-179,1920,10124,-13915,15359
45,2020,18485,5741,-1961,0,47,7761,1403,7250,-37,4836,0,0,39,36314,-15102,0,-569,0,-23910,19717,0,0,0,-19864,0,-4202,0,0,-775,-775,0,0,-2322,-7299,10124,4,9155,19279,-15102,21212
45,2021,29146,6862,-1512,0,135,-785,-561,-2723,-1192,6536,0,0,118,38747,-15163,48,-388,0,-40291,25771,0,0,-36,-30059,0,-6272,0,0,-604,-604,0,0,-3416,-10292,19279,279,-1325,17954,-15163,23584
45,2022,39370,7967,-3110,0,-1750,4968,592,700,609,9164,0,0,-127,57683,-18690,123,-851,0,-30454,42586,0,0,-284,-7570,0,-44537,0,0,-677,-677,0,0,-5514,-50728,17954,-474,-1089,16865,-18690,38993
45,2023,23200,8686,231,0,162,4510,780,5683,-3286,11992,2218,0,1982,50475,-31431,245,-1312,0,-9631,13158,0,0,1,-28970,0,-27956,0,9921,-850,9071,0,0,-3251,-22136,16865,-638,-1269,15596,-31431,19044
