enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
49,1994,428.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1995,518.7,723.9,0,20.3,0,0,0,20.3,92.8,0,0,0,26.3,1382,-758.7,123,0,0,0,0,0,0,61.8,-573.9,16.7,-123.7,0,0,-412.4,-412.4,-334.8,0,-20.1,-874.3,152,0,-66.2,85.8,-758.7,623.3
49,1996,553,918,0,62,0,0,0,62,-89.6,0,0,0,66.7,1510.1,-670.8,70.2,0,0,0,0,0,0,-101,-701.6,0,-69.4,0,0,-453.3,-453.3,-308.6,0,-16.8,-848.1,85.8,0,-39.6,46.2,-670.8,839.3
49,1997,579,960,0,-20.9,0,0,0,-20.9,-76,0,0,0,149.9,1592,-474,68.8,0,0,0,0,0,0,-120.8,-526,0,-82,0,0,-517,-517,-320,0,3,-916,46,0,150,196,-474,1118
49,1998,618,1061,0,0,0,0,0,0,-30,0,0,0,-52,1597,-551,0,0,0,0,0,0,0,-246,-797,0,-48,0,0,-562,-562,-332,0,0,-942,196,0,-142,54,-551,1046
49,1999,664,1284,0,0,0,0,0,0,-237,0,0,0,32,1743,-617,0,0,0,0,0,0,0,-178,-795,0,-62,0,0,-408,-408,-345,0,0,-815,54,0,133,187,-617,1126
49,2000,697,1040,0,0,0,0,0,0,-198,0,0,0,24,1563,-861,0,0,0,0,0,0,0,-1311,-2172,0,-116,0,1254,0,1254,-355,0,0,783,187,0,174,361,-861,702
49,2001,704,1032,0,0,0,0,0,0,283,0,0,0,-1043,976,-1299,22,0,0,0,0,0,0,-666,-1943,0,-150,0,1251,0,1251,-366,0,0,735,361,0,-232,129,-1299,-323
49,2002,781,983,0,0,0,0,0,0,-91,0,0,0,269,1942,-1154,50,0,0,0,0,0,0,-2165,-3269,0,0,0,1657,0,1657,-377,0,0,1280,129,0,-47,82,-1154,788
49,2003,473,908,-6,-56,0,-15,188,111,219,0,0,0,627,2338,-1277,0,0,0,0,0,0,0,-1990,-3267,378,0,0,1187,0,1187,-400,0,-52,1113,82,0,184,266,-1277,1061
