enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
50,2001,-58.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2002,-39.182,29.797,0,0,-0.015,6.025,0.927,6.937,0,0,0,0,7.295,4.847,-12.084,0,0,0,0,0,0,0,-0.586,-12.67,0.125,-0.012,0,8.946,0,8.946,0,0,0,9.059,14.895,0,1.236,16.131,-12.084,-7.237
50,2003,-20.948,26.477,0,0,-0.044,6.635,9.412,16.003,0,0,0,0,18.582,40.114,-26.821,1.988,0,0,-43.022,0,0,0,0.554,-67.301,88.02,-0.006,0,0,-17.144,-17.144,0,0,0,70.87,16.131,0,43.683,59.814,-26.821,13.293
50,2004,6.512,50.991,0,0,-0.29,12.304,11.057,23.071,0,0,0,0,9.218,89.792,-64.492,1.833,0,0,-1.679,0,0,0,-0.339,-64.677,6.299,0,0,0,-1.334,-1.334,0,0,0,4.965,59.814,0,30.08,89.894,-64.492,25.3
50,2005,21.595,88.204,0,0,-9.13,14.995,15.653,21.518,0,0,0,0,13.952,145.269,-115.807,5.617,0,0,-0.586,45.013,0,0,-0.492,-66.255,6.035,0,0,0,-0.436,-0.436,0,0,0.176,5.775,89.894,-0.222,84.567,174.461,-115.807,29.462
50,2006,42.027,107.002,0,0,-4.884,8.246,29.271,32.633,-34.905,0,0,0,10.75,157.507,-139.58,5.781,0,0,0,0,0,0,0.551,-133.248,13.393,0,0,0,-0.079,-0.079,0,0,0,13.314,174.461,0.222,37.795,212.256,-139.58,17.927
50,2007,49.082,157.136,0,0,-7.064,3.208,38.983,35.127,16.15,0,0,0,-9.633,247.862,-197.446,12.909,0,0,0,0,0,0,-1.332,-185.869,112.964,0,0,0,0,0,0,0,13.217,126.181,212.256,0,188.174,400.43,-197.446,50.416
50,2008,66.952,224.986,0,0,-4.303,-1.217,35.52,30,-0.661,0,0,0,-29.454,291.823,-44.806,21.655,0,0,-405.34,200.832,0,0,-223.154,-450.813,9.611,-99.86,0,0,0,0,0,0,26.248,-64.001,400.43,0,-222.991,177.439,-44.806,247.017
50,2009,83.026,242.211,0,0,-4.181,5.287,-27.691,-26.585,-5.905,12.26,0,0,-20.97,284.037,-43.79,0,-6,18.368,-256.959,307.333,-1.062,0,-162.85,-144.96,18.872,-199.904,0,0,-0.823,-0.823,0,0,5.22,-176.635,177.439,0,-37.558,139.881,-44.852,239.185
50,2010,115.86,38.044,0,0,-5.643,11.98,12.23,18.567,6.328,12.62,0,0,133.644,325.063,-45.932,11.164,0,7.483,-228,202.379,-0.2,0,-192.973,-246.079,35.274,-324.335,0,212.895,-21.158,191.737,0,0,12.683,-84.641,139.881,0,-5.657,134.224,-46.132,278.931
