enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
51,1994,298.8,64.5,24,160.8,0,40.8,6.9,232.5,-23.9,0,0,0,4.6,576.5,-95.3,12.7,0,0,0,0,0,0,-9,-91.6,4.3,-140.1,0,0,-53.9,-53.9,-60.3,0,0,-250,-227.6,-7.3,227.6,0,-95.3,481.2
51,1995,399.7,90.2,-301.6,-69.7,0,172.6,-10.3,-209,-24.7,0,0,0,-1.3,254.9,-154.1,9,0,0,0,0,0,0,-436.3,-581.4,6.2,-142.9,0,227,0,227,-65.4,0,0,24.9,302.7,-1.1,-302.7,0,-154.1,100.8
51,1996,553.2,132.4,-292.9,-301.4,0,332.5,-20.1,-281.9,-73.3,0,0,0,-0.4,330,-216.4,12.8,0,0,0,0,0,0,-26.4,-230,21.2,-18.8,0,22.6,0,22.6,-78.8,0,0,-53.8,-46,-0.2,46,0,-216.4,113.6
51,1997,795.8,168.3,-485.6,-416.7,0,365.3,-56.9,-593.9,-47.1,0,0,0,0,323.1,-465.9,24.3,0,0,0,0,0,0,-54.7,-496.3,26.3,0,0,388.2,0,388.2,-100.9,0,0,313.6,-183.2,42.8,183.2,0,-465.9,-142.8
51,1998,399.6,233.5,79.7,-58,0,-70.1,-12.6,-61,-113.9,0,0,0,59.3,517.5,-505.9,16.8,0,0,0,0,0,0,-105.9,-595,32.2,-202.3,0,26,0,26,-127.3,0,0,-271.4,445.4,12.1,-336.8,108.6,-505.9,11.6
51,1999,451.4,228.8,134.3,197.3,0,-170.4,53.7,214.9,37.9,0,0,0,28,961,-384.1,27.2,0,0,0,0,0,0,-59.6,-416.5,54.4,-299.8,0,0,-62.5,-62.5,-136.2,0,0,-444.1,108.6,-10.9,89.5,198.1,-384.1,576.9
51,2000,579.1,223.6,-82.6,-311.8,0,178.4,61.2,-154.8,36.8,0,0,0,14.9,699.6,-419.9,25.3,0,0,0,0,0,0,-45.4,-440,23.9,-646.3,0,503.4,0,503.4,-133.1,0,0,-252.1,198.1,48.7,56.2,254.3,-419.9,279.7
51,2001,589.7,214.1,-141.4,-16.7,0,-179.4,78,-259.5,79.8,0,0,0,32.4,656.5,-317.6,12.7,0,0,0,0,0,0,-37.4,-342.3,56,-157,0,0,-119.2,-119.2,-129.7,0,0,-349.9,254.3,85.4,49.7,304,-317.6,338.9
51,2002,663.3,271.6,-135.2,55.4,16.9,175.4,0,112.5,29.8,0,0,0,5,1082.2,-282.8,15.6,0,0,0,0,0,0,-35.6,-302.8,59.5,-226.9,0,329.9,-513.4,-183.5,-128.9,0,0,-479.8,304,-28.1,271.5,575.5,-282.8,799.4
51,2003,474,262.5,-136.3,-102.8,60.9,30.1,0,-148.1,67.5,0,0,0,266.1,922,-185.9,14.8,0,0,0,0,0,0,-44.5,-215.6,44.2,-196.3,0,90.4,-407,-316.6,-137.8,0,0,-606.5,575.5,-41.4,58.5,634,-185.9,736.1
51,2004,945.6,313.5,97.1,-55.9,-103.6,255.6,0,193.2,19,0,0,0,47.2,1518.5,-214.8,11.6,-289.1,0,-400.8,0,0,0,-57.5,-950.6,253.6,-419.8,0,153.8,-206.9,-53.1,-179.2,0,0,-398.5,634,24.6,194,828,-214.8,1303.7
51,2005,1211.6,287.7,-93.5,-103.3,71.4,112.4,0,-13,21.3,0,0,0,63.1,1570.7,-257.1,7.2,0,0,-1527.2,1491.9,0,0,-75.2,-360.4,226.8,-556.2,0,0,-90.9,-90.9,-236.7,0,0,-657,828,6.8,560.1,1388.1,-257.1,1313.6
51,2006,1392,290.9,-85.1,-200.3,-37.2,279.4,0,-43.2,-26,0,0,0,54.2,1667.9,-333.7,1.6,0,0,-2619.7,1709.8,0,0,-34.6,-1276.6,225.3,-761.1,0,0,-24.2,-24.2,-290.9,0,0,-850.9,1388.1,25.7,-433.9,954.2,-333.7,1334.2
