enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
53,1999,4.1,6.5,-5.2,-28.1,0,20.4,0.3,-12.6,0,0,0,0,0.1,-1.9,-7.9,0,0,0,0,0,0,0,0,-7.9,37.9,0,0,14.2,0,14.2,0,0,0,52.1,8,0,42.3,50.3,-7.9,-9.8
53,2000,40.959,9.668,-56.438,-9.843,-5.161,21.577,7.079,-42.786,-4.993,0,0,0,13.023,15.871,-11.589,0,0,0,0,0,0,0,0,-11.589,13.418,0,0,0,-6.397,-6.397,0,0,0,7.021,50.257,0,11.303,61.56,-11.589,4.282
53,2001,98.469,15.836,-38.673,-51.914,-29.981,13.789,223.471,116.692,-27.201,0,0,0,64.113,267.909,-36.329,0,0,0,0,0,0,0,-24.5,-60.829,116.579,0,0,289.056,0,289.056,0,0,0,405.635,61.56,0,612.715,674.275,-36.329,231.58
53,2002,176.924,43.497,-43.806,-123.497,-37.739,141.717,-35.118,-98.443,-51.914,0,0,0,90.742,160.806,-161.075,0,0,0,-472.917,15.32,0,0,17.5,-601.172,90.375,0,0,0,-2.455,-2.455,0,0,11.171,99.091,674.275,0,-341.275,333,-161.075,-0.269
53,2003,90.799,58.216,-9.07,68.831,33.701,-72.89,14.83,35.402,29.768,0,0,0,50.847,265.032,-63.123,0,0,0,-639.5,422.2,0,0,3.099,-277.324,25.487,0,0,0,-4.935,-4.935,0,0,5.734,26.286,333,0,13.994,346.994,-63.123,201.909
53,2004,74.419,82.688,-41.356,-85.126,-2.698,43.506,-95.094,-180.768,55.135,0,0,0,18.204,49.678,-127.604,0,0,0,-734.642,1021.59,0,0,-71.303,88.041,37.757,0,0,0,-8.048,-8.048,0,0,-300,-270.291,346.994,0,-132.572,214.422,-127.604,-77.926
53,2005,88.615,102.597,-110.312,-80.906,-5.569,52.941,47.667,-96.179,8.694,0,0,0,28.473,132.2,-67.261,0,0,0,-313.76,229.068,0,0,0,-151.953,42.502,-24.644,0,0,-4.015,-4.015,0,0,0,13.843,214.422,0,-5.91,208.512,-67.261,64.939
53,2006,301.176,97.977,-21.415,60.916,-4.568,-58.828,40.684,16.789,-2.691,0,0,0,33.157,446.408,-79.6,0,0,0,-338.058,397.686,0,0,-21.815,-41.787,127.497,-188.509,0,0,-0.856,-0.856,0,0,0.491,-61.377,208.512,0,343.244,551.756,-79.6,366.808
53,2007,448.834,107.562,-175.261,-91.395,-5.294,38.613,100.467,-132.87,41.766,0,0,0,121.819,587.111,-145.256,0,0,0,-220.834,227.067,0,0,-401.8,-540.823,221.16,-274.978,0,0,0,0,0,0,0.188,-53.63,551.756,0,-7.342,544.414,-145.256,441.855
53,2008,797.645,133.192,-146.055,-3.69,-6.293,216.875,109.112,169.949,89.516,0,0,0,79.894,1270.196,-187.745,0,0,0,-1251.87,753.839,0,0,-75.542,-761.318,225.969,-552.512,0,0,0,0,0,0,0.22,-326.323,544.414,0,182.555,726.969,-187.745,1082.451
53,2009,-30.041,185.023,348.873,-177.295,21.528,-224.331,-2.108,-33.333,-23.277,162.71,9.891,0,-21.613,249.36,-407.67,0,-27.948,0,-999.953,1226.646,0,0,-0.442,-209.367,73.547,-423.636,0,0,0,0,0,0,0.815,-349.274,726.969,0,-309.281,417.688,-407.67,-158.31
53,2010,-67.987,196.664,-56.741,204.656,1.58,-16.937,3.857,136.415,-21.147,242.83,0,0,1.032,487.807,-77.601,0,0,0,-1193.948,752.434,0,0,-0.218,-519.333,138.029,0,0,0,-0.929,-0.929,0,0,-76.041,61.059,417.688,0,29.533,447.221,-77.601,410.206
53,2011,253.146,186.989,26.341,-14.128,8.528,126.627,4.331,151.699,-2.646,100.35,0,0,-13.741,675.797,-97.89,0,0,0,-1719.7,1170.075,0,0,-2.163,-649.678,177.276,0,0,0,-0.571,-0.571,0,0,15.316,192.021,447.221,0,218.14,665.361,-97.89,577.907
53,2012,581.09,204.205,26.236,18.884,-14.803,42.526,-70.694,2.149,19.056,136.35,0,0,-33.694,909.156,-138.735,0,-348.884,0,-1964.898,1310.743,0,0,-1.59,-1143.364,0,0,0,0,-1.608,-1.608,0,0,238.331,236.723,665.361,0,2.515,667.876,-138.735,770.421
53,2013,562.536,226.235,-118.94,-78.949,-11.723,28.238,69.052,-112.322,31.86,136.66,0,0,-20.797,824.172,-183.309,0,0,0,-2378.445,1817.41,0,0,0.352,-743.992,0,-100,0,0,-2.049,-2.049,-46.866,0,133.645,-15.27,667.876,0,64.91,732.786,-183.309,640.863
53,2014,440,239,29,25,12,-15,-38,13,15,136,0,0,-8,835,-255,25,-17,0,-3066,2512,0,0,-5,-806,0,-887,0,1478,-2,1476,-181,0,-18,390,733,0,419,1152,-255,580
53,2015,631,220,-49,-95,4,-22,-41,-203,83,158,0,0,17,906,-122,21,0,0,-2862,2237,0,0,-1,-727,0,-814,0,0,0,0,-186,0,166,-834,1152,0,-655,497,-122,784
53,2016,614,197,-32,66,-16,28,-97,-51,134,204,0,0,77,1175,-86,7,0,0,-3483,3138,0,0,24,-400,0,-587,0,0,0,0,-213,0,124,-676,497,0,99,596,-86,1089
53,2017,1666,187,-321,-375,-18,49,-14,-679,197,247,0,0,54,1672,-176,7,0,0,-3139,2515,0,0,0,-793,0,-739,0,1988,-2661,-673,-261,0,1964,291,596,0,1170,1766,-176,1496
53,2018,3047,199,-440,0,21,123,481,185,-359,391,0,0,39,3502,-593,2,0,0,-72,1941,0,0,0,1278,0,-909,0,0,-812,-812,-341,0,-482,-2544,1766,0,2236,4002,-593,2909
53,2019,4141,262,-149,-776,-55,121,2,-857,-315,557,0,0,-45,3743,-600,0,0,0,-11157,7660,0,0,0,-4097,0,-1579,0,0,-16,-16,-371,0,-900,-2866,4002,0,-3220,782,-600,3143
53,2020,2796,381,-233,597,77,248,28,717,18,844,0,0,5,4761,-489,0,-4,0,-1471,8109,0,0,0,6145,0,0,0,0,0,0,-390,0,-402,-792,782,0,10114,10896,-489,4272
53,2021,4332,1098,-550,-524,-394,602,163,-703,-282,1397,0,0,-20,5822,-1128,0,-8524,0,-19342,9319,0,0,0,-19675,0,0,0,4968,0,4968,-395,0,-769,3804,10896,0,-10049,847,-1128,4694
53,2022,9752,1174,-2215,-774,-1715,1149,192,-3363,-406,2004,0,0,-53,9108,-976,0,-263,0,-24811,16220,0,0,0,-9830,0,0,0,4977,-1000,3977,-399,0,-1713,1865,847,0,1143,1990,-976,8132
53,2023,4368,1544,822,-2554,-1517,790,252,-2207,-2164,2709,0,0,1391,5641,-1833,0,-49,0,-11974,21231,0,0,0,7375,0,-10039,0,0,0,0,-398,0,-1180,-11617,1990,0,1399,3389,-1833,3808
