enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
55,1999,4367.733,1008.721,0,0,0,0,0,-670.058,0,0,0,0,-452.762,4253.634,-1146.076,220.203,0,0,-1819.041,0,0,0,-42.877,-2787.791,1.453,-15.262,0,0,-1652.616,-1652.616,-1208.576,0,539.972,-2335.029,5725.291,-22.529,-891.715,4833.576,-1146.076,3107.558
55,2000,4181,948,-789,294,0,185,-310,-620,0,0,0,0,-181,4328,-861,180,0,0,-1102,0,0,0,-111,-1894,0,-1205,0,0,-293,-293,-1215,0,0,-2713,4177,46,-233,3944,-861,3467
55,2001,4468,741,-142,143,0,66,0,67,0,0,0,0,-560,4716,-838,215,0,0,0,2998,0,0,-2509,-134,0,-722,0,0,-946,-946,-1279,0,1,-2946,3892,-74,1562,5454,-838,3878
55,2002,3836,1037,-15,-18,0,148,0,115,844,0,0,0,-1474,4358,-801,163,-3174,0,-4164,4865,-405,0,744,-2772,2448,-2249,0,1013,-74,939,-1268,0,-32,-162,5371,-156,1268,6639,-1381,2977
55,2003,4725,1295,49,-275,0,74,0,-152,959,0,0,0,-1598,5229,-1068,183,-2390,0,-7382,7668,124,0,0,-2865,0,-3228,0,999,-408,591,-1367,0,-37,-4041,6639,836,-841,5798,-1158,4071
55,2004,4787,1283,-395,-78,0,238,653,418,947,193,0,0,-1075,6553,-1329,92,-402,0,-10923,11210,121,0,0,-1231,0,-306,0,18,-296,-278,-1659,0,-3489,-5732,5798,258,-152,5646,-1543,5010
55,2005,5365,1299,-130,23,0,239,-75,57,1045,332,0,0,-1534,6564,-1259,128,-645,0,-8055,7011,4,0,0,-2816,60,-1820,0,697,-14,683,-1896,0,-25,-2998,5277,56,806,6083,-1439,5125
55,2006,5881,1621,-446,246,0,-17,691,474,986,415,0,0,-1627,7750,-1078,69,-8866,0,-4220,6979,-52,0,0,-7168,67,-231,0,2918,-886,2032,-2107,0,-32,-271,6104,-94,217,6321,-1380,6370
55,2007,6825,1923,-543,-87,0,245,110,-275,1169,522,0,0,-1860,8304,-1779,83,-4523,0,-4994,5194,-338,0,0,-6357,653,-399,0,540,-3409,-2869,-2049,0,-267,-4931,6774,25,-2959,3815,-2230,6074
55,2008,6540,2858,-204,-747,0,323,93,-535,947,570,0,0,-1170,9210,-2549,134,-62,0,-7543,4253,-477,0,0,-6244,1849,-6448,0,11,-2170,-2159,-2598,0,38,-9318,11414,298,-6054,5360,-3133,6077
55,2009,8163,2670,-431,-571,0,246,126,-630,1336,567,0,0,-2337,9769,-2106,58,-11526,0,-4156,7404,-41,0,0,-10367,2875,-3348,0,1481,-186,1295,-3345,0,-50,-2573,5255,-46,-3217,2038,-2316,7453
55,2010,8454,2301,-934,237,0,512,873,688,1468,642,0,0,-1362,12191,-1887,48,-1006,0,-14341,3762,-795,0,0,-14219,724,-461,0,7052,-513,6539,-3941,0,-52,2809,2038,75,856,2894,-2733,9458
55,2011,9969,3419,26,965,0,490,281,1762,1733,655,0,0,-3471,14067,-1678,36,-26666,0,-40693,53266,-9,0,-12,-15756,730,-311,0,8284,-5,8279,-4486,0,-96,4116,2894,-2,2425,5319,-2232,11835
55,2012,9072,5788,-732,45,0,195,379,-113,1483,790,0,0,-2711,14309,-2167,61,-581,0,-1889,3404,423,0,-43,-792,4,-3628,0,281,-3082,-2801,-5368,0,-3231,-15024,5319,-103,-1610,3709,-2387,11922
55,2013,9530,4442,215,-656,0,523,-247,-165,1706,679,0,384,-2382,14194,-2458,82,-1741,0,-1805,736,-197,-252,-40,-5675,414,-505,0,1979,-2441,-462,-6030,0,-92,-6675,3709,-1,1843,5552,-2772,11422
55,2014,9309,4405,-548,-454,0,414,-190,-778,1498,654,0,557,-2471,13174,-2903,48,-94,0,-430,562,-379,-133,-23,-3352,0,-2930,0,689,-2022,-1333,-6100,0,1594,-8769,5552,82,1135,6687,-3378,9796
55,2015,10727,4682,-367,-506,0,142,106,-625,1545,744,0,-1,-3175,13897,-2624,60,-331,1370,-408,2517,-534,889,-58,881,0,-6915,0,6024,-2706,3318,-6810,0,2260,-8147,6687,-295,6336,13023,-3404,10493
55,2016,7028,5471,-513,-482,0,378,-246,-863,1106,773,0,-188,-1430,11897,-2367,237,-16507,0,-859,428,-517,8882,-81,-10784,0,-6071,0,5047,-3086,1961,-6643,0,1577,-9176,13023,-286,-8349,4674,-3505,8392
55,2017,6698,6043,-229,-235,0,-587,974,-77,1119,671,0,0,-2979,11475,-1862,161,-765,0,-777,869,-170,-748,-149,-3441,0,-1109,0,3751,-1696,2055,-6475,0,215,-5314,4674,-387,2333,7007,-2879,8596
55,2018,7499,4736,-655,-203,0,82,1108,332,1603,612,0,1202,-3363,12621,-1325,91,-714,29,-934,877,-329,-775,-39,-3119,0,-5490,0,4933,-832,4101,-6495,0,151,-7733,7007,84,1853,8860,-2294,10327
55,2019,12800,5211,-544,-387,0,252,1255,576,1295,673,0,1223,-7506,14272,-1254,102,-13683,12854,-2645,637,-571,-1001,-30,-5591,0,-2036,0,4543,-366,4177,-6966,0,581,-4244,8860,-26,4411,13271,-2648,11624
