enterprise_id,years,net_income_from_continuing_operations,"cash_flow_depreciation,_depletion_and_amortization",change_in_receivables,change_in_inventory,change_in_prepaid_assets,change_in_payables_and_accrued_expense,change_in_other_working_capital,change_in_working_capital,deferred_tax,stock_based_compensation,asset_impairment_charge,cash_from_discontinued_operating_activities,cash_flow_from_others,cash_flow_from_operations,"purchase_of_property,_plant,_equipment","sale_of_property,_plant,_equipment",purchase_of_business,sale_of_business,purchase_of_investment,sale_of_investment,net_intangibles_purchase_and_sale,cash_from_discontinued_investing_activities,cash_from_other_investing_activities,cash_flow_from_investing,issuance_of_stock,repurchase_of_stock,net_issuance_of_preferred_stock,issuance_of_debt,payments_of_debt,net_issuance_of_debt,cash_flow_for_dividends,cash_flow_for_lease_financing,other_financing,cash_flow_from_financing,beginning_cash_position,effect_of_exchange_rate_changes,net_change_in_cash,ending_cash_position,capital_expenditure,free_cash_flow
57,1994,283.7,104.6,-152.1,-11.9,0,23.5,133.1,-7.4,28.8,0,0,0,33.8,443.5,-250.7,0,0,0,0,44.5,0,0,-63.7,-269.9,38.7,-81.2,0,0,-8.9,-8.9,0,0,0.1,-51.3,284.5,-2,120.3,404.8,-250.7,192.8
57,1995,441.5,147.8,-347.3,0,0,24.1,263.8,-59.4,-13.3,0,0,0,52.1,568.7,-262,0,0,0,-176.5,130.8,0,0,-188.1,-495.8,60.6,-75.9,0,0,-0.9,-0.9,0,0,0.2,-16,404.8,18.5,75.4,480.2,-262,306.7
57,1996,603.279,219.494,-449.78,0,-20.377,48.392,398.157,-23.608,-25.351,0,0,0,115.343,889.157,-308.392,0,0,0,-238.96,177.491,0,0,-181.627,-551.488,109.966,-113.087,0,0,-85.17,-85.17,0,0,0,-88.291,480.158,-13.794,235.584,715.742,-308.392,580.765
57,1997,821.457,264.773,-628.025,0,-102.864,16.807,522.635,-191.447,6.286,0,0,0,129.435,1030.504,-390.741,0,0,0,-524.313,252.077,0,0,-114.404,-777.381,174.082,-528.209,0,297.005,0,297.005,0,0,0,-57.122,715.742,-21.581,174.42,890.162,-390.741,639.763
57,1998,813.695,328.563,-464.994,0,10.37,58.68,571.21,175.266,23.086,0,0,0,269.669,1610.279,-328.358,0,0,0,-1196.066,809.67,0,0,-203.467,-918.221,204.292,-489.823,0,2.685,0,2.685,0,0,0,-282.846,890.162,-25.693,383.519,1273.681,-328.358,1281.921
57,1999,1289.758,375.384,-486.431,0,-39.683,45.098,530.074,49.058,20.367,0,0,0,72.532,1807.099,-346.592,0,0,0,-1250.501,1080.907,0,0,-286.058,-802.244,602.223,-1086.953,0,0.017,0,0.017,0,0,0,-484.713,1273.681,-8.108,512.034,1785.715,-346.592,1460.507
57,2000,6297,391,-422,0,87,3,3385,3053,-17,0,0,0,-6800,2924,-263,0,0,0,-887,8518,0,0,-475,6893,1128,-5307,0,0,-5,-5,0,0,1,-4183,1785,10,5644,7429,-263,2661
57,2001,2561,346,-199,0,-2,69,-765,-897,-159,0,0,0,273,2124,-313,0,0,0,-1584,725,0,0,-28,-1200,535,-4341,0,0,-0.126,-0.126,0,0,0.126,-3806,7429,-98,-2980,4449,-313,1811
57,2002,2224,363,230,0,-23,-341,401,267,-160,0,0,0,441,3135,-278,0,0,0,-6087,4384,0,0,-49,-2030,332,-2792,0,0,-5,-5,0,0,0,-2465,4449,6,-1354,3095,-278,2857
57,2003,2307,327,119,0,41,-88,-12,60,90,0,0,0,239,3023,-291,0,0,0,-4713,5942,0,0,-43,895,356,-2653,0,9,0,9,0,0,-166,-2454,3095,178,1642,4737,-291,2732
